date,open,high,low,close,volume
2015-01-15,10.6,10.85,10.3,10.4,375000.0
2015-01-18,10.33,10.36,10.15,10.22,326410.0
2015-01-19,10.2,10.42,10.06,10.2,245180.0
2015-01-20,10.45,10.6,10.35,10.51,430660.0
2015-01-21,10.45,10.73,10.4,10.58,303480.0
2015-01-22,10.65,10.7,10.57,10.65,162730.0
2015-01-26,10.51,10.65,10.42,10.54,61170.0
2015-01-27,10.53,10.76,10.53,10.68,298330.0
2015-01-28,10.7,10.74,10.5,10.57,85400.0
2015-01-29,10.47,10.6,10.46,10.51,74900.0
2015-02-01,10.55,10.55,10.32,10.47,69230.0
2015-02-02,10.64,10.64,10.41,10.5,27000.0
2015-02-03,10.5,10.65,10.41,10.56,63220.0
2015-02-04,10.6,10.75,10.56,10.68,62790.0
2015-02-05,10.6,10.7,10.6,10.62,73000.0
2015-02-08,10.7,10.72,10.51,10.61,38040.0
2015-02-09,10.55,10.74,10.47,10.68,36950.0
2015-02-10,10.69,10.69,10.52,10.64,16610.0
2015-02-11,10.47,10.57,10.28,10.42,60500.0
2015-02-12,10.3,10.5,10.3,10.43,11460.0
2015-02-15,10.4,10.5,10.31,10.43,16230.0
2015-02-16,10.4,10.4,10.2,10.25,23840.0
2015-02-17,10.34,10.34,10.1,10.18,66110.0
2015-02-18,10.28,10.3,10.2,10.22,7380.0
2015-02-19,10.21,10.21,10.1,10.13,20370.0
2015-02-22,10.1,10.1,9.99,10.02,10950.0
2015-02-23,10.25,10.33,10.25,10.3,31690.0
2015-02-24,10.15,10.34,10.15,10.2,46550.0
2015-02-25,10.34,10.34,10.1,10.21,44240.0
2015-02-26,10.01,10.14,9.96,10.04,35940.0
2015-03-01,10.1,10.12,9.92,9.99,49180.0
2015-03-02,10.14,10.18,10.1,10.12,10980.0
2015-03-03,10.25,10.25,10.05,10.13,34980.0
2015-03-04,10.15,10.19,10.1,10.17,15680.0
2015-03-05,10.25,10.3,10.17,10.23,27750.0
2015-03-08,10.25,10.25,10.22,10.24,7120.0
2015-03-09,10.29,10.4,10.29,10.36,25680.0
2015-03-10,10.4,10.43,10.25,10.36,43950.0
2015-03-11,10.25,10.34,9.85,10.15,32530.0
2015-03-12,10.35,10.38,10.31,10.33,6260.0
2015-03-15,10.39,10.46,10.35,10.42,40270.0
2015-03-16,10.22,10.22,10.21,10.21,5030.0
2015-03-17,10.25,10.25,10.17,10.23,8750.0
2015-03-18,10.2,10.2,10.05,10.14,5600.0
2015-03-19,10.15,10.35,10.15,10.18,4160.0
2015-03-22,10.01,10.01,9.97,10.0,7870.0
2015-03-23,10.1,10.1,9.97,10.0,30150.0
2015-03-24,10.05,10.13,10.01,10.04,3000.0
2015-03-25,10.0,10.0,9.91,9.92,11190.0
2015-03-26,9.9,9.9,9.52,9.74,18200.0
2015-03-30,9.8,9.82,9.8,9.8,2910.0
2015-03-31,9.85,9.85,9.8,9.82,1100.0
2015-04-01,9.78,9.78,9.76,9.78,2660.0
2015-04-02,9.8,9.8,9.6,9.74,2770.0
2015-04-05,9.51,9.6,9.12,9.48,8800.0
2015-04-06,9.3,9.48,9.01,9.48,1060.0
2015-04-07,9.4,9.48,9.25,9.43,22540.0
2015-04-08,9.47,9.5,9.43,9.43,930.0
2015-04-09,9.35,9.6,9.35,9.58,10230.0
2015-04-14,9.65,9.65,9.47,9.61,3140.0
2015-04-15,9.55,9.55,9.52,9.53,3000.0
2015-04-16,9.4,9.58,9.4,9.48,1440.0
2015-04-19,9.4,9.4,9.27,9.37,13000.0
2015-04-20,9.25,9.25,9.23,9.24,32000.0
2015-04-22,9.4,9.47,9.24,9.24,1000.0
2015-04-23,9.4,9.4,9.4,9.4,9250.0
2015-04-26,9.27,9.27,9.25,9.26,4600.0
2015-04-27,9.3,9.3,9.21,9.25,1120.0
2015-04-28,9.1,9.1,8.9,9.01,2550.0
2015-04-29,9.2,9.25,9.09,9.16,1860.0
2015-04-30,9.48,9.48,9.36,9.41,1460.0
2015-05-03,9.23,9.41,9.23,9.41,350.0
2015-05-04,9.2,9.3,9.2,9.2,52100.0
2015-05-05,9.45,9.45,9.45,9.45,1930.0
2015-05-07,9.32,9.4,9.32,9.39,6510.0
2015-05-11,9.47,9.48,9.35,9.4,3710.0
2015-05-12,9.35,9.35,9.3,9.31,11000.0
2015-05-13,9.32,9.32,9.15,9.27,3700.0
2015-05-14,9.02,9.27,9.0,9.27,900.0
2015-05-17,8.92,8.92,8.92,8.92,1320.0
2015-05-18,9.23,9.69,9.23,9.61,6890.0
2015-05-19,9.9,9.9,9.5,9.72,8900.0
2015-05-20,9.45,9.5,9.45,9.47,4700.0
2015-05-21,9.65,9.65,9.47,9.47,50.0
2015-05-24,9.75,10.0,9.75,9.97,15960.0
2015-05-25,9.8,9.8,9.8,9.8,2500.0
2015-05-27,9.71,9.8,9.71,9.79,6050.0
2015-05-28,9.65,9.79,9.65,9.79,700.0
2015-06-01,9.6,9.79,9.6,9.79,20.0
2015-06-02,9.6,9.6,9.52,9.6,5100.0
2015-06-03,9.57,9.57,9.57,9.57,5480.0
2015-06-04,9.45,9.57,9.45,9.57,390.0
2015-06-08,9.37,9.37,9.28,9.36,7500.0
2015-06-09,9.4,9.49,9.4,9.43,15500.0
