date,open,high,low,close,volume
1998-01-04,1000.25,1000.25,998.39,998.39,0.0
1998-01-05,998.39,998.39,996.25,996.25,0.0
1998-01-06,996.25,996.25,992.87,992.87,0.0
1998-01-07,992.87,992.87,989.35,989.35,0.0
1998-01-08,989.35,989.35,984.38,984.38,0.0
1998-01-11,984.38,984.38,980.63,980.63,0.0
1998-01-12,980.63,980.63,971.15,971.15,0.0
1998-01-13,971.15,971.15,966.69,966.69,0.0
1998-01-14,966.69,967.85,966.69,967.85,0.0
1998-01-15,967.85,970.21,967.85,970.21,0.0
1998-01-18,970.21,970.85,970.21,970.85,0.0
1998-01-19,970.85,970.85,963.4,963.4,0.0
1998-01-20,963.4,963.4,960.73,960.73,0.0
1998-01-21,960.73,960.73,954.59,954.59,0.0
1998-01-22,954.59,954.59,953.17,953.17,0.0
1998-01-25,953.17,953.17,947.48,947.48,0.0
1998-01-26,947.48,947.48,939.03,939.03,0.0
1998-01-27,939.03,939.03,924.06,924.06,0.0
1998-02-01,924.06,924.06,912.81,912.81,0.0
1998-02-02,912.81,912.81,889.16,889.16,0.0
1998-02-03,889.16,901.59,889.16,901.59,0.0
1998-02-04,901.59,912.05,901.59,912.05,0.0
1998-02-05,912.05,920.69,912.05,920.69,0.0
1998-02-08,920.69,935.19,920.69,935.19,0.0
1998-02-09,935.19,935.38,935.19,935.38,0.0
1998-02-10,935.38,935.38,917.93,917.93,0.0
1998-02-11,917.93,918.68,917.93,918.68,0.0
1998-02-12,918.68,920.0,918.68,920.0,0.0
1998-02-15,920.0,920.0,914.02,914.02,0.0
1998-02-16,914.02,914.02,913.93,913.93,0.0
1998-02-17,913.93,913.93,911.45,911.45,0.0
1998-02-18,911.45,916.19,911.45,916.19,0.0
1998-02-19,916.19,919.95,916.19,919.95,0.0
1998-02-22,919.95,919.95,912.67,912.67,0.0
1998-02-23,912.67,914.66,912.67,914.66,0.0
1998-02-24,914.66,914.66,913.83,913.83,0.0
1998-02-25,913.83,917.71,913.83,917.71,0.0
1998-02-26,917.71,918.29,917.71,918.29,0.0
1998-03-01,918.29,918.29,917.09,917.09,0.0
1998-03-02,917.09,925.42,917.09,925.42,0.0
1998-03-03,925.42,932.42,925.42,932.42,0.0
1998-03-04,932.42,944.52,932.42,944.52,0.0
1998-03-05,944.52,944.52,936.02,936.02,0.0
1998-03-08,936.02,936.02,933.08,933.08,0.0
1998-03-09,933.08,933.08,929.42,929.42,0.0
1998-03-10,929.42,929.42,927.83,927.83,0.0
1998-03-11,927.83,932.58,927.83,932.58,0.0
1998-03-12,932.58,938.86,932.58,938.86,0.0
1998-03-15,938.86,939.29,938.86,939.29,0.0
1998-03-16,939.29,949.0,939.29,949.0,0.0
1998-03-17,949.0,949.0,946.77,946.77,0.0
1998-03-18,946.77,948.1,946.77,948.1,0.0
1998-03-19,948.1,953.28,948.1,953.28,0.0
1998-03-22,953.28,956.11,953.28,956.11,0.0
1998-03-23,956.11,969.47,956.11,969.47,0.0
1998-03-24,969.47,969.47,966.74,966.74,0.0
1998-03-25,966.74,966.74,957.94,957.94,0.0
1998-03-26,957.94,959.99,957.94,959.99,0.0
1998-03-29,959.99,970.55,959.99,970.55,0.0
1998-03-30,970.55,970.55,968.11,968.11,0.0
1998-03-31,968.11,968.11,966.53,966.53,0.0
1998-04-01,966.53,966.53,964.95,964.95,0.0
1998-04-02,964.95,964.95,961.42,961.42,0.0
1998-04-05,961.42,961.42,960.45,960.45,0.0
1998-04-09,960.45,960.45,959.68,959.68,0.0
1998-04-12,959.68,966.46,959.68,966.46,0.0
1998-04-13,966.46,966.46,964.25,964.25,0.0
1998-04-14,964.25,964.25,957.31,957.31,0.0
1998-04-15,957.31,958.9,957.31,958.9,0.0
1998-04-16,958.9,958.9,957.15,957.15,0.0
1998-04-21,957.15,957.15,945.73,945.73,0.0
1998-04-22,945.73,945.73,938.0,938.0,0.0
1998-04-23,938.0,938.0,929.37,929.37,0.0
1998-04-26,929.37,929.37,927.39,927.39,0.0
1998-04-28,927.39,928.13,927.39,928.13,0.0
1998-04-29,928.13,928.93,928.13,928.93,0.0
1998-04-30,928.93,928.93,924.91,924.91,0.0
1998-05-03,924.91,924.91,914.16,914.16,0.0
1998-05-04,914.16,914.16,896.56,896.56,0.0
1998-05-05,896.56,897.27,896.56,897.27,0.0
1998-05-06,897.27,902.16,897.27,902.16,0.0
1998-05-07,902.16,903.24,902.16,903.24,0.0
1998-05-10,903.24,903.24,901.45,901.45,0.0
1998-05-11,901.45,901.45,897.04,897.04,0.0
1998-05-12,897.04,897.04,892.06,892.06,0.0
1998-05-13,892.06,892.06,879.58,879.58,0.0
1998-05-14,879.58,879.58,872.05,872.05,0.0
1998-05-17,872.05,872.05,857.02,857.02,0.0
1998-05-18,857.02,870.66,857.02,870.66,0.0
1998-05-19,870.66,873.09,870.66,873.09,0.0
1998-05-20,873.09,873.09,870.73,870.73,0.0
1998-05-21,870.73,870.73,862.22,862.22,0.0
1998-05-24,862.22,862.22,855.25,855.25,0.0
1998-05-25,855.25,855.43,855.25,855.43,0.0
1998-05-26,855.43,855.43,846.44,846.44,0.0
1998-05-27,846.44,846.44,832.82,832.82,0.0
1998-05-28,832.82,833.44,832.82,833.44,0.0
1998-05-31,833.44,833.44,821.32,821.32,0.0
1998-06-01,821.32,821.32,809.14,809.14,0.0
1998-06-02,809.14,839.0,809.14,839.0,0.0
1998-06-03,839.0,839.0,836.56,836.56,0.0
1998-06-04,836.56,866.59,836.56,866.59,0.0
1998-06-07,866.59,879.69,866.59,879.69,0.0
1998-06-08,879.69,892.17,879.69,892.17,0.0
1998-06-09,892.17,892.17,889.41,889.41,0.0
1998-06-10,889.41,889.41,886.71,886.71,0.0
1998-06-11,886.71,887.67,886.71,887.67,0.0
1998-06-14,887.67,887.67,880.76,880.76,0.0
1998-06-15,880.76,880.76,870.77,870.77,0.0
1998-06-16,870.77,870.77,858.89,858.89,0.0
1998-06-17,858.89,858.89,851.99,851.99,0.0
1998-06-18,851.99,851.99,850.87,850.87,0.0
1998-06-21,850.87,850.87,789.84,789.84,0.0
