"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2015","10.40","10.60","10.85","10.30","375.00K","-61.76%"
"01/18/2015","10.22","10.33","10.36","10.15","326.41K","-1.73%"
"01/19/2015","10.20","10.20","10.42","10.06","245.18K","-0.20%"
"01/20/2015","10.51","10.45","10.60","10.35","430.66K","3.04%"
"01/21/2015","10.58","10.45","10.73","10.40","303.48K","0.67%"
"01/22/2015","10.65","10.65","10.70","10.57","162.73K","0.66%"
"01/26/2015","10.54","10.51","10.65","10.42","61.17K","-1.03%"
"01/27/2015","10.68","10.53","10.76","10.53","298.33K","1.33%"
"01/28/2015","10.57","10.70","10.74","10.50","85.40K","-1.03%"
"01/29/2015","10.51","10.47","10.60","10.46","74.90K","-0.57%"
"02/01/2015","10.47","10.55","10.55","10.32","69.23K","-0.38%"
"02/02/2015","10.50","10.64","10.64","10.41","27.00K","0.29%"
"02/03/2015","10.56","10.50","10.65","10.41","63.22K","0.57%"
"02/04/2015","10.68","10.60","10.75","10.56","62.79K","1.14%"
"02/05/2015","10.62","10.60","10.70","10.60","73.00K","-0.56%"
"02/08/2015","10.61","10.70","10.72","10.51","38.04K","-0.09%"
"02/09/2015","10.68","10.55","10.74","10.47","36.95K","0.66%"
"02/10/2015","10.64","10.69","10.69","10.52","16.61K","-0.37%"
"02/11/2015","10.42","10.47","10.57","10.28","60.50K","-2.07%"
"02/12/2015","10.43","10.30","10.50","10.30","11.46K","0.10%"
"02/15/2015","10.43","10.40","10.50","10.31","16.23K","0.00%"
"02/16/2015","10.25","10.40","10.40","10.20","23.84K","-1.73%"
"02/17/2015","10.18","10.34","10.34","10.10","66.11K","-0.68%"
"02/18/2015","10.22","10.28","10.30","10.20","7.38K","0.39%"
"02/19/2015","10.13","10.21","10.21","10.10","20.37K","-0.88%"
"02/22/2015","10.02","10.10","10.10","9.99","10.95K","-1.09%"
"02/23/2015","10.30","10.25","10.33","10.25","31.69K","2.79%"
"02/24/2015","10.20","10.15","10.34","10.15","46.55K","-0.97%"
"02/25/2015","10.21","10.34","10.34","10.10","44.24K","0.10%"
"02/26/2015","10.04","10.01","10.14","9.96","35.94K","-1.67%"
"03/01/2015","9.99","10.10","10.12","9.92","49.18K","-0.50%"
"03/02/2015","10.12","10.14","10.18","10.10","10.98K","1.30%"
"03/03/2015","10.13","10.25","10.25","10.05","34.98K","0.10%"
"03/04/2015","10.17","10.15","10.19","10.10","15.68K","0.39%"
"03/05/2015","10.23","10.25","10.30","10.17","27.75K","0.59%"
"03/08/2015","10.24","10.25","10.25","10.22","7.12K","0.10%"
"03/09/2015","10.36","10.29","10.40","10.29","25.68K","1.17%"
"03/10/2015","10.36","10.40","10.43","10.25","43.95K","0.00%"
"03/11/2015","10.15","10.25","10.34","9.85","32.53K","-2.03%"
"03/12/2015","10.33","10.35","10.38","10.31","6.26K","1.77%"
