symbol,event_date,event_type,is_dilutive,source
ADIB,2024-06-27,capital_action,True,mubasher_news
ADIB,2025-08-11,capital_action,True,mubasher_news
ADIB,2025-12-08,capital_action,True,mubasher_news
ARCC,2026-03-26,governance,False,mubasher_news
BTFH,2025-03-31,capital_action,True,mubasher_news
BTFH,2025-04-14,capital_action,False,mubasher_news
COMI,2025-09-28,capital_action,True,mubasher_news
COMI,2026-02-12,capital_action,False,mubasher_news
EAST,2024-03-05,capital_action,True,mubasher_news
EFID,2023-06-19,capital_action,True,mubasher_news
EFID,2023-11-28,governance,False,mubasher_news
EFIH,2024-06-27,capital_action,True,mubasher_news
EGAL,2022-09-07,capital_action,True,mubasher_news
EGCH,2024-03-31,capital_action,True,mubasher_news
GBCO,2023-03-28,governance,False,mubasher_news
HELI,2024-10-22,capital_action,True,mubasher_news
HRHO,2025-09-22,governance,False,mubasher_news
HRHO,2025-11-04,capital_action,False,mubasher_news
HRHO,2026-01-08,capital_action,True,mubasher_news
ISPH,2021-11-28,governance,False,mubasher_news
JUFO,2026-03-31,capital_action,False,mubasher_news
MCQE,2023-06-26,capital_action,True,mubasher_news
ORAS,2025-12-09,capital_action,True,mubasher_news
ORAS,2025-12-11,capital_action,True,mubasher_news
ORAS,2026-01-25,capital_action,True,mubasher_news
RMDA,2025-07-13,capital_action,True,mubasher_news
VLMR,2020-12-28,governance,False,mubasher_news
VLMR,2021-03-31,governance,False,mubasher_news
VLMRA,2020-12-28,governance,False,mubasher_news
VLMRA,2021-03-31,governance,False,mubasher_news
