symbol,event_date,event_class,title,summary,source_url,source,source_page_url,cash_amount
ABUK,2026-03-30,business_update,Abu Qir Fertilizers' board approves $5.6m coated urea project,Cairo - Mubasher: The board of Abu Qir Fertilizers and Chemical Industries Company agreed to implement a coated urea project with a production capacity of 400 tons per day. The development is estimated at roughly $5.60 million in investment cost …,https://english.mubasher.info/news/4585599/Abu-Qir-Fertilizers-board-approves-5-6m-coated-urea-project/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2026-02-01,earnings,Abu Qir Fertilizers' profits exceed EGP 5.1bn in H1-25/26,"Cairo - Mubasher: The net profits after tax of Abu Qir Fertilizers and Chemical Industries Company reached EGP 5.10 billion in the first half (H1) of fiscal year (FY) 2025/2026, reflecting a 15% year-on-year (YoY) increase from EGP 4.45 billion. …",https://english.mubasher.info/news/4554415/Abu-Qir-Fertilizers-profits-exceed-EGP-5-1bn-in-H1-25-26/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2026-01-06,general,Abu Qir Fertilizers’ stock tests strength after correction,"Cairo - Mubasher: Abu Qir Fertilizers and Chemical Industries Company's stock has continued its positive performance since the beginning of December, successfully establishing an upward trend characterized by rising lows. The stock experienced a …",https://english.mubasher.info/news/4544683/Abu-Qir-Fertilizers-stock-tests-strength-after-correction/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-12-31,earnings,Abu Qir Fertilizers targets EGP 8.8bn net profits before tax for 2026,Cairo - Mubasher: The board members of Abu Qir Fertilizers and Chemical Industries Company approved the planned budget for 2026 during their meeting on 30 December 2025. The EGX-listed company intends to generate net profits before tax worth EGP …,https://english.mubasher.info/news/4542987/Abu-Qir-Fertilizers-targets-EGP-8-8bn-net-profits-before-tax-for-2026/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-12-23,general,Abu Qir Fertilizers receives approval for 2.6 MW solar power project,Cairo - Mubasher: The board of the Egyptian Electric Utility and Consumer Protection Regulatory Agency (EgyptERA) has approved granting Abu Qir Fertilizers and Chemical Industries Company a license to operate electricity generation from a solar …,https://english.mubasher.info/news/4539613/Abu-Qir-Fertilizers-receives-approval-for-2-6-MW-solar-power-project/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-12-18,general,Will Abu Qir Fertilizers stock succeed in breaking sideways range following today’s positive closing?,"Cairo – Mubasher: Technical movements signaled by Mubasher Trade Research indicate that the stock of Abu Qir Fertilizers is continuing its positive performance since the beginning of December, as the price succeeded in building an upward structure …",https://english.mubasher.info/news/4537934/Will-Abu-Qir-Fertilizers-stock-succeed-in-breaking-sideways-range-following-today-s-positive-closing-/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-11-18,general,Abu Qir Fertilizers' shares decline: retest in progress or new bullish wave coming?,"Cairo – Mubasher: The stock of Abu Qir Fertilizers opened Tuesday's trading session with a solid rise, amidst the volatile performance of most leading stocks. After weeks of inconsistent performance and trading near the ascending trend line, the …",https://english.mubasher.info/news/4525669/Abu-Qir-Fertilizers-shares-decline-retest-in-progress-or-new-bullish-wave-coming-/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-11-02,earnings,Abu Qir Fertilizers sees 2% higher profits in Q1-25/26,"Cairo – Mubasher: Abu Qir Fertilizers posted 1.98% year-on-year (YoY) higher net profits after tax at EGP 1.30 billion in the first quarter (Q1) of fiscal year (FY) 2025/2026, compared with EGP 1.28 billion. The earnings per share (EPS) hit EGP …",https://english.mubasher.info/news/4516724/Abu-Qir-Fertilizers-sees-2-higher-profits-in-Q1-25-26/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-07-31,earnings,Abu Qir Fertilizers achieves EGP 9.3bn profits in FY24/25,"Cairo – Mubasher: The net profits of Abu Qir Fertilizers dropped by 31% to EGP 9.34 billion in fiscal year (FY) 2024/25 from EGP 13.47 billion in FY23/24, according to the unaudited financial statements. Net sales hit EGP 22.91 billion in FY24/25, …",https://english.mubasher.info/news/4475132/Abu-Qir-Fertilizers-achieves-EGP-9-3bn-profits-in-FY24-25/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-05-05,earnings,Abu Qir Fertilizers’ standalone profits shrink 35.5% in 9M-24/25,"Cairo – Mubasher: Abu Qir Fertilizers recorded 35.49% year-on-year (YoY) lower net profits after tax at EGP 7.77 billion in the first nine months (9M) of fiscal year (FY) 2024/25. The registered net profits were compared with EGP 12.05 billion, …",https://english.mubasher.info/news/4443309/Abu-Qir-Fertilizers-standalone-profits-shrink-35-5-in-9M-24-25/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2025-02-06,earnings,Abu Qir Fertilizers posts EGP 4.4bn standalone profits in H1-24/25,"Cairo – Mubasher: Abu Qir Fertilizers logged standalone net profits after tax amounting to EGP 4.44 billion in the first half (H1) of fiscal year (FY) 2024/2025, an annual rise of 11.89% from EGP 3.98 billion. The sales hit EGP 10.24 billion as of …",https://english.mubasher.info/news/4400621/Abu-Qir-Fertilizers-posts-EGP-4-4bn-standalone-profits-in-H1-24-25/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2024-11-13,earnings,Abu Qir Fertilizers’ profits fall in Q1-24/25 due to lower sales value,Cairo – Mubasher: The net profits after tax of Abu Qir Fertilizers plummeted by 35.35% to EGP 1.28 billion in the first quarter (Q1) of fiscal year (FY) 2024/2025 from EGP 1.98 billion in Q1-23/24. The decline in net profit after tax was due to a …,https://english.mubasher.info/news/4367835/Abu-Qir-Fertilizers-profits-fall-in-Q1-24-25-due-to-lower-sales-value/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2024-08-04,earnings,Abu Qir Fertilizers registers EGP 9.1bn net profits in FY23/24,"Cairo – Mubasher: Abu Qir Fertilizers logged net profits after tax valued at EGP 9.16 billion in fiscal year (FY) 2023/2024, down 4.32% year-on-year (YoY) from EGP 9.56 billion. The revenues shrank by 14.06% to EGP 18.52 billion during the …",https://english.mubasher.info/news/4322791/Abu-Qir-Fertilizers-registers-EGP-9-1bn-net-profits-in-FY23-24/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2024-05-01,earnings,Abu Qir Fertilizers’ net profit dips 3% YoY in 9M-23/24,Cairo – Mubasher: Abu Qir Fertilizers reported a 3.16% year-on-year (YoY) decline in net profit after tax to EGP 12.14 billion in the first nine months (9M) of the fiscal year (FY) 2023/2024 from EGP 12.53 billion. Revenues dropped 18.84% YoY to …,https://english.mubasher.info/news/4283422/Abu-Qir-Fertilizers-net-profit-dips-3-YoY-in-9M-23-24/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2024-02-04,earnings,Abu Qir Fertilizers logs over EGP 4bn profits in H1-23/24,"Cairo – Mubasher: Abu Qir Fertilizers generated EGP 4.01 billion in net profit after tax during the first half (H1) of fiscal year (FY) 2023/2024, an annual drop of 43% from EGP 7.05 billion. The revenues shrank by 23.30% to EGP 8.62 billion in …",https://english.mubasher.info/news/4242729/Abu-Qir-Fertilizers-logs-over-EGP-4bn-profits-in-H1-23-24/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
ABUK,2023-11-01,earnings,Abu Qir Fertilizers generates 27.5% lower profits in Q1-23/24,"Cairo – Mubasher: Abu Qir Fertilizers logged net profits after tax valued at EGP 2.01 billion in the first quarter (Q1) of fiscal year (FY) 2023/2024, down 27.37% from EGP 2.77 billion a year earlier. Revenues plummeted by 9.62% year-on-year (YoY) …",https://english.mubasher.info/news/4206048/Abu-Qir-Fertilizers-generates-27-5-lower-profits-in-Q1-23-24/,mubasher_news,https://english.mubasher.info/markets/EGX/stocks/ABUK/news,
