symbol,period_end,filing_date,fiscal_period,currency,source_url,revenue,net_income,equity,assets,operating_cf,capex,debt,cash,shares_outstanding
ABUK,2021-12-31,2022-03-31,FY 2021,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=03A6EEBD-973D-457C-A34F-EE5C6A611A93.pdf,,3516007181.0,8360606168.0,10847844464.0,2577507815.0,,2487238296.0,,1261875720.0
ABUK,2022-03-31,2022-05-30,Q1 2022,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=EC0AE36E-AB44-488B-90BA-3D6471A7EAD9.pdf,,1289617385.0,8644500186.0,13632551737.0,1495422837.0,,4988051551.0,,1261875720.0
ABUK,2022-06-30,2022-08-29,Q2 2022,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=65188C3F-FD62-4E6B-84ED-BF6C55CBE793.pdf,,1913427557.0,11149039932.0,13966426839.0,994245256.0,,2817386907.0,,1261875720.0
ABUK,2022-09-30,2022-10-24,Q1 2023,EGP,https://english.mubasher.info/news/4028548/Abu-Qir-Fertilizers-profits-soar-114-in-Q1-FY22-23/,,2777482585.0,15483373273.0,24743561325.0,2114013261.0,,9260188052.0,,1261875720.0
ABUK,2022-09-30,2022-11-29,Q3 2022,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=3B5612B7-0DD0-459D-8D2E-2F5D3FC54C9C.pdf,,3761481549.0,15561821967.0,19360542041.0,4485764469.0,,3798720074.0,,1261875720.0
ABUK,2022-12-31,2023-01-29,Q2 2023,EGP,https://english.mubasher.info/news/4067678/Abu-Qir-Fertilizers-profits-hike-to-EGP-7-23bn-in-H1-22-23-unaudited-financials/,,4456809384.0,21091082178.0,25472524112.0,1659623480.0,,4381441934.0,,1261875720.0
ABUK,2022-12-31,2023-03-01,Q4 2022,EGP,https://english.mubasher.info/markets/EGX/stocks/ABUK/financial-statements,,2089612837.0,17806394611.0,22372473862.0,2279649708.0,,4566079251.0,,1261875720.0
ABUK,2022-12-31,2023-03-31,FY 2022,EGP,http://data.feedgfm.com/mix2/DCMServiceProvider?ROLE=A&RT=87&ID=5222C27B-0945-46BB-9CCA-57CB0154365C.pdf,,9054139328.0,17806394611.0,22372473862.0,9255082270.0,,4566079251.0,,1261875720.0
ABUK,2023-03-31,2023-04-19,Q3 2023,EGP,https://english.mubasher.info/news/4111555/Abu-Qir-Fertilizers-registers-86-higher-profits-in-9M-22-23/,,5724430042.0,28167480800.0,34333132383.0,3857778935.0,,6165651583.0,,1261875720.0
ABUK,2023-06-30,2023-08-01,FY 2023,EGP,https://english.mubasher.info/news/4162014/Abu-Qir-Fertilizers-posts-higher-profits-at-EGP-14-64bn-in-FY22-23/,,14640225272.0,29375406447.0,35425014547.0,8833174927.0,,6049608100.0,,1261875720.0
