symbol,is_member,effective_date,source
ABUK,True,2001-05-15,backfilled_current_constituents
ADIB,True,2001-05-15,backfilled_current_constituents
AMOC,True,2001-05-15,backfilled_current_constituents
ARCC,True,2001-05-15,backfilled_current_constituents
BFTH,True,2001-05-15,backfilled_current_constituents
CCAP,True,2001-05-15,backfilled_current_constituents
COMI,True,2001-05-15,backfilled_current_constituents
EAST,True,2001-05-15,backfilled_current_constituents
EFID,True,2001-05-15,backfilled_current_constituents
EFIH,True,2001-05-15,backfilled_current_constituents
EGAL,True,2001-05-15,backfilled_current_constituents
EGCH,True,2001-05-15,backfilled_current_constituents
EMFD,True,2001-05-15,backfilled_current_constituents
ETEL,True,2001-05-15,backfilled_current_constituents
FWRY,True,2001-05-15,backfilled_current_constituents
GBCO,True,2001-05-15,backfilled_current_constituents
HELI,True,2001-05-15,backfilled_current_constituents
HRHO,True,2001-05-15,backfilled_current_constituents
ISPH,True,2001-05-15,backfilled_current_constituents
JUFO,True,2001-05-15,backfilled_current_constituents
MCQE,True,2001-05-15,backfilled_current_constituents
OIH,True,2001-05-15,backfilled_current_constituents
ORAS,True,2001-05-15,backfilled_current_constituents
ORHD,True,2001-05-15,backfilled_current_constituents
ORWE,True,2001-05-15,backfilled_current_constituents
PHDC,True,2001-05-15,backfilled_current_constituents
RAYA,True,2001-05-15,backfilled_current_constituents
RMDA,True,2001-05-15,backfilled_current_constituents
TMGH,True,2001-05-15,backfilled_current_constituents
VLMR,True,2001-05-15,backfilled_current_constituents
VLMRA,True,2001-05-15,backfilled_current_constituents
ABUK,True,2026-02-01,official_etf_rebalancing_workbook
ADIB,True,2026-02-01,official_etf_rebalancing_workbook
AMOC,True,2026-02-01,official_etf_rebalancing_workbook
ARCC,True,2026-02-01,official_etf_rebalancing_workbook
BFTH,True,2026-02-01,official_etf_rebalancing_workbook
CCAP,True,2026-02-01,official_etf_rebalancing_workbook
COMI,True,2026-02-01,official_etf_rebalancing_workbook
EAST,True,2026-02-01,official_etf_rebalancing_workbook
EFID,True,2026-02-01,official_etf_rebalancing_workbook
EFIH,True,2026-02-01,official_etf_rebalancing_workbook
EGAL,True,2026-02-01,official_etf_rebalancing_workbook
EGCH,True,2026-02-01,official_etf_rebalancing_workbook
EMFD,True,2026-02-01,official_etf_rebalancing_workbook
ETEL,True,2026-02-01,official_etf_rebalancing_workbook
FWRY,True,2026-02-01,official_etf_rebalancing_workbook
GBCO,True,2026-02-01,official_etf_rebalancing_workbook
HELI,True,2026-02-01,official_etf_rebalancing_workbook
HRHO,True,2026-02-01,official_etf_rebalancing_workbook
ISPH,True,2026-02-01,official_etf_rebalancing_workbook
JUFO,True,2026-02-01,official_etf_rebalancing_workbook
MCQE,True,2026-02-01,official_etf_rebalancing_workbook
OIH,True,2026-02-01,official_etf_rebalancing_workbook
ORAS,True,2026-02-01,official_etf_rebalancing_workbook
ORHD,True,2026-02-01,official_etf_rebalancing_workbook
ORWE,True,2026-02-01,official_etf_rebalancing_workbook
PHDC,True,2026-02-01,official_etf_rebalancing_workbook
RAYA,True,2026-02-01,official_etf_rebalancing_workbook
RMDA,True,2026-02-01,official_etf_rebalancing_workbook
TMGH,True,2026-02-01,official_etf_rebalancing_workbook
VLMR,True,2026-02-01,official_etf_rebalancing_workbook
VLMRA,True,2026-02-01,official_etf_rebalancing_workbook
