symbol,is_member,effective_date,source
ABUK,True,2001-05-15,backfilled_current_constituents
ADIB,True,2001-05-15,backfilled_current_constituents
AMOC,True,2001-05-15,backfilled_current_constituents
ARCC,True,2001-05-15,backfilled_current_constituents
BTFH,True,2001-05-15,backfilled_current_constituents
CCAP,True,2001-05-15,backfilled_current_constituents
COMI,True,2001-05-15,backfilled_current_constituents
EAST,True,2001-05-15,backfilled_current_constituents
EFID,True,2001-05-15,backfilled_current_constituents
EFIH,True,2001-05-15,backfilled_current_constituents
EGAL,True,2001-05-15,backfilled_current_constituents
EGCH,True,2001-05-15,backfilled_current_constituents
EMFD,True,2001-05-15,backfilled_current_constituents
ETEL,True,2001-05-15,backfilled_current_constituents
FWRY,True,2001-05-15,backfilled_current_constituents
GBCO,True,2001-05-15,backfilled_current_constituents
HELI,True,2001-05-15,backfilled_current_constituents
HRHO,True,2001-05-15,backfilled_current_constituents
ISPH,True,2001-05-15,backfilled_current_constituents
JUFO,True,2001-05-15,backfilled_current_constituents
MCQE,True,2001-05-15,backfilled_current_constituents
OIH,True,2001-05-15,backfilled_current_constituents
ORAS,True,2001-05-15,backfilled_current_constituents
ORHD,True,2001-05-15,backfilled_current_constituents
ORWE,True,2001-05-15,backfilled_current_constituents
PHDC,True,2001-05-15,backfilled_current_constituents
RAYA,True,2001-05-15,backfilled_current_constituents
RMDA,True,2001-05-15,backfilled_current_constituents
TMGH,True,2001-05-15,backfilled_current_constituents
VLMR,True,2001-05-15,backfilled_current_constituents
VLMRA,True,2001-05-15,backfilled_current_constituents
AMOC,True,2020-08-01,verified_2020_08_arabfinance
BTFH,False,2020-08-01,verified_2020_08_arabfinance
EFID,False,2020-08-01,verified_2020_08_arabfinance
EGCH,True,2020-08-01,verified_2020_08_arabfinance
ORAS,True,2020-08-01,verified_2020_08_arabfinance
EFID,False,2021-08-01,verified_2021_08_mubasher
EMFD,False,2021-08-01,verified_2021_08_mubasher
OIH,False,2021-08-01,verified_2021_08_mubasher
RAYA,True,2021-08-01,verified_2021_08_mubasher
RMDA,True,2021-08-01,verified_2021_08_mubasher
ADIB,True,2022-02-01,verified_2022_02_claps
EFIH,True,2022-02-01,verified_2022_02_claps
ORAS,True,2022-02-01,verified_2022_02_claps
RAYA,False,2022-02-01,verified_2022_02_claps
ADIB,False,2022-08-01,verified_2022_08_claps
JUFO,True,2022-08-01,verified_2022_08_claps
ORHD,False,2022-08-01,verified_2022_08_claps
ADIB,True,2023-02-01,verified_2023_02_claps
EFID,True,2023-02-01,verified_2023_02_claps
ADIB,False,2023-08-01,verified_2023_08_claps
BTFH,True,2023-08-01,verified_2023_08_claps
ISPH,False,2023-08-01,verified_2023_08_claps
ORHD,True,2023-08-01,verified_2023_08_claps
RMDA,False,2023-08-01,verified_2023_08_claps
CCAP,False,2024-08-01,verified_2024_08_enterprise
EMFD,True,2024-08-01,verified_2024_08_enterprise
ISPH,False,2024-08-01,verified_2024_08_enterprise
ORHD,False,2024-08-01,verified_2024_08_enterprise
CCAP,True,2025-02-01,verified_2025_02_egypttoday
EGAL,True,2025-02-01,verified_2025_02_egypttoday
HELI,False,2025-02-01,verified_2025_02_egypttoday
ISPH,True,2025-02-01,verified_2025_02_egypttoday
ORHD,True,2025-02-01,verified_2025_02_egypttoday
RMDA,True,2025-02-01,verified_2025_02_egypttoday
