date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-16,2.7,2.72,2.7,2.71,6032,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-17,2.85,2.85,2.7,2.82,3967,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-20,2.71,2.72,2.7,2.71,60515,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-21,2.7,2.7,2.64,2.69,8491,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-22,2.72,2.72,2.65,2.71,6286,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-23,2.67,2.7,2.67,2.68,1886,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-24,2.7,2.7,2.7,2.7,7764,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-27,2.7,2.71,2.7,2.7,22302,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-28,2.71,2.77,2.7,2.72,677,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-29,2.72,2.72,2.72,2.72,836,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-30,2.72,2.72,2.72,2.72,2326,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-31,2.76,2.76,2.76,2.76,1012,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-03,2.82,2.82,2.76,2.76,78,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-05,2.72,2.72,2.7,2.7,8010,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-06,2.8,2.8,2.72,2.72,452,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-07,2.72,2.72,2.7,2.71,14575,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-10,2.72,2.72,2.72,2.72,454,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-11,2.7,2.72,2.65,2.68,18283,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-12,2.67,2.67,2.65,2.67,3140,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-13,2.67,2.67,2.57,2.59,8838,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-14,2.67,2.67,2.67,2.67,836,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-17,2.67,2.67,2.61,2.62,48166,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-19,2.61,2.64,2.61,2.62,1783,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-20,2.61,2.64,2.61,2.62,4466,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-21,2.62,2.62,2.61,2.61,4709,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-24,2.64,2.64,2.64,2.64,276,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-25,2.67,2.67,2.67,2.67,1118,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-26,2.67,2.72,2.64,2.69,1724,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-27,2.65,2.65,2.61,2.62,2964,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-06-28,2.62,2.64,2.61,2.61,7103,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-03,2.61,2.61,2.61,2.61,564,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-04,2.64,2.65,2.61,2.62,13682,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-05,2.61,2.61,2.6,2.61,2546,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-08,2.55,2.61,2.55,2.59,614,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-09,2.65,2.65,2.65,2.65,2796,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-10,2.64,2.64,2.64,2.64,1469,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-12,2.61,2.61,2.57,2.59,3138,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-15,2.57,2.57,2.57,2.57,1763,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-16,2.61,2.61,2.6,2.61,6004,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-17,2.6,2.6,2.6,2.6,2819,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-18,2.6,2.6,2.5,2.53,836,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-19,2.55,2.57,2.55,2.57,996,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-22,2.53,2.57,2.53,2.57,29,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-24,2.57,2.57,2.51,2.57,19273,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-25,2.51,2.55,2.49,2.51,14436,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-26,2.52,2.55,2.52,2.55,7208,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-29,2.52,2.52,2.52,2.52,319,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-30,2.49,2.57,2.49,2.53,6691,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-07-31,2.49,2.51,2.49,2.5,5176,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-05,2.49,2.53,2.49,2.51,11071,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-06,2.52,2.53,2.51,2.52,3611,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-07,2.49,2.49,2.46,2.47,6061,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-08,2.49,2.49,2.49,2.49,7860,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-09,2.51,2.57,2.51,2.57,1774,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-12,2.65,2.67,2.65,2.65,7715,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-13,2.65,2.78,2.65,2.76,1344,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-14,2.87,2.87,2.87,2.87,554,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-15,2.72,2.72,2.72,2.72,276,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-16,2.65,2.65,2.59,2.65,47412,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-19,2.5,2.57,2.5,2.55,6422,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-20,2.5,2.55,2.49,2.5,9114,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-21,2.5,2.5,2.49,2.5,3136,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-22,2.49,2.5,2.49,2.49,6821,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-23,2.5,2.61,2.5,2.57,554,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-26,2.49,2.52,2.49,2.5,962,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-27,2.55,2.55,2.5,2.55,4094,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-28,2.6,2.6,2.57,2.58,8800,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-29,2.61,2.61,2.57,2.58,6968,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-08-30,2.64,2.65,2.61,2.62,5338,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-02,2.57,2.62,2.57,2.58,3072,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-03,2.59,2.67,2.59,2.61,13571,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-04,2.7,2.72,2.69,2.72,7620,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-05,2.85,2.85,2.72,2.84,12154,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-06,2.84,2.95,2.73,2.78,8794,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-09-09,2.78,2.78,2.65,2.69,2503,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
