date,open,high,low,close,volume,symbol,holding_name,weight
2005-09-29,5.07,6.06,5.07,5.75,58429830,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-02,6.27,6.27,5.94,6.07,21264990,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-03,5.93,6.0,5.7,5.86,22889790,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-04,5.69,5.7,5.53,5.61,10002465,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-05,5.51,5.86,5.48,5.59,11976975,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-09,5.87,6.03,5.67,5.95,14967165,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-10,6.0,6.13,5.94,6.01,7122690,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-11,5.93,6.03,5.87,5.98,5184390,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-12,5.97,6.09,5.93,5.99,7591605,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-13,5.97,6.09,5.94,6.0,4300905,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-16,5.93,6.03,5.93,6.0,5223825,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-17,6.0,6.02,5.93,5.97,5822460,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-18,5.95,6.0,5.73,5.91,3553725,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-19,5.83,5.83,5.69,5.75,3604140,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-20,5.74,5.87,5.74,5.79,2397885,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-23,5.77,5.87,5.75,5.8,3135270,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-24,5.77,5.9,5.73,5.83,3103890,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-25,5.73,6.0,5.73,5.92,6075375,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-26,5.8,5.93,5.74,5.82,2040540,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-27,5.85,5.87,5.71,5.75,3348855,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-30,5.73,5.77,5.69,5.73,1986825,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-10-31,5.76,5.87,5.72,5.79,3400455,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-01,5.77,5.93,5.77,5.85,2026905,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-06,5.87,5.9,5.81,5.86,4611165,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-07,5.83,5.87,5.73,5.78,2769780,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-08,5.74,5.82,5.73,5.77,3093660,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-09,5.8,5.8,5.67,5.69,2866320,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-10,5.67,5.8,5.67,5.74,2897070,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-13,5.72,5.72,5.57,5.65,1646115,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-14,5.57,5.6,5.4,5.51,2316960,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-15,5.43,5.56,5.41,5.51,1414395,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-16,5.57,5.6,5.44,5.5,1408785,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-17,5.45,5.49,5.43,5.46,788790,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-20,5.43,5.47,5.41,5.45,1312485,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-21,5.47,5.47,5.4,5.44,1601490,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-22,5.41,5.47,5.2,5.33,1823730,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-23,5.2,5.25,5.08,5.19,2707005,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-24,5.2,5.23,5.09,5.2,891735,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-27,5.2,5.22,5.13,5.16,2071155,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-28,5.14,5.23,5.14,5.19,2025615,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-29,5.15,5.2,5.09,5.15,1851210,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-11-30,5.07,5.13,5.07,5.08,2373765,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-01,5.03,5.2,5.03,5.13,1757775,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-04,5.17,5.49,5.17,5.38,3155070,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-05,5.49,5.53,5.37,5.44,1062285,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-06,5.39,5.47,5.33,5.41,853455,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-07,5.47,5.83,5.47,5.77,2563500,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-08,5.83,5.93,5.68,5.82,3479475,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-11,5.87,5.93,5.67,5.74,2427360,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-12,5.77,5.8,5.59,5.65,2485680,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-13,5.57,5.6,5.43,5.53,1822575,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-18,5.47,5.47,5.29,5.34,2220810,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-19,5.29,5.37,5.2,5.31,3911835,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-20,5.23,5.27,5.19,5.22,1277760,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-21,5.23,5.3,5.2,5.24,1225515,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-22,5.2,5.27,5.13,5.17,1341585,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
2005-12-25,5.19,5.26,5.14,5.16,1212795,AMOC,Alexandria Mineral Oils Company,0.007824696481287205
