date,open,high,low,close,volume,symbol,holding_name,weight
2014-05-18,9.0,14.0,7.0,10.39,19622158,ARCC,Arabian Cement Company,0.0037
2014-05-19,10.39,10.53,10.22,10.41,3322478,ARCC,Arabian Cement Company,0.0037
2014-05-20,10.41,10.41,10.1,10.21,7104540,ARCC,Arabian Cement Company,0.0037
2014-05-21,10.21,10.34,10.04,10.17,1658176,ARCC,Arabian Cement Company,0.0037
2014-05-22,10.17,10.8,10.17,10.52,6802208,ARCC,Arabian Cement Company,0.0037
2014-05-25,10.52,11.05,10.52,10.91,3438937,ARCC,Arabian Cement Company,0.0037
2014-05-26,10.91,11.5,10.8,11.05,2132865,ARCC,Arabian Cement Company,0.0037
2014-05-28,11.05,11.05,10.64,10.83,1202592,ARCC,Arabian Cement Company,0.0037
2014-05-29,10.83,11.06,10.26,10.56,5023304,ARCC,Arabian Cement Company,0.0037
2014-06-01,10.56,11.0,10.04,10.4,2691393,ARCC,Arabian Cement Company,0.0037
2014-06-02,10.4,10.98,10.36,10.58,758646,ARCC,Arabian Cement Company,0.0037
2014-06-03,10.58,10.8,10.51,10.63,2507700,ARCC,Arabian Cement Company,0.0037
2014-06-04,10.63,10.95,10.6,10.82,1373282,ARCC,Arabian Cement Company,0.0037
2014-06-05,10.82,11.47,10.76,11.14,831960,ARCC,Arabian Cement Company,0.0037
2014-06-09,11.14,11.35,11.06,11.18,558596,ARCC,Arabian Cement Company,0.0037
2014-06-10,11.18,11.24,10.92,11.17,628207,ARCC,Arabian Cement Company,0.0037
2014-06-11,11.17,11.24,11.08,11.12,241893,ARCC,Arabian Cement Company,0.0037
2014-06-12,11.12,11.39,11.0,11.08,243081,ARCC,Arabian Cement Company,0.0037
2014-06-15,11.08,11.08,10.9,11.0,222896,ARCC,Arabian Cement Company,0.0037
2014-06-16,11.0,11.08,10.81,10.95,211448,ARCC,Arabian Cement Company,0.0037
2014-06-17,10.95,10.99,10.76,10.82,221364,ARCC,Arabian Cement Company,0.0037
2014-06-18,10.82,11.15,10.75,10.96,1282698,ARCC,Arabian Cement Company,0.0037
2014-06-19,10.96,11.08,10.91,11.0,401887,ARCC,Arabian Cement Company,0.0037
2014-06-22,11.0,11.1,11.0,11.01,565907,ARCC,Arabian Cement Company,0.0037
2014-06-23,11.01,11.05,11.0,11.03,107220,ARCC,Arabian Cement Company,0.0037
2014-06-24,11.03,11.03,11.0,11.02,1293488,ARCC,Arabian Cement Company,0.0037
2014-06-25,11.02,11.08,11.02,11.04,987579,ARCC,Arabian Cement Company,0.0037
2014-06-26,11.04,11.07,10.9,10.94,424542,ARCC,Arabian Cement Company,0.0037
2014-06-29,10.94,11.0,10.9,10.97,141251,ARCC,Arabian Cement Company,0.0037
2014-06-30,10.97,11.0,10.92,10.99,120572,ARCC,Arabian Cement Company,0.0037
2014-07-02,10.99,11.04,10.72,10.96,144875,ARCC,Arabian Cement Company,0.0037
2014-07-03,10.96,11.04,10.91,11.0,159939,ARCC,Arabian Cement Company,0.0037
2014-07-06,11.0,11.13,11.0,11.09,345663,ARCC,Arabian Cement Company,0.0037
