date,open,high,low,close,volume,symbol,holding_name,weight
2008-09-10,0.21,0.21,0.21,0.21,329659601,BFTH,Beltone Holding,0.01651725757823403
2009-12-17,0.21,0.21,0.21,0.21,348672922,BFTH,Beltone Holding,0.01651725757823403
2011-01-06,8.69,8.69,8.69,8.69,7461173,BFTH,Beltone Holding,0.01651725757823403
2011-01-11,15.5,15.5,14.0,14.0,1000,BFTH,Beltone Holding,0.01651725757823403
2011-03-23,0.22,0.22,0.22,0.22,16639439,BFTH,Beltone Holding,0.01651725757823403
2011-03-27,0.22,0.22,0.22,0.22,4800,BFTH,Beltone Holding,0.01651725757823403
2011-03-28,0.24,0.24,0.24,0.24,4173,BFTH,Beltone Holding,0.01651725757823403
2011-03-29,0.25,0.25,0.25,0.25,4173,BFTH,Beltone Holding,0.01651725757823403
2011-03-30,0.27,0.27,0.27,0.27,37769,BFTH,Beltone Holding,0.01651725757823403
2011-03-31,0.28,0.28,0.28,0.28,4425,BFTH,Beltone Holding,0.01651725757823403
2011-04-04,0.29,0.29,0.29,0.29,5428,BFTH,Beltone Holding,0.01651725757823403
2011-04-05,0.3,0.3,0.3,0.3,5803,BFTH,Beltone Holding,0.01651725757823403
2011-04-07,0.32,0.32,0.32,0.32,5428,BFTH,Beltone Holding,0.01651725757823403
2011-04-10,0.34,0.34,0.34,0.34,4173,BFTH,Beltone Holding,0.01651725757823403
2011-04-11,0.35,0.35,0.35,0.35,13189,BFTH,Beltone Holding,0.01651725757823403
2011-04-12,0.37,0.37,0.37,0.37,94357,BFTH,Beltone Holding,0.01651725757823403
2011-04-13,0.39,0.39,0.39,0.39,150146,BFTH,Beltone Holding,0.01651725757823403
2011-04-14,0.4,0.4,0.4,0.4,295085,BFTH,Beltone Holding,0.01651725757823403
2011-04-17,0.42,0.42,0.42,0.42,756170,BFTH,Beltone Holding,0.01651725757823403
2011-04-18,0.45,0.45,0.4,0.41,560494,BFTH,Beltone Holding,0.01651725757823403
2011-04-19,0.41,0.43,0.4,0.42,518264,BFTH,Beltone Holding,0.01651725757823403
2011-04-20,0.4,0.42,0.4,0.41,235576,BFTH,Beltone Holding,0.01651725757823403
2011-04-21,0.39,0.4,0.39,0.39,181408,BFTH,Beltone Holding,0.01651725757823403
2011-04-26,0.38,0.38,0.37,0.37,122901,BFTH,Beltone Holding,0.01651725757823403
2011-04-27,0.35,0.39,0.35,0.36,208032,BFTH,Beltone Holding,0.01651725757823403
2011-04-28,0.38,0.38,0.38,0.38,18571,BFTH,Beltone Holding,0.01651725757823403
2011-05-02,0.36,0.36,0.36,0.36,204899,BFTH,Beltone Holding,0.01651725757823403
2011-05-03,0.38,0.38,0.36,0.37,216921,BFTH,Beltone Holding,0.01651725757823403
2011-05-04,0.36,0.36,0.35,0.36,114676,BFTH,Beltone Holding,0.01651725757823403
2011-05-05,0.35,0.35,0.34,0.35,64680,BFTH,Beltone Holding,0.01651725757823403
2011-05-08,0.33,0.33,0.33,0.33,157743,BFTH,Beltone Holding,0.01651725757823403
