date,open,high,low,close,volume,symbol,holding_name,weight
2009-12-06,14.88,14.93,13.73,14.2,18181485,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-07,14.21,14.5,12.46,12.9,10786323,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-08,12.89,13.04,10.31,10.53,20994038,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-09,9.88,10.96,9.35,10.73,7475296,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-10,10.54,10.95,9.64,10.1,5300418,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-13,10.63,10.84,10.11,10.3,5367564,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-14,10.54,10.57,9.58,9.78,5744955,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-15,9.67,9.93,9.5,9.56,3721664,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-16,9.51,9.65,8.9,8.96,5019997,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-17,9.19,9.57,8.87,9.53,4530347,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-20,9.67,9.67,9.19,9.22,2113704,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-21,9.24,9.35,9.03,9.08,1872032,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-22,9.2,9.32,8.68,8.74,4204141,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-23,8.78,8.98,8.67,8.92,2164088,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-24,8.91,9.06,8.76,8.78,3687483,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-27,8.91,9.04,8.68,8.86,3417940,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-28,8.81,8.86,8.6,8.8,7245245,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-29,8.81,8.85,8.71,8.81,2984014,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-30,8.76,8.92,8.68,8.84,23996853,CCAP,QALA For Financial Investments,0.012715548207238393
2009-12-31,8.92,9.16,8.81,9.14,2973539,CCAP,QALA For Financial Investments,0.012715548207238393
2010-01-03,9.04,9.29,8.96,9.24,2156297,CCAP,QALA For Financial Investments,0.012715548207238393
2010-01-04,9.22,9.38,9.05,9.15,2139991,CCAP,QALA For Financial Investments,0.012715548207238393
2010-01-05,9.19,9.28,9.0,9.03,1381781,CCAP,QALA For Financial Investments,0.012715548207238393
2010-01-06,8.97,9.15,8.97,9.1,4885330,CCAP,QALA For Financial Investments,0.012715548207238393
