date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,0.62,0.62,0.61,0.62,509732,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-16,0.61,0.62,0.6,0.61,473515,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-17,0.61,0.61,0.6,0.61,960643,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-20,0.6,0.6,0.6,0.6,151354,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-21,0.6,0.64,0.6,0.62,1016963,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-22,0.61,0.62,0.61,0.61,412839,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-23,0.6,0.61,0.6,0.61,744053,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-24,0.62,0.63,0.61,0.62,461836,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-27,0.62,0.63,0.62,0.62,213083,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-28,0.63,0.63,0.62,0.62,269235,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-29,0.62,0.62,0.62,0.62,620118,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-30,0.61,0.62,0.61,0.61,470080,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-05-31,0.61,0.62,0.6,0.6,770240,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-03,0.6,0.6,0.58,0.58,268086,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-05,0.58,0.6,0.58,0.58,1116482,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-06,0.58,0.58,0.58,0.58,1187732,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-07,0.58,0.58,0.58,0.58,494285,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-10,0.58,0.58,0.55,0.58,604171,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-11,0.58,0.58,0.58,0.58,1134336,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-12,0.6,0.61,0.58,0.6,898998,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-13,0.6,0.61,0.6,0.6,950957,COMI,Commercial International Bank-Egypt (CIB),0.3269
2001-06-14,0.6,0.6,0.6,0.6,438648,COMI,Commercial International Bank-Egypt (CIB),0.3269
