date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,0.36,0.38,0.36,0.37,665919,EAST,Eastern Company,0.07421615580721792
2001-05-16,0.36,0.36,0.36,0.36,230892,EAST,Eastern Company,0.07421615580721792
2001-05-17,0.36,0.37,0.36,0.36,402094,EAST,Eastern Company,0.07421615580721792
2001-05-20,0.36,0.36,0.35,0.36,227260,EAST,Eastern Company,0.07421615580721792
2001-05-21,0.36,0.38,0.36,0.36,6082507,EAST,Eastern Company,0.07421615580721792
2001-05-22,0.37,0.37,0.36,0.36,503072,EAST,Eastern Company,0.07421615580721792
2001-05-23,0.36,0.36,0.36,0.36,563004,EAST,Eastern Company,0.07421615580721792
2001-05-24,0.36,0.37,0.36,0.36,5069462,EAST,Eastern Company,0.07421615580721792
2001-05-27,0.36,0.36,0.36,0.36,205830,EAST,Eastern Company,0.07421615580721792
2001-05-28,0.37,0.37,0.36,0.36,184641,EAST,Eastern Company,0.07421615580721792
2001-05-29,0.36,0.36,0.36,0.36,169507,EAST,Eastern Company,0.07421615580721792
2001-05-30,0.36,0.37,0.36,0.36,78700,EAST,Eastern Company,0.07421615580721792
2001-05-31,0.35,0.35,0.35,0.35,54726,EAST,Eastern Company,0.07421615580721792
2001-06-03,0.35,0.35,0.35,0.35,15740,EAST,Eastern Company,0.07421615580721792
2001-06-05,0.35,0.35,0.35,0.35,757090,EAST,Eastern Company,0.07421615580721792
2001-06-06,0.35,0.35,0.35,0.35,172534,EAST,Eastern Company,0.07421615580721792
2001-06-07,0.35,0.35,0.35,0.35,2371278,EAST,Eastern Company,0.07421615580721792
2001-06-10,0.35,0.35,0.35,0.35,1234493,EAST,Eastern Company,0.07421615580721792
2001-06-11,0.32,0.35,0.32,0.35,260314,EAST,Eastern Company,0.07421615580721792
2001-06-12,0.34,0.34,0.34,0.34,281502,EAST,Eastern Company,0.07421615580721792
2001-06-13,0.34,0.34,0.34,0.34,389865,EAST,Eastern Company,0.07421615580721792
2001-06-14,0.34,0.34,0.34,0.34,2180583,EAST,Eastern Company,0.07421615580721792
2001-06-17,0.34,0.34,0.34,0.34,27848,EAST,Eastern Company,0.07421615580721792
2001-06-18,0.34,0.34,0.34,0.34,326906,EAST,Eastern Company,0.07421615580721792
2001-06-19,0.33,0.33,0.33,0.33,35112,EAST,Eastern Company,0.07421615580721792
2001-06-20,0.3,0.34,0.3,0.34,920179,EAST,Eastern Company,0.07421615580721792
2001-06-21,0.3,0.33,0.3,0.33,15135,EAST,Eastern Company,0.07421615580721792
