date,open,high,low,close,volume,symbol,holding_name,weight
2015-04-02,10.75,11.4,10.4,10.75,25254522,EFID,Edita Food Industries S.A.E,0.0213
2015-04-05,10.75,10.85,10.26,10.62,2680466,EFID,Edita Food Industries S.A.E,0.0213
2015-04-06,10.62,10.92,10.4,10.56,849116,EFID,Edita Food Industries S.A.E,0.0213
2015-04-07,10.56,11.61,10.56,11.33,1770874,EFID,Edita Food Industries S.A.E,0.0213
2015-04-08,11.33,12.46,11.33,12.26,1352742,EFID,Edita Food Industries S.A.E,0.0213
2015-04-09,12.26,12.26,11.58,11.79,926082,EFID,Edita Food Industries S.A.E,0.0213
2015-04-14,11.79,12.75,11.65,12.1,1185240,EFID,Edita Food Industries S.A.E,0.0213
2015-04-15,12.1,13.0,12.1,12.7,3772512,EFID,Edita Food Industries S.A.E,0.0213
2015-04-16,12.7,13.0,12.7,12.81,933180,EFID,Edita Food Industries S.A.E,0.0213
2015-04-19,12.81,13.13,12.77,12.84,89458,EFID,Edita Food Industries S.A.E,0.0213
2015-04-20,12.84,12.97,12.59,12.73,308098,EFID,Edita Food Industries S.A.E,0.0213
2015-04-21,12.73,12.85,12.5,12.55,420922,EFID,Edita Food Industries S.A.E,0.0213
2015-04-22,12.55,12.94,12.52,12.73,602898,EFID,Edita Food Industries S.A.E,0.0213
2015-04-23,12.73,13.0,12.73,12.94,364860,EFID,Edita Food Industries S.A.E,0.0213
2015-04-26,12.94,13.0,12.5,12.53,163264,EFID,Edita Food Industries S.A.E,0.0213
2015-04-27,12.53,12.75,12.5,12.55,229572,EFID,Edita Food Industries S.A.E,0.0213
2015-04-28,12.55,12.55,12.04,12.43,421100,EFID,Edita Food Industries S.A.E,0.0213
2015-04-29,12.43,12.6,11.95,12.19,691248,EFID,Edita Food Industries S.A.E,0.0213
2015-04-30,12.19,12.75,12.19,12.67,70622,EFID,Edita Food Industries S.A.E,0.0213
2015-05-03,12.67,12.67,12.06,12.25,28892,EFID,Edita Food Industries S.A.E,0.0213
2015-05-04,12.25,12.25,12.14,12.16,12820,EFID,Edita Food Industries S.A.E,0.0213
2015-05-05,12.16,12.62,12.01,12.22,2185370,EFID,Edita Food Industries S.A.E,0.0213
2015-05-06,12.22,13.44,12.22,13.21,466186,EFID,Edita Food Industries S.A.E,0.0213
2015-05-07,13.21,14.25,13.0,13.59,776044,EFID,Edita Food Industries S.A.E,0.0213
2015-05-10,13.59,13.65,13.5,13.52,197994,EFID,Edita Food Industries S.A.E,0.0213
2015-05-11,13.52,14.4,13.51,14.22,580578,EFID,Edita Food Industries S.A.E,0.0213
2015-05-12,14.22,15.01,14.0,14.19,1245878,EFID,Edita Food Industries S.A.E,0.0213
2015-05-13,14.19,14.9,14.13,14.51,260008,EFID,Edita Food Industries S.A.E,0.0213
2015-05-14,14.51,14.51,13.75,14.01,506634,EFID,Edita Food Industries S.A.E,0.0213
2015-05-17,14.01,15.0,13.56,13.73,146766,EFID,Edita Food Industries S.A.E,0.0213
2015-05-18,13.73,14.19,13.5,13.98,458140,EFID,Edita Food Industries S.A.E,0.0213
2015-05-19,13.98,14.0,13.5,13.6,266980,EFID,Edita Food Industries S.A.E,0.0213
2015-05-20,13.6,14.2,13.5,13.75,304288,EFID,Edita Food Industries S.A.E,0.0213
2015-05-21,13.75,14.24,13.75,13.87,1083272,EFID,Edita Food Industries S.A.E,0.0213
2015-05-24,13.87,14.0,13.56,13.82,340228,EFID,Edita Food Industries S.A.E,0.0213
2015-05-25,13.82,13.82,13.5,13.51,976156,EFID,Edita Food Industries S.A.E,0.0213
2015-05-26,13.51,13.75,13.5,13.59,781844,EFID,Edita Food Industries S.A.E,0.0213
2015-05-27,13.59,13.75,13.5,13.73,688202,EFID,Edita Food Industries S.A.E,0.0213
2015-05-28,13.73,14.18,13.6,13.94,853270,EFID,Edita Food Industries S.A.E,0.0213
2015-05-31,13.94,14.25,13.8,14.02,44644,EFID,Edita Food Industries S.A.E,0.0213
2015-06-01,14.02,14.15,13.9,14.01,437028,EFID,Edita Food Industries S.A.E,0.0213
2015-06-02,14.01,14.1,14.0,14.0,289660,EFID,Edita Food Industries S.A.E,0.0213
2015-06-03,14.0,14.05,13.99,14.0,224696,EFID,Edita Food Industries S.A.E,0.0213
