date,open,high,low,close,volume,symbol,holding_name,weight
2021-10-20,11.18,20.0,11.18,16.8,125223453,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-24,16.8,20.16,16.8,18.54,22815673,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-25,18.54,19.03,16.8,16.98,12711561,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-26,16.98,17.79,16.64,17.2,8168504,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-27,17.2,17.71,16.8,17.3,3555358,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-28,17.3,17.99,17.06,17.13,4287166,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-10-31,17.13,17.44,16.96,17.06,2119640,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-01,17.06,17.76,17.05,17.44,8017108,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-02,17.44,17.76,17.2,17.42,5385085,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-03,17.42,17.5,16.99,17.02,5501318,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-04,17.02,17.2,16.88,17.02,2095501,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-07,17.02,17.27,16.92,17.03,655811,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-08,17.03,17.12,16.96,16.99,785635,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-09,16.99,17.16,16.93,16.96,958991,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-10,16.96,16.96,15.62,15.68,4842703,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-11,15.68,16.56,15.68,16.55,2228835,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-14,16.55,16.64,14.64,15.34,3258850,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-15,15.34,15.35,13.76,14.01,8098128,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-16,14.01,14.01,13.0,13.56,12242370,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-17,13.56,14.88,13.56,14.34,6361340,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-18,14.34,14.98,14.34,14.71,4293110,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-21,14.71,14.9,14.44,14.75,794796,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-22,14.75,15.2,14.65,15.06,1315241,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-23,15.06,15.56,15.06,15.42,3549063,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-24,15.42,15.6,14.88,14.95,836284,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-25,14.95,15.2,14.88,14.97,1322045,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-28,14.97,14.97,14.0,14.84,1882450,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-29,14.84,14.96,14.48,14.8,1730624,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-11-30,14.8,15.2,14.5,14.96,1481271,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-01,14.96,14.96,14.4,14.44,3058298,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-02,14.44,14.6,14.28,14.6,2470226,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-05,14.6,14.6,14.25,14.35,571611,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-06,14.35,14.56,14.24,14.29,881451,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-07,14.29,14.48,14.01,14.04,1168595,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-08,14.04,14.32,13.28,13.92,2757334,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-09,13.92,14.06,13.52,13.92,2031883,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-12,13.92,13.99,13.6,13.68,1459489,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-13,13.68,14.14,13.68,13.99,1196535,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-14,13.99,14.18,13.89,13.94,748356,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-15,13.94,14.07,13.86,14.0,3052376,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-16,14.0,14.5,14.0,14.46,2336941,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-19,14.46,14.46,14.16,14.26,338278,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-20,14.26,14.4,14.05,14.35,1073614,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-21,14.35,14.8,14.25,14.7,2296546,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-22,14.7,15.6,14.64,15.44,4852968,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-23,15.44,16.08,15.44,15.81,5927315,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-26,15.81,15.88,15.44,15.88,3545708,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-27,15.88,16.19,15.54,16.0,2278645,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-28,16.0,16.0,15.68,15.8,954465,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-29,15.8,16.0,15.63,15.94,955885,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2021-12-30,15.94,16.4,15.84,16.23,3502265,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-02,16.23,16.32,15.84,15.89,860661,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-03,15.89,16.0,15.79,15.91,667068,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-04,15.91,15.92,15.6,15.69,1061693,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-05,15.69,16.0,15.69,15.96,1196995,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-09,15.96,16.0,15.65,15.7,275549,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-10,15.7,15.97,15.68,15.8,1786320,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-11,15.8,15.9,15.64,15.67,662713,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-12,15.67,15.9,15.19,15.33,2024926,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-13,15.33,15.34,14.81,14.98,1390406,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-16,14.98,15.04,14.8,14.92,274854,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-17,14.92,15.04,14.88,14.94,881719,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-18,14.94,15.04,14.92,14.95,670118,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-19,14.95,14.96,14.46,14.5,1590754,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-20,14.5,14.7,14.4,14.54,781609,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-23,14.54,14.6,14.24,14.32,828945,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-24,14.32,14.46,14.24,14.41,506933,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-25,14.41,14.52,14.08,14.25,961013,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
2022-01-26,14.25,14.25,13.59,13.74,1466370,EFIH,E-finance For Digital and Financial Investments,0.05084386429957609
