date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-31,0.24,0.24,0.24,0.24,121171,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-03,0.24,0.24,0.24,0.24,371594,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-05,0.24,0.24,0.24,0.24,52293,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-10,0.24,0.24,0.24,0.24,12738,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-11,0.24,0.24,0.24,0.24,6591124,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-14,0.24,0.24,0.24,0.24,16123,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-21,0.24,0.24,0.24,0.24,8040,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-25,0.24,0.24,0.24,0.24,80766,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-27,0.24,0.24,0.24,0.24,37831,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-06-28,0.24,0.24,0.24,0.24,76492,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-05,0.24,0.24,0.24,0.24,80766,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-08,0.24,0.24,0.24,0.24,161537,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-09,0.24,0.24,0.24,0.24,1078243,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-11,0.24,0.24,0.24,0.24,32284,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-16,0.24,0.24,0.24,0.24,16123,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-07-19,0.24,0.24,0.24,0.24,13589,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-12,0.24,0.24,0.24,0.24,24200,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-13,0.24,0.24,0.24,0.24,19968,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-15,0.24,0.24,0.24,0.24,34451,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-19,0.24,0.24,0.24,0.24,227457,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-20,0.24,0.24,0.24,0.24,1561247,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-21,0.24,0.24,0.24,0.24,639456,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-26,0.24,0.24,0.24,0.24,8040,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-27,0.24,0.24,0.24,0.24,403879,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-28,0.24,0.24,0.24,0.24,443449,EGCH,Egyptian Chemical Industries (Kima),0.0028
2001-08-29,0.24,0.24,0.24,0.24,8040,EGCH,Egyptian Chemical Industries (Kima),0.0028
