date,open,high,low,close,volume,symbol,holding_name,weight
2005-12-08,10.0,10.0,10.0,10.0,17070716,ETEL,Telecom Egypt,0.05360527661465071
2005-12-18,21.45,22.01,20.9,21.23,53127143,ETEL,Telecom Egypt,0.05360527661465071
2005-12-19,20.86,20.9,20.02,20.33,9580827,ETEL,Telecom Egypt,0.05360527661465071
2005-12-20,20.01,20.17,19.02,19.47,9686265,ETEL,Telecom Egypt,0.05360527661465071
2005-12-21,19.7,19.9,19.31,19.62,8400398,ETEL,Telecom Egypt,0.05360527661465071
2005-12-22,19.32,19.58,18.6,19.03,8534569,ETEL,Telecom Egypt,0.05360527661465071
2005-12-25,19.34,19.49,18.6,18.98,4680615,ETEL,Telecom Egypt,0.05360527661465071
2005-12-26,18.9,18.9,18.15,18.5,5256718,ETEL,Telecom Egypt,0.05360527661465071
2005-12-27,18.2,18.74,18.11,18.4,4075322,ETEL,Telecom Egypt,0.05360527661465071
2005-12-28,18.5,19.38,18.44,18.72,5342200,ETEL,Telecom Egypt,0.05360527661465071
2005-12-29,19.4,19.49,19.0,19.21,4597106,ETEL,Telecom Egypt,0.05360527661465071
2006-01-02,19.48,19.9,19.25,19.52,3113043,ETEL,Telecom Egypt,0.05360527661465071
2006-01-03,19.59,19.73,19.02,19.41,4083487,ETEL,Telecom Egypt,0.05360527661465071
2006-01-04,19.03,19.39,18.82,19.02,3985194,ETEL,Telecom Egypt,0.05360527661465071
2006-01-05,19.0,19.09,18.52,18.73,3249536,ETEL,Telecom Egypt,0.05360527661465071
2006-01-08,18.8,19.0,18.5,18.68,3614903,ETEL,Telecom Egypt,0.05360527661465071
2006-01-12,19.0,19.46,18.8,19.16,4445533,ETEL,Telecom Egypt,0.05360527661465071
2006-01-15,19.12,20.24,18.85,19.69,5964625,ETEL,Telecom Egypt,0.05360527661465071
2006-01-16,19.89,20.18,19.25,19.73,4201020,ETEL,Telecom Egypt,0.05360527661465071
2006-01-17,19.5,19.7,19.0,19.29,3974867,ETEL,Telecom Egypt,0.05360527661465071
2006-01-18,19.0,19.27,18.75,18.96,3982553,ETEL,Telecom Egypt,0.05360527661465071
2006-01-19,19.0,19.2,18.6,18.8,3906240,ETEL,Telecom Egypt,0.05360527661465071
2006-01-22,18.9,19.0,18.12,18.41,5383412,ETEL,Telecom Egypt,0.05360527661465071
2006-01-23,18.11,18.48,17.53,17.85,3885682,ETEL,Telecom Egypt,0.05360527661465071
2006-01-24,17.6,17.8,16.96,17.35,4197481,ETEL,Telecom Egypt,0.05360527661465071
2006-01-25,17.01,17.39,17.01,17.21,3061485,ETEL,Telecom Egypt,0.05360527661465071
2006-01-26,17.39,18.69,17.15,18.1,5754671,ETEL,Telecom Egypt,0.05360527661465071
2006-01-29,18.75,19.3,17.8,18.55,3136877,ETEL,Telecom Egypt,0.05360527661465071
2006-01-30,17.91,18.45,17.31,17.98,3437418,ETEL,Telecom Egypt,0.05360527661465071
2006-02-01,17.7,18.3,17.45,17.79,3982343,ETEL,Telecom Egypt,0.05360527661465071
2006-02-02,17.51,17.9,17.16,17.47,3772020,ETEL,Telecom Egypt,0.05360527661465071
2006-02-05,18.0,19.1,18.0,18.65,8643966,ETEL,Telecom Egypt,0.05360527661465071
2006-02-06,18.75,19.99,18.75,19.65,12428066,ETEL,Telecom Egypt,0.05360527661465071
2006-02-07,20.01,22.47,20.01,21.02,16377282,ETEL,Telecom Egypt,0.05360527661465071
2006-02-08,22.47,22.49,18.65,20.52,10592839,ETEL,Telecom Egypt,0.05360527661465071
2006-02-09,19.4,21.12,19.1,20.4,8281885,ETEL,Telecom Egypt,0.05360527661465071
2006-02-12,21.0,22.14,21.0,21.62,7120534,ETEL,Telecom Egypt,0.05360527661465071
2006-02-13,21.9,22.0,20.57,21.18,9427428,ETEL,Telecom Egypt,0.05360527661465071
2006-02-14,20.6,21.24,19.92,20.5,4078528,ETEL,Telecom Egypt,0.05360527661465071
2006-02-15,20.5,20.5,18.87,19.55,4929037,ETEL,Telecom Egypt,0.05360527661465071
