date,open,high,low,close,volume,symbol,holding_name,weight
2019-08-08,1.87,2.11,1.84,1.92,205054061,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-14,1.99,2.04,1.93,2.01,21158485,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-15,2.01,2.03,1.95,1.97,10548886,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-18,1.97,2.01,1.97,1.99,4805522,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-19,1.99,2.01,1.96,1.99,10723098,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-20,1.99,2.02,1.98,1.99,10422774,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-21,1.99,2.05,1.99,2.04,4232524,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-22,2.04,2.04,2.0,2.01,10752889,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-25,2.01,2.02,1.95,1.99,4292052,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-26,1.99,2.02,1.94,1.98,941587,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-27,1.98,2.13,1.98,2.04,19498753,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-28,2.04,2.2,2.04,2.14,13692547,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-08-29,2.14,2.27,2.14,2.25,34975547,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-01,2.25,2.25,2.2,2.23,1905702,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-02,2.23,2.27,2.22,2.27,15006084,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-03,2.27,2.28,2.24,2.27,8538636,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-04,2.27,2.38,2.27,2.31,10842964,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-05,2.31,2.34,2.29,2.32,22182875,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-08,2.32,2.35,2.27,2.33,3464797,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
2019-09-09,2.33,2.33,2.27,2.28,1883615,FWRY,Fawry For Banking Technology And Electronic Payment,0.0632
