date,open,high,low,close,volume,symbol,holding_name,weight
2007-07-05,36.0,36.0,36.0,36.0,1676100,GBCO,GB Corp,0.016501759416160697
2007-07-09,38.9,43.51,38.03,40.08,8437007,GBCO,GB Corp,0.016501759416160697
2007-07-10,42.08,42.08,42.08,42.08,135505,GBCO,GB Corp,0.016501759416160697
2007-07-11,44.18,44.18,41.8,43.09,1063052,GBCO,GB Corp,0.016501759416160697
2007-07-12,43.0,43.2,42.5,42.99,694382,GBCO,GB Corp,0.016501759416160697
2007-07-15,43.0,43.0,41.97,42.27,732109,GBCO,GB Corp,0.016501759416160697
2007-07-16,41.8,42.0,41.0,41.84,794371,GBCO,GB Corp,0.016501759416160697
2007-07-17,41.8,42.24,41.6,41.96,540200,GBCO,GB Corp,0.016501759416160697
2007-07-18,41.51,42.05,41.51,42.0,255526,GBCO,GB Corp,0.016501759416160697
2007-07-19,42.0,42.1,41.7,42.01,251216,GBCO,GB Corp,0.016501759416160697
2007-07-22,41.65,41.99,41.0,41.22,123515,GBCO,GB Corp,0.016501759416160697
2007-07-24,41.13,41.65,41.13,41.47,111077,GBCO,GB Corp,0.016501759416160697
2007-07-25,41.03,41.4,41.03,41.23,434201,GBCO,GB Corp,0.016501759416160697
2007-07-26,41.1,41.25,41.0,41.15,384020,GBCO,GB Corp,0.016501759416160697
2007-07-29,41.05,41.05,39.28,40.04,122062,GBCO,GB Corp,0.016501759416160697
2007-07-30,40.4,41.0,40.4,40.89,147833,GBCO,GB Corp,0.016501759416160697
2007-07-31,39.52,41.0,39.52,40.27,132722,GBCO,GB Corp,0.016501759416160697
2007-08-01,40.0,40.49,40.0,40.03,199253,GBCO,GB Corp,0.016501759416160697
2007-08-02,40.0,40.49,40.0,40.11,88344,GBCO,GB Corp,0.016501759416160697
2007-08-05,40.92,41.0,40.26,40.98,223098,GBCO,GB Corp,0.016501759416160697
2007-08-06,40.06,41.0,40.01,40.77,330249,GBCO,GB Corp,0.016501759416160697
2007-08-07,40.01,41.0,40.01,40.65,188966,GBCO,GB Corp,0.016501759416160697
2007-08-08,40.7,41.0,40.22,40.54,21288,GBCO,GB Corp,0.016501759416160697
2007-08-09,40.12,40.3,40.12,40.26,11425,GBCO,GB Corp,0.016501759416160697
2007-08-12,40.03,40.4,39.67,40.01,174016,GBCO,GB Corp,0.016501759416160697
2007-08-13,39.6,40.25,39.6,39.99,255525,GBCO,GB Corp,0.016501759416160697
2007-08-14,40.0,40.1,39.7,40.0,294497,GBCO,GB Corp,0.016501759416160697
