date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,0.26,0.26,0.26,0.26,684000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-16,0.34,0.34,0.34,0.34,13500,HELI,Heliopolis Housing,0.005236536463813827
2001-05-17,0.34,0.34,0.34,0.34,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-21,0.36,0.36,0.36,0.36,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-22,0.36,0.36,0.36,0.36,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-23,0.36,0.36,0.36,0.36,13500,HELI,Heliopolis Housing,0.005236536463813827
2001-06-12,0.34,0.36,0.34,0.36,2256,HELI,Heliopolis Housing,0.005236536463813827
2001-06-13,0.35,0.35,0.35,0.35,13500,HELI,Heliopolis Housing,0.005236536463813827
2001-06-14,0.35,0.35,0.35,0.35,18000,HELI,Heliopolis Housing,0.005236536463813827
2001-06-17,0.33,0.34,0.33,0.33,477000,HELI,Heliopolis Housing,0.005236536463813827
2001-06-19,0.33,0.33,0.33,0.33,2700,HELI,Heliopolis Housing,0.005236536463813827
2001-06-20,0.32,0.32,0.31,0.31,1066500,HELI,Heliopolis Housing,0.005236536463813827
2001-06-21,0.33,0.33,0.33,0.33,18000,HELI,Heliopolis Housing,0.005236536463813827
2001-06-26,0.33,0.33,0.33,0.33,24756,HELI,Heliopolis Housing,0.005236536463813827
2001-07-05,0.33,0.34,0.33,0.33,13500,HELI,Heliopolis Housing,0.005236536463813827
2001-07-08,0.33,0.33,0.33,0.33,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-09,0.33,0.34,0.33,0.33,20700,HELI,Heliopolis Housing,0.005236536463813827
2001-07-11,0.34,0.34,0.34,0.34,90000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-12,0.32,0.34,0.32,0.33,106200,HELI,Heliopolis Housing,0.005236536463813827
2001-07-15,0.33,0.33,0.33,0.33,27000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-17,0.31,0.31,0.31,0.31,15756,HELI,Heliopolis Housing,0.005236536463813827
2001-07-19,0.31,0.31,0.31,0.31,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-22,0.31,0.31,0.31,0.31,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-29,0.33,0.33,0.33,0.33,36000,HELI,Heliopolis Housing,0.005236536463813827
2001-07-31,0.31,0.31,0.31,0.31,93600,HELI,Heliopolis Housing,0.005236536463813827
2001-08-01,0.31,0.31,0.31,0.31,4500,HELI,Heliopolis Housing,0.005236536463813827
