date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,1.14,1.14,1.14,1.14,11540,HRHO,EFG Holding,0.034
2001-05-16,1.18,1.18,1.18,1.18,4623,HRHO,EFG Holding,0.034
2001-05-17,1.22,1.22,1.22,1.22,5796,HRHO,EFG Holding,0.034
2001-05-20,1.26,1.26,1.26,1.26,2304,HRHO,EFG Holding,0.034
2001-05-21,1.28,1.28,1.28,1.28,1154,HRHO,EFG Holding,0.034
2001-05-23,1.28,1.28,1.28,1.28,2304,HRHO,EFG Holding,0.034
2001-05-24,1.28,1.28,1.28,1.28,26836,HRHO,EFG Holding,0.034
2001-05-29,1.26,1.28,1.26,1.28,288,HRHO,EFG Holding,0.034
2001-06-03,1.28,1.28,1.28,1.28,6353,HRHO,EFG Holding,0.034
2001-06-05,1.26,1.26,1.26,1.26,2886,HRHO,EFG Holding,0.034
2001-06-12,1.26,1.26,1.26,1.26,11540,HRHO,EFG Holding,0.034
2001-06-13,1.28,1.28,1.28,1.28,6353,HRHO,EFG Holding,0.034
2001-06-17,1.3,1.3,1.3,1.3,57733,HRHO,EFG Holding,0.034
2001-06-18,1.26,1.26,1.26,1.26,11540,HRHO,EFG Holding,0.034
2001-06-19,1.24,1.24,1.24,1.24,1154,HRHO,EFG Holding,0.034
2001-06-20,1.21,1.21,1.21,1.21,1154,HRHO,EFG Holding,0.034
2001-06-21,1.17,1.17,1.17,1.17,4038,HRHO,EFG Holding,0.034
2001-06-27,1.14,1.14,1.14,1.14,1154,HRHO,EFG Holding,0.034
2001-06-28,1.1,1.1,1.1,1.1,13385,HRHO,EFG Holding,0.034
2001-07-03,1.1,1.1,1.08,1.09,47963,HRHO,EFG Holding,0.034
2001-07-04,1.06,1.06,1.06,1.06,2594,HRHO,EFG Holding,0.034
2001-07-05,1.1,1.1,1.06,1.06,14553,HRHO,EFG Holding,0.034
2001-07-08,1.1,1.1,1.1,1.1,16450,HRHO,EFG Holding,0.034
