date,open,high,low,close,volume,symbol,holding_name,weight
2017-12-12,4.19,4.45,4.19,4.35,82437269,ISPH,Ibnsina Pharma,0.0096
2017-12-13,4.47,4.59,4.41,4.49,32524895,ISPH,Ibnsina Pharma,0.0096
2017-12-14,4.49,4.54,4.39,4.44,16506375,ISPH,Ibnsina Pharma,0.0096
2017-12-17,4.44,4.83,4.44,4.7,10362370,ISPH,Ibnsina Pharma,0.0096
2017-12-18,4.7,4.77,4.58,4.68,10707062,ISPH,Ibnsina Pharma,0.0096
2017-12-19,4.68,5.14,4.65,4.93,9073751,ISPH,Ibnsina Pharma,0.0096
2017-12-20,4.93,5.42,4.93,5.19,3930144,ISPH,Ibnsina Pharma,0.0096
2017-12-21,5.37,5.64,5.22,5.37,7335883,ISPH,Ibnsina Pharma,0.0096
2017-12-24,5.37,5.37,5.03,5.19,2676808,ISPH,Ibnsina Pharma,0.0096
2017-12-25,5.19,5.35,5.15,5.25,1114125,ISPH,Ibnsina Pharma,0.0096
2017-12-26,5.25,5.37,5.2,5.31,1072145,ISPH,Ibnsina Pharma,0.0096
2017-12-27,5.31,5.35,5.15,5.25,4500327,ISPH,Ibnsina Pharma,0.0096
2017-12-28,5.25,5.37,5.1,5.22,2590078,ISPH,Ibnsina Pharma,0.0096
2017-12-31,5.22,5.38,5.15,5.35,2378021,ISPH,Ibnsina Pharma,0.0096
2018-01-02,5.35,5.36,5.19,5.25,1540867,ISPH,Ibnsina Pharma,0.0096
2018-01-03,5.35,5.67,5.29,5.4,9446551,ISPH,Ibnsina Pharma,0.0096
2018-01-04,5.4,5.61,5.4,5.55,5167965,ISPH,Ibnsina Pharma,0.0096
2018-01-08,5.55,5.59,5.45,5.55,3230333,ISPH,Ibnsina Pharma,0.0096
2018-01-09,5.55,5.58,5.45,5.49,2119769,ISPH,Ibnsina Pharma,0.0096
2018-01-10,5.49,5.58,5.43,5.49,2137890,ISPH,Ibnsina Pharma,0.0096
2018-01-11,5.49,5.67,5.46,5.55,1282530,ISPH,Ibnsina Pharma,0.0096
2018-01-14,5.55,5.8,5.55,5.64,402919,ISPH,Ibnsina Pharma,0.0096
2018-01-15,5.64,5.67,5.46,5.5,6408330,ISPH,Ibnsina Pharma,0.0096
2018-01-16,5.5,5.64,5.47,5.52,2503783,ISPH,Ibnsina Pharma,0.0096
2018-01-17,5.52,5.68,5.52,5.64,2078382,ISPH,Ibnsina Pharma,0.0096
2018-01-18,5.64,6.05,5.61,5.82,6863955,ISPH,Ibnsina Pharma,0.0096
2018-01-21,5.82,6.12,5.82,5.98,1677641,ISPH,Ibnsina Pharma,0.0096
2018-01-22,5.98,6.51,5.98,6.34,5716225,ISPH,Ibnsina Pharma,0.0096
2018-01-23,6.57,6.83,6.51,6.69,7077529,ISPH,Ibnsina Pharma,0.0096
2018-01-24,6.69,6.99,6.55,6.78,8021474,ISPH,Ibnsina Pharma,0.0096
2018-01-28,6.78,6.93,6.67,6.75,461523,ISPH,Ibnsina Pharma,0.0096
2018-01-29,6.8,6.96,6.72,6.9,3682219,ISPH,Ibnsina Pharma,0.0096
2018-01-30,6.9,6.96,6.55,6.71,1695597,ISPH,Ibnsina Pharma,0.0096
2018-01-31,6.71,6.71,6.12,6.52,1430339,ISPH,Ibnsina Pharma,0.0096
2018-02-01,6.52,6.77,6.52,6.66,3500919,ISPH,Ibnsina Pharma,0.0096
2018-02-04,6.66,6.66,6.35,6.51,1634864,ISPH,Ibnsina Pharma,0.0096
2018-02-05,6.51,6.64,6.51,6.62,4744815,ISPH,Ibnsina Pharma,0.0096
2018-02-06,6.62,6.62,6.2,6.43,1195791,ISPH,Ibnsina Pharma,0.0096
2018-02-07,6.43,6.81,6.43,6.66,9654609,ISPH,Ibnsina Pharma,0.0096
2018-02-08,6.66,7.32,6.66,7.17,4949040,ISPH,Ibnsina Pharma,0.0096
2018-02-11,7.17,7.29,6.9,7.11,2092761,ISPH,Ibnsina Pharma,0.0096
2018-02-12,7.11,7.29,7.04,7.2,848629,ISPH,Ibnsina Pharma,0.0096
2018-02-13,7.2,7.54,7.1,7.38,1647009,ISPH,Ibnsina Pharma,0.0096
2018-02-14,7.38,7.47,7.3,7.39,4306008,ISPH,Ibnsina Pharma,0.0096
2018-02-15,7.39,8.04,7.38,7.71,2949120,ISPH,Ibnsina Pharma,0.0096
2018-02-18,7.71,8.25,7.71,8.04,6104218,ISPH,Ibnsina Pharma,0.0096
2018-02-19,8.04,8.21,7.77,7.92,4827785,ISPH,Ibnsina Pharma,0.0096
