date,open,high,low,close,volume,symbol,holding_name,weight
2010-06-09,0.75,0.75,0.75,0.75,216951157,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-15,3.44,3.49,3.0,3.25,21756887,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-16,3.27,3.46,3.04,3.36,15796737,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-17,3.33,3.38,3.26,3.35,2903925,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-20,3.35,3.44,3.29,3.39,3012176,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-21,3.37,3.37,3.24,3.3,1167996,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-22,3.23,3.33,3.17,3.25,3915063,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-23,3.22,3.23,3.16,3.21,1898248,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-24,3.2,3.25,3.14,3.19,4447312,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-27,3.16,3.22,3.11,3.13,2722255,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-28,3.16,3.17,3.12,3.14,1170352,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-29,3.11,3.21,3.09,3.14,2803104,JUFO,Juhayna Food Industries,0.009652065796600209
2010-06-30,3.12,3.13,3.07,3.1,1324683,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-04,3.08,3.11,2.96,3.04,1160505,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-05,3.07,3.11,2.95,3.04,1301876,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-06,3.11,3.11,3.03,3.07,593444,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-07,3.04,3.04,3.0,3.02,1504920,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-08,3.04,3.16,3.04,3.13,2458683,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-11,3.19,3.19,3.15,3.19,1205863,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-12,3.18,3.45,3.15,3.33,3812255,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-13,3.41,3.61,3.37,3.55,7582583,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-14,3.57,3.71,3.53,3.66,7926388,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-15,3.61,3.66,3.49,3.55,660655,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-18,3.46,3.49,3.33,3.43,306132,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-19,3.38,3.46,3.34,3.39,850967,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-20,3.43,3.45,3.3,3.34,835253,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-21,3.37,3.46,3.3,3.4,548623,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-22,3.31,3.45,3.31,3.39,403651,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-25,3.45,3.46,3.34,3.39,254033,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-26,3.37,3.4,3.32,3.35,356735,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-27,3.37,3.44,3.37,3.41,999369,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-28,3.37,3.56,3.37,3.49,1654083,JUFO,Juhayna Food Industries,0.009652065796600209
2010-07-29,3.49,3.52,3.43,3.48,517761,JUFO,Juhayna Food Industries,0.009652065796600209
2010-08-01,3.46,3.5,3.42,3.44,107529,JUFO,Juhayna Food Industries,0.009652065796600209
2010-08-02,3.43,3.52,3.42,3.46,2036741,JUFO,Juhayna Food Industries,0.009652065796600209
2010-08-03,3.49,3.62,3.49,3.52,2343264,JUFO,Juhayna Food Industries,0.009652065796600209
