date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,4.48,4.51,4.48,4.51,3037683,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-16,4.51,4.51,4.51,4.51,4165488,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-17,4.51,4.51,4.51,4.51,3930896,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-20,4.51,4.51,4.51,4.51,1762495,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-21,4.51,4.51,4.46,4.46,6282075,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-22,4.46,4.46,4.46,4.46,4559680,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-23,4.46,4.46,4.46,4.46,2367197,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-24,4.48,4.51,4.48,4.51,2932352,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-27,4.51,4.51,4.51,4.51,4523234,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-28,4.51,4.51,4.51,4.51,8888522,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-29,4.51,4.51,4.51,4.51,4684935,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-30,4.51,4.51,4.51,4.51,5947458,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-31,4.48,4.48,4.48,4.48,4522032,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-03,4.46,4.46,4.43,4.43,4791718,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-05,4.43,4.43,4.43,4.43,7342897,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-06,4.43,4.43,4.43,4.43,4454499,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-07,4.43,4.43,4.43,4.43,4111370,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-10,4.43,4.43,4.43,4.43,3866066,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-11,4.43,4.43,4.41,4.41,4924784,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-12,4.39,4.43,4.39,4.43,3938405,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-13,4.43,4.43,4.41,4.41,2783466,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-14,4.41,4.41,4.41,4.41,3776704,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-17,4.43,4.43,4.39,4.39,1574560,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-18,4.39,4.39,4.39,4.39,1999140,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-19,4.39,4.39,4.39,4.39,4328992,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-20,4.39,4.39,4.39,4.39,3033728,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-21,4.39,4.39,4.39,4.39,5066160,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-24,4.39,4.39,4.39,4.39,4051146,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-25,4.39,4.39,4.39,4.39,2749925,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-26,4.39,4.39,4.36,4.36,5279476,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-27,4.36,4.36,4.32,4.32,8864343,OIH,Orascom Investment Holding,0.0038627913975917906
2001-06-28,4.36,4.36,4.34,4.34,7473058,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-02,4.34,4.36,4.34,4.36,11992039,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-03,4.39,4.39,4.39,4.39,10258328,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-04,4.39,4.39,4.39,4.39,4991517,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-05,4.39,4.39,4.39,4.39,4430318,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-08,4.39,4.39,4.39,4.39,1920992,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-09,4.39,4.39,4.39,4.39,4676875,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-10,4.36,4.36,4.36,4.36,1868627,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-11,4.32,4.32,4.32,4.32,3162688,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-12,4.32,4.32,4.32,4.32,16106715,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-15,4.32,4.32,4.32,4.32,3039085,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-16,4.32,4.32,4.32,4.32,5075271,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-17,4.27,4.27,4.27,4.27,655065,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-18,4.24,4.24,4.24,4.24,18528331,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-19,4.24,4.24,4.24,4.24,4422158,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-22,4.24,4.24,4.24,4.24,5852190,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-24,4.24,4.24,4.24,4.24,4967588,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-25,4.24,4.24,4.24,4.24,2623116,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-26,4.24,4.24,4.24,4.24,5841276,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-29,4.2,4.22,4.2,4.22,4991567,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-30,4.24,4.24,4.22,4.22,7437214,OIH,Orascom Investment Holding,0.0038627913975917906
2001-07-31,4.22,4.22,4.2,4.2,11675794,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-01,4.22,4.22,4.2,4.2,11242505,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-02,4.2,4.2,4.2,4.2,3550372,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-05,4.2,4.2,4.2,4.2,3210499,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-06,4.2,4.2,4.2,4.2,11312892,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-07,4.2,4.2,4.2,4.2,4623508,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-08,4.2,4.2,4.2,4.2,2129652,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-09,4.2,4.22,4.2,4.22,5255396,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-12,4.22,4.24,4.22,4.24,7173486,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-13,4.24,4.24,4.24,4.24,4551569,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-14,4.27,4.27,4.24,4.24,13219467,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-15,4.24,4.24,4.24,4.24,6457294,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-16,4.24,4.24,4.24,4.24,6995314,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-19,4.24,4.24,4.24,4.24,7261045,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-20,4.24,4.24,4.24,4.24,6336343,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-21,4.24,4.24,4.24,4.24,4983858,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-22,4.2,4.22,4.2,4.22,6764126,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-23,4.24,4.24,4.24,4.24,2868323,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-26,4.24,4.24,4.24,4.24,1914483,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-27,4.24,4.24,4.24,4.24,2435633,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-28,4.24,4.24,4.24,4.24,11771063,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-29,4.22,4.22,4.22,4.22,8431753,OIH,Orascom Investment Holding,0.0038627913975917906
2001-08-30,4.24,4.24,4.24,4.24,10577126,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-02,4.24,4.24,4.24,4.24,5309314,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-03,4.27,4.27,4.27,4.27,19164223,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-04,4.27,4.27,4.27,4.27,15432124,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-05,4.32,4.32,4.32,4.32,15913924,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-06,4.32,4.32,4.29,4.29,13859065,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-09,4.27,4.27,4.27,4.27,5283731,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-10,4.24,4.27,4.24,4.27,9074103,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-11,4.24,4.24,4.24,4.24,17759824,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-12,4.24,4.24,4.24,4.24,7611081,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-13,4.22,4.24,4.22,4.24,10412021,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-16,4.24,4.24,4.24,4.24,12698419,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-17,4.22,4.22,4.22,4.22,5236422,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-18,4.22,4.22,4.2,4.2,13698214,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-19,4.2,4.2,4.2,4.2,8120315,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-20,4.24,4.24,4.2,4.2,9743938,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-23,4.2,4.2,4.2,4.2,15334002,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-24,4.2,4.2,4.17,4.17,20928522,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-25,4.2,4.2,4.2,4.2,11973215,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-26,4.17,4.17,4.17,4.17,25022121,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-27,4.2,4.2,4.17,4.17,4779903,OIH,Orascom Investment Holding,0.0038627913975917906
2001-09-30,4.17,4.2,4.17,4.2,3710572,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-01,4.2,4.2,4.2,4.2,6390660,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-02,4.17,4.17,4.17,4.17,4747413,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-03,4.2,4.2,4.17,4.17,3229121,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-04,4.2,4.2,4.2,4.2,6198671,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-07,4.2,4.2,4.2,4.2,1616562,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-08,4.2,4.2,4.2,4.2,1453059,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-09,4.17,4.2,4.17,4.2,4337252,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-10,4.2,4.2,4.17,4.17,4539905,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-11,4.2,4.2,4.2,4.2,12452362,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-14,4.2,4.2,4.2,4.2,2248050,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-15,4.2,4.2,4.2,4.2,4136552,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-16,4.17,4.2,4.17,4.2,3801034,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-17,4.2,4.2,4.2,4.2,25283597,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-18,4.2,4.2,4.2,4.2,6068158,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-21,4.2,4.2,4.2,4.2,1626124,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-22,4.2,4.2,4.2,4.2,7554811,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-23,4.2,4.2,4.2,4.2,8432604,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-24,4.2,4.2,4.17,4.17,7987349,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-25,4.17,4.17,4.17,4.17,3561286,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-28,4.17,4.17,4.17,4.17,3098860,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-29,4.17,4.17,4.17,4.17,9229747,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-30,4.17,4.17,4.17,4.17,5322980,OIH,Orascom Investment Holding,0.0038627913975917906
2001-10-31,4.17,4.17,4.17,4.17,2414357,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-01,4.17,4.17,4.15,4.15,5563480,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-04,4.15,4.17,4.15,4.17,4420055,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-05,4.17,4.17,4.15,4.15,3534602,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-06,4.15,4.17,4.15,4.17,3960583,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-07,4.17,4.17,4.17,4.17,1837888,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-08,4.17,4.17,4.15,4.15,832286,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-11,4.15,4.15,4.15,4.15,4042435,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-12,4.15,4.15,4.12,4.12,4038079,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-13,4.12,4.12,4.12,4.12,3607794,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-14,4.12,4.12,4.12,4.12,3481586,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-15,4.12,4.12,4.12,4.12,3034679,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-18,4.12,4.12,4.12,4.12,1922394,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-19,4.12,4.12,4.12,4.12,2167549,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-20,4.12,4.12,4.12,4.12,377569,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-21,4.12,4.12,4.12,4.12,1408554,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-22,4.12,4.12,4.12,4.12,2709874,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-25,4.12,4.12,4.12,4.12,810609,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-26,4.12,4.12,4.12,4.12,873087,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-27,4.12,4.12,4.12,4.12,2255359,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-28,4.12,4.12,4.12,4.12,5333193,OIH,Orascom Investment Holding,0.0038627913975917906
2001-11-29,4.12,4.12,4.12,4.12,1166953,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-02,4.15,4.15,4.15,4.15,2245096,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-03,4.17,4.17,4.12,4.12,6212588,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-04,4.12,4.12,4.12,4.12,2099214,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-05,4.12,4.12,4.12,4.12,3629270,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-06,4.12,4.12,4.12,4.12,1480593,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-09,4.12,4.12,4.12,4.12,6344303,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-10,4.15,4.15,4.15,4.15,3276130,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-11,4.17,4.17,4.17,4.17,5366835,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-12,4.17,4.17,4.17,4.17,4873470,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-13,4.15,4.15,4.15,4.15,4593972,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-19,4.17,4.17,4.15,4.15,11505633,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-20,4.15,4.15,4.15,4.15,2393581,OIH,Orascom Investment Holding,0.0038627913975917906
2001-12-23,4.17,4.17,4.17,4.17,1863320,OIH,Orascom Investment Holding,0.0038627913975917906
