date,open,high,low,close,volume,symbol,holding_name,weight
2015-03-11,108.71,108.71,106.99,107.71,283698,ORAS,Orascom Construction PLC,0.018
2015-03-12,107.71,107.71,105.0,105.46,71429,ORAS,Orascom Construction PLC,0.018
2015-03-15,105.46,108.0,103.2,105.02,55881,ORAS,Orascom Construction PLC,0.018
2015-03-16,105.02,113.51,105.0,112.05,169685,ORAS,Orascom Construction PLC,0.018
2015-03-17,112.05,121.69,110.0,117.08,348400,ORAS,Orascom Construction PLC,0.018
2015-03-18,117.08,124.87,116.9,121.93,397504,ORAS,Orascom Construction PLC,0.018
2015-03-19,121.93,132.79,121.93,129.2,347992,ORAS,Orascom Construction PLC,0.018
2015-03-22,129.2,132.0,124.33,127.5,85320,ORAS,Orascom Construction PLC,0.018
2015-03-23,127.5,131.5,125.5,128.75,73109,ORAS,Orascom Construction PLC,0.018
2015-03-24,128.75,131.35,122.0,126.74,94192,ORAS,Orascom Construction PLC,0.018
2015-03-25,126.74,126.74,118.0,119.74,135995,ORAS,Orascom Construction PLC,0.018
2015-03-26,119.74,122.88,113.0,118.48,250813,ORAS,Orascom Construction PLC,0.018
2015-03-29,118.48,119.0,116.0,117.29,75336,ORAS,Orascom Construction PLC,0.018
2015-03-30,117.29,117.5,115.02,116.03,106843,ORAS,Orascom Construction PLC,0.018
2015-03-31,116.03,117.49,113.31,114.43,133021,ORAS,Orascom Construction PLC,0.018
2015-04-01,114.43,117.43,113.12,115.92,93579,ORAS,Orascom Construction PLC,0.018
2015-04-02,115.92,115.92,111.5,113.34,180397,ORAS,Orascom Construction PLC,0.018
2015-04-05,113.34,113.34,109.1,110.79,61299,ORAS,Orascom Construction PLC,0.018
2015-04-06,110.79,113.49,109.0,111.44,82795,ORAS,Orascom Construction PLC,0.018
2015-04-07,111.44,113.5,111.01,112.2,99792,ORAS,Orascom Construction PLC,0.018
2015-04-08,112.2,115.84,109.0,113.54,332743,ORAS,Orascom Construction PLC,0.018
2015-04-09,113.54,116.88,113.0,114.96,162607,ORAS,Orascom Construction PLC,0.018
2015-04-14,114.96,116.5,114.15,115.64,123499,ORAS,Orascom Construction PLC,0.018
2015-04-15,115.64,115.99,114.2,115.1,290417,ORAS,Orascom Construction PLC,0.018
2015-04-16,115.1,117.98,114.2,116.48,266735,ORAS,Orascom Construction PLC,0.018
2015-04-19,116.48,116.48,113.6,114.57,180926,ORAS,Orascom Construction PLC,0.018
2015-04-20,114.57,114.57,110.26,112.32,110264,ORAS,Orascom Construction PLC,0.018
2015-04-21,112.32,112.32,110.32,111.04,49396,ORAS,Orascom Construction PLC,0.018
2015-04-22,111.04,112.0,109.6,110.77,100795,ORAS,Orascom Construction PLC,0.018
2015-04-23,110.77,111.0,109.5,110.14,56247,ORAS,Orascom Construction PLC,0.018
2015-04-26,110.14,110.14,107.1,108.48,109831,ORAS,Orascom Construction PLC,0.018
2015-04-27,108.48,108.5,104.7,106.08,150906,ORAS,Orascom Construction PLC,0.018
2015-04-28,106.08,109.9,103.62,107.11,146200,ORAS,Orascom Construction PLC,0.018
2015-04-29,107.11,110.0,106.05,108.53,180448,ORAS,Orascom Construction PLC,0.018
2015-04-30,108.53,114.01,108.53,112.27,402024,ORAS,Orascom Construction PLC,0.018
2015-05-03,112.27,113.6,111.0,112.54,61917,ORAS,Orascom Construction PLC,0.018
2015-05-04,112.54,113.0,111.65,112.13,106464,ORAS,Orascom Construction PLC,0.018
2015-05-05,112.13,113.96,111.4,112.68,129785,ORAS,Orascom Construction PLC,0.018
2015-05-06,112.68,112.68,109.6,110.52,110260,ORAS,Orascom Construction PLC,0.018
2015-05-07,110.52,111.0,109.9,110.52,140680,ORAS,Orascom Construction PLC,0.018
2015-05-10,110.52,110.52,109.0,109.78,20836,ORAS,Orascom Construction PLC,0.018
2015-05-11,109.78,110.0,108.12,109.58,111518,ORAS,Orascom Construction PLC,0.018
2015-05-12,109.58,109.58,107.55,107.92,47949,ORAS,Orascom Construction PLC,0.018
2015-05-13,107.92,108.1,103.65,105.2,147850,ORAS,Orascom Construction PLC,0.018
2015-05-14,105.2,105.2,99.5,100.5,174746,ORAS,Orascom Construction PLC,0.018
2015-05-17,100.5,102.0,100.0,101.15,105800,ORAS,Orascom Construction PLC,0.018
2015-05-18,101.15,111.26,101.15,110.67,354099,ORAS,Orascom Construction PLC,0.018
2015-05-19,110.67,113.1,110.2,111.66,226896,ORAS,Orascom Construction PLC,0.018
2015-05-20,111.66,112.0,109.0,111.17,147842,ORAS,Orascom Construction PLC,0.018
2015-05-21,111.17,112.0,110.2,110.99,258137,ORAS,Orascom Construction PLC,0.018
2015-05-24,110.99,112.5,109.9,111.41,56979,ORAS,Orascom Construction PLC,0.018
2015-05-25,111.41,111.41,108.5,109.88,91009,ORAS,Orascom Construction PLC,0.018
2015-05-26,109.88,110.0,108.12,109.12,21729,ORAS,Orascom Construction PLC,0.018
2015-05-27,109.12,110.85,107.3,108.26,84687,ORAS,Orascom Construction PLC,0.018
2015-05-28,108.26,108.26,105.45,106.2,93939,ORAS,Orascom Construction PLC,0.018
2015-05-31,106.2,106.2,103.0,103.92,89987,ORAS,Orascom Construction PLC,0.018
2015-06-01,103.92,104.5,102.5,103.39,54763,ORAS,Orascom Construction PLC,0.018
2015-06-02,103.39,104.75,103.39,104.03,38342,ORAS,Orascom Construction PLC,0.018
2015-06-03,104.03,104.25,103.11,103.83,66458,ORAS,Orascom Construction PLC,0.018
2015-06-04,103.83,106.0,103.0,104.09,95115,ORAS,Orascom Construction PLC,0.018
2015-06-07,104.09,105.35,102.5,103.39,48110,ORAS,Orascom Construction PLC,0.018
2015-06-08,103.39,103.51,103.0,103.23,41648,ORAS,Orascom Construction PLC,0.018
2015-06-09,103.23,107.16,103.23,105.61,124443,ORAS,Orascom Construction PLC,0.018
2015-06-10,105.61,106.0,105.0,105.34,76349,ORAS,Orascom Construction PLC,0.018
2015-06-11,105.34,106.0,103.5,105.1,110739,ORAS,Orascom Construction PLC,0.018
2015-06-14,105.1,105.1,104.5,105.07,146481,ORAS,Orascom Construction PLC,0.018
2015-06-15,105.07,105.07,103.8,104.48,101185,ORAS,Orascom Construction PLC,0.018
2015-06-16,104.48,104.9,104.0,104.6,110066,ORAS,Orascom Construction PLC,0.018
2015-06-17,104.6,105.0,104.0,104.77,44997,ORAS,Orascom Construction PLC,0.018
2015-06-18,104.77,104.99,103.0,103.84,104391,ORAS,Orascom Construction PLC,0.018
2015-06-21,103.84,103.84,102.55,103.02,19595,ORAS,Orascom Construction PLC,0.018
2015-06-22,103.02,103.02,101.8,102.08,41634,ORAS,Orascom Construction PLC,0.018
