date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,4.96,4.96,4.96,4.96,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-05-22,4.73,4.73,4.73,4.73,3312,ORWE,Oriental Weavers,0.006652628111365718
2001-05-23,4.51,4.51,4.51,4.51,4226,ORWE,Oriental Weavers,0.006652628111365718
2001-05-24,4.54,4.73,4.3,4.31,78977,ORWE,Oriental Weavers,0.006652628111365718
2001-05-27,4.3,4.3,4.3,4.3,699,ORWE,Oriental Weavers,0.006652628111365718
2001-05-29,4.5,4.5,4.33,4.41,36842,ORWE,Oriental Weavers,0.006652628111365718
2001-05-30,4.47,4.47,4.47,4.47,220637,ORWE,Oriental Weavers,0.006652628111365718
2001-05-31,4.47,4.54,4.47,4.53,84693,ORWE,Oriental Weavers,0.006652628111365718
2001-06-03,4.54,4.61,4.31,4.59,49758,ORWE,Oriental Weavers,0.006652628111365718
2001-06-05,4.54,4.54,4.47,4.53,48488,ORWE,Oriental Weavers,0.006652628111365718
2001-06-06,4.4,4.4,4.4,4.4,699,ORWE,Oriental Weavers,0.006652628111365718
2001-06-07,4.54,4.6,4.4,4.54,8471,ORWE,Oriental Weavers,0.006652628111365718
2001-06-10,4.4,4.74,4.4,4.61,11075,ORWE,Oriental Weavers,0.006652628111365718
2001-06-11,4.82,4.83,4.81,4.82,9881,ORWE,Oriental Weavers,0.006652628111365718
2001-06-12,5.04,5.04,5.04,5.04,5852,ORWE,Oriental Weavers,0.006652628111365718
2001-06-13,5.25,5.25,5.25,5.25,1199,ORWE,Oriental Weavers,0.006652628111365718
2001-06-14,5.25,5.25,5.11,5.12,2816,ORWE,Oriental Weavers,0.006652628111365718
2001-06-17,5.1,5.1,5.1,5.1,42336,ORWE,Oriental Weavers,0.006652628111365718
2001-06-18,4.96,5.1,4.96,5.09,17646,ORWE,Oriental Weavers,0.006652628111365718
2001-06-24,4.96,4.96,4.96,4.96,5646,ORWE,Oriental Weavers,0.006652628111365718
2001-06-25,4.73,4.96,4.73,4.96,353,ORWE,Oriental Weavers,0.006652628111365718
2001-06-27,4.73,4.73,4.73,4.73,699,ORWE,Oriental Weavers,0.006652628111365718
2001-07-05,4.9,4.9,4.74,4.76,36347,ORWE,Oriental Weavers,0.006652628111365718
2001-07-08,4.54,4.76,4.54,4.76,353,ORWE,Oriental Weavers,0.006652628111365718
2001-07-09,4.55,4.55,4.54,4.54,54486,ORWE,Oriental Weavers,0.006652628111365718
2001-07-10,4.68,4.68,4.41,4.64,16374,ORWE,Oriental Weavers,0.006652628111365718
2001-07-11,4.83,4.83,4.54,4.55,170096,ORWE,Oriental Weavers,0.006652628111365718
2001-07-12,4.68,4.68,4.68,4.68,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-07-15,4.47,4.47,4.47,4.47,839,ORWE,Oriental Weavers,0.006652628111365718
2001-07-16,4.25,4.25,4.25,4.25,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-07-18,4.25,4.25,4.19,4.25,14469,ORWE,Oriental Weavers,0.006652628111365718
2001-07-19,4.34,4.34,4.34,4.34,699,ORWE,Oriental Weavers,0.006652628111365718
2001-07-22,4.34,4.36,4.14,4.33,7199,ORWE,Oriental Weavers,0.006652628111365718
2001-07-24,4.45,4.47,4.45,4.47,7050,ORWE,Oriental Weavers,0.006652628111365718
2001-07-25,4.44,4.54,4.44,4.53,16932,ORWE,Oriental Weavers,0.006652628111365718
2001-07-29,4.5,4.51,4.5,4.5,2111,ORWE,Oriental Weavers,0.006652628111365718
2001-07-30,4.54,4.54,4.54,4.54,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-08-02,4.33,4.33,4.33,4.33,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-08-05,4.15,4.15,4.14,4.15,3528,ORWE,Oriental Weavers,0.006652628111365718
2001-08-06,4.33,4.33,4.33,4.33,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-08-07,4.53,4.53,4.53,4.53,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-08-08,4.51,4.51,4.31,4.33,11646,ORWE,Oriental Weavers,0.006652628111365718
2001-08-09,4.47,4.47,4.47,4.47,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-08-12,4.25,4.47,4.25,4.47,353,ORWE,Oriental Weavers,0.006652628111365718
2001-08-14,4.47,4.54,4.47,4.53,46572,ORWE,Oriental Weavers,0.006652628111365718
2001-08-15,4.33,4.33,4.33,4.33,55050,ORWE,Oriental Weavers,0.006652628111365718
2001-08-16,4.41,4.41,4.41,4.41,17646,ORWE,Oriental Weavers,0.006652628111365718
2001-08-20,4.54,4.54,4.54,4.54,21881,ORWE,Oriental Weavers,0.006652628111365718
2001-08-26,4.33,4.74,4.33,4.56,9315,ORWE,Oriental Weavers,0.006652628111365718
2001-08-27,4.54,4.61,4.54,4.57,3528,ORWE,Oriental Weavers,0.006652628111365718
2001-08-30,4.54,4.54,4.54,4.54,1158,ORWE,Oriental Weavers,0.006652628111365718
2001-09-02,4.33,4.67,4.33,4.56,3423,ORWE,Oriental Weavers,0.006652628111365718
2001-09-06,4.35,4.35,4.35,4.35,4226,ORWE,Oriental Weavers,0.006652628111365718
2001-09-10,4.15,4.55,4.15,4.53,17646,ORWE,Oriental Weavers,0.006652628111365718
2001-09-12,4.31,4.31,4.31,4.31,699,ORWE,Oriental Weavers,0.006652628111365718
2001-09-13,4.47,4.51,4.47,4.49,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-09-16,4.29,4.29,4.29,4.29,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-09-17,4.19,4.19,4.19,4.19,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-09-18,4.25,4.25,4.25,4.25,7050,ORWE,Oriental Weavers,0.006652628111365718
2001-09-19,4.25,4.25,4.25,4.25,353,ORWE,Oriental Weavers,0.006652628111365718
2001-09-26,4.06,4.06,4.06,4.06,699,ORWE,Oriental Weavers,0.006652628111365718
2001-09-30,3.97,4.23,3.97,4.2,8069,ORWE,Oriental Weavers,0.006652628111365718
2001-10-01,4.2,4.2,4.2,4.2,211743,ORWE,Oriental Weavers,0.006652628111365718
2001-10-07,4.0,4.2,4.0,4.2,168,ORWE,Oriental Weavers,0.006652628111365718
2001-10-08,4.14,4.25,4.14,4.21,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-10-09,4.02,4.02,4.02,4.02,1229,ORWE,Oriental Weavers,0.006652628111365718
2001-10-10,3.88,3.88,3.88,3.88,3876,ORWE,Oriental Weavers,0.006652628111365718
2001-10-11,4.06,4.06,3.87,3.87,1757,ORWE,Oriental Weavers,0.006652628111365718
2001-10-15,3.87,3.87,3.86,3.86,60690,ORWE,Oriental Weavers,0.006652628111365718
2001-10-17,4.02,4.02,4.02,4.02,1368,ORWE,Oriental Weavers,0.006652628111365718
2001-10-18,3.89,3.89,3.86,3.86,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-10-21,3.89,3.89,3.89,3.89,1199,ORWE,Oriental Weavers,0.006652628111365718
2001-10-22,3.89,3.89,3.89,3.89,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-10-24,3.99,3.99,3.99,3.99,699,ORWE,Oriental Weavers,0.006652628111365718
2001-10-25,3.87,3.87,3.87,3.87,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-10-28,4.01,4.01,3.87,3.87,635,ORWE,Oriental Weavers,0.006652628111365718
2001-10-29,3.89,3.89,3.87,3.87,138162,ORWE,Oriental Weavers,0.006652628111365718
2001-10-30,3.99,4.01,3.99,4.01,2675,ORWE,Oriental Weavers,0.006652628111365718
2001-10-31,4.14,4.14,3.89,3.89,2471,ORWE,Oriental Weavers,0.006652628111365718
2001-11-01,3.87,3.96,3.87,3.93,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-11-05,3.89,4.11,3.89,4.02,25691,ORWE,Oriental Weavers,0.006652628111365718
2001-11-06,4.12,4.12,4.12,4.12,176448,ORWE,Oriental Weavers,0.006652628111365718
2001-11-07,3.94,4.05,3.94,4.05,375039,ORWE,Oriental Weavers,0.006652628111365718
2001-11-08,4.23,4.23,4.23,4.23,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-11-13,4.12,4.12,4.05,4.06,1757,ORWE,Oriental Weavers,0.006652628111365718
2001-11-18,3.87,4.06,3.87,4.06,168,ORWE,Oriental Weavers,0.006652628111365718
2001-11-19,3.87,3.87,3.87,3.87,1052,ORWE,Oriental Weavers,0.006652628111365718
2001-11-20,4.02,4.02,4.02,4.02,1757,ORWE,Oriental Weavers,0.006652628111365718
2001-11-21,4.19,4.19,3.52,4.11,13403,ORWE,Oriental Weavers,0.006652628111365718
2001-11-25,3.57,3.57,3.57,3.57,14117,ORWE,Oriental Weavers,0.006652628111365718
2001-11-26,3.71,3.71,3.71,3.71,7050,ORWE,Oriental Weavers,0.006652628111365718
2001-11-27,3.71,3.71,3.69,3.69,40686,ORWE,Oriental Weavers,0.006652628111365718
2001-11-28,3.77,3.77,3.67,3.67,28232,ORWE,Oriental Weavers,0.006652628111365718
2001-11-29,4.19,4.19,4.19,4.19,3168,ORWE,Oriental Weavers,0.006652628111365718
2001-12-02,3.57,3.57,3.57,3.57,35288,ORWE,Oriental Weavers,0.006652628111365718
2001-12-03,3.63,3.71,3.63,3.71,3450,ORWE,Oriental Weavers,0.006652628111365718
2001-12-04,3.57,3.7,3.57,3.7,37044,ORWE,Oriental Weavers,0.006652628111365718
2001-12-05,3.66,3.71,3.66,3.71,22224,ORWE,Oriental Weavers,0.006652628111365718
2001-12-06,3.65,3.7,3.65,3.7,21696,ORWE,Oriental Weavers,0.006652628111365718
2001-12-09,3.65,3.65,3.63,3.63,20462,ORWE,Oriental Weavers,0.006652628111365718
2001-12-10,3.73,3.73,3.66,3.66,17646,ORWE,Oriental Weavers,0.006652628111365718
2001-12-12,3.67,3.67,3.6,3.6,27518,ORWE,Oriental Weavers,0.006652628111365718
2001-12-13,3.57,4.19,3.57,4.19,25970,ORWE,Oriental Weavers,0.006652628111365718
2001-12-19,4.17,4.17,4.05,4.05,7763,ORWE,Oriental Weavers,0.006652628111365718
2001-12-20,3.89,3.91,3.89,3.91,1326,ORWE,Oriental Weavers,0.006652628111365718
2001-12-23,3.97,3.99,3.89,3.97,83579,ORWE,Oriental Weavers,0.006652628111365718
2001-12-24,4.05,4.16,4.05,4.15,48027,ORWE,Oriental Weavers,0.006652628111365718
2001-12-25,4.35,4.35,4.21,4.25,3735,ORWE,Oriental Weavers,0.006652628111365718
2001-12-26,4.39,4.39,4.12,4.23,10376,ORWE,Oriental Weavers,0.006652628111365718
2001-12-27,4.12,4.41,4.12,4.33,171282,ORWE,Oriental Weavers,0.006652628111365718
2001-12-30,4.45,4.45,4.25,4.41,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-12-31,4.61,4.61,4.2,4.45,18704,ORWE,Oriental Weavers,0.006652628111365718
2002-01-02,4.25,4.25,4.25,4.25,8576,ORWE,Oriental Weavers,0.006652628111365718
2002-01-03,4.06,4.06,4.05,4.05,11286,ORWE,Oriental Weavers,0.006652628111365718
2002-01-06,4.11,4.19,4.11,4.15,23424,ORWE,Oriental Weavers,0.006652628111365718
2002-01-07,4.05,4.29,3.95,4.13,14117,ORWE,Oriental Weavers,0.006652628111365718
2002-01-08,4.25,4.25,4.21,4.25,35288,ORWE,Oriental Weavers,0.006652628111365718
2002-01-09,4.29,4.29,4.25,4.27,37404,ORWE,Oriental Weavers,0.006652628111365718
2002-01-10,4.33,4.33,4.25,4.31,35288,ORWE,Oriental Weavers,0.006652628111365718
2002-01-14,4.25,4.25,4.21,4.25,37404,ORWE,Oriental Weavers,0.006652628111365718
2002-01-15,4.12,4.25,4.12,4.25,8109,ORWE,Oriental Weavers,0.006652628111365718
2002-01-16,4.35,4.35,4.25,4.29,32819,ORWE,Oriental Weavers,0.006652628111365718
2002-01-17,4.5,4.5,4.25,4.41,23282,ORWE,Oriental Weavers,0.006652628111365718
2002-01-20,4.39,4.54,4.25,4.47,36975,ORWE,Oriental Weavers,0.006652628111365718
2002-01-21,4.57,4.57,4.27,4.47,53102,ORWE,Oriental Weavers,0.006652628111365718
2002-01-22,4.47,4.47,4.25,4.47,36702,ORWE,Oriental Weavers,0.006652628111365718
2002-01-23,4.38,4.38,4.25,4.32,15126,ORWE,Oriental Weavers,0.006652628111365718
2002-01-24,4.4,4.48,4.19,4.29,38819,ORWE,Oriental Weavers,0.006652628111365718
2002-01-27,4.39,4.39,4.12,4.39,21948,ORWE,Oriental Weavers,0.006652628111365718
