date,open,high,low,close,volume,symbol,holding_name,weight
2008-03-16,7.37,7.37,7.37,7.37,33653589,PHDC,Palm Hills Development Company,0.011385951521685858
2008-03-18,7.58,7.58,7.58,7.58,50607005,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-08,9.95,11.32,9.75,9.82,34745300,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-11,9.86,9.91,9.45,9.55,4227742,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-12,9.14,9.44,8.44,8.86,8967519,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-13,8.78,8.86,8.36,8.55,2623347,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-14,8.73,8.73,8.18,8.38,2136877,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-15,8.36,8.6,7.38,8.19,2591192,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-18,8.14,8.37,8.14,8.17,1343625,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-19,8.14,8.33,8.14,8.17,1114423,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-20,8.35,8.43,8.21,8.34,581517,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-21,8.46,8.46,8.17,8.2,786258,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-22,8.21,8.99,8.14,8.52,3471187,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-25,8.82,8.9,8.52,8.71,1589171,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-26,8.8,9.0,8.62,8.82,1115119,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-27,8.81,9.0,8.81,8.9,3474130,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-28,9.0,9.18,9.0,9.05,1796263,PHDC,Palm Hills Development Company,0.011385951521685858
2008-05-29,9.0,9.0,8.82,8.95,261415,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-01,9.0,9.09,8.85,8.97,505563,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-02,8.86,8.96,8.59,8.69,1382037,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-03,8.86,8.9,8.59,8.66,833649,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-04,8.7,8.77,8.59,8.6,1289996,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-05,8.8,8.86,8.59,8.6,354396,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-08,8.59,8.73,8.59,8.6,708114,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-09,8.71,9.01,8.65,8.84,878678,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-10,8.97,9.04,8.71,8.8,419530,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-11,8.66,8.88,8.64,8.71,248929,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-12,8.84,8.85,8.59,8.6,1921658,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-15,8.61,8.77,8.61,8.7,336246,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-16,8.66,8.86,8.59,8.69,1385392,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-17,8.6,8.62,8.59,8.59,2325031,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-18,8.53,8.71,8.52,8.61,1577618,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-19,8.71,8.71,8.46,8.5,426464,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-22,8.55,8.57,8.1,8.17,998777,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-23,8.07,8.38,8.07,8.36,439104,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-24,8.44,8.44,8.11,8.35,4308279,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-25,8.36,8.55,7.71,8.17,13425465,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-26,8.05,8.25,7.74,8.13,771174,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-29,8.14,8.17,7.76,7.98,528495,PHDC,Palm Hills Development Company,0.011385951521685858
2008-06-30,8.14,8.14,7.83,7.99,489495,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-02,8.14,8.14,7.87,7.98,1099759,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-03,8.13,8.14,7.87,7.99,1028697,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-06,7.91,7.97,7.69,7.76,268599,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-07,7.8,7.81,7.6,7.73,231852,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-08,7.58,7.95,7.58,7.76,185536,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-09,7.91,7.93,7.65,7.73,100099,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-10,7.69,7.69,7.48,7.66,171869,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-13,7.59,7.69,7.46,7.49,452639,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-14,7.5,7.57,7.46,7.47,711386,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-15,7.46,7.58,7.46,7.49,32324,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-16,7.42,7.49,6.78,7.0,202390,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-17,7.24,7.38,6.82,7.2,376889,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-20,7.25,7.42,6.95,7.22,618039,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-21,7.26,7.35,7.01,7.21,820082,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-22,7.22,7.25,7.04,7.22,626076,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-24,7.06,7.32,7.06,7.25,169618,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-27,7.25,7.39,7.17,7.27,318864,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-28,7.25,7.25,7.01,7.2,172700,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-29,6.95,7.24,6.89,7.18,333596,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-30,7.01,7.19,6.82,7.07,159869,PHDC,Palm Hills Development Company,0.011385951521685858
2008-07-31,7.01,7.19,6.83,6.95,463746,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-03,7.18,7.19,6.67,6.98,974272,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-04,7.0,7.06,6.9,7.01,828329,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-05,7.06,7.15,6.82,6.97,1077868,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-06,6.89,7.06,6.89,7.01,1124206,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-07,7.01,7.08,6.91,7.0,1396824,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-10,7.01,7.01,6.81,6.98,664472,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-11,7.0,7.15,6.34,6.92,1629478,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-12,6.82,7.15,6.57,6.95,602941,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-13,6.69,7.01,6.57,6.87,1518930,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-14,7.0,7.01,6.75,6.79,1928137,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-17,6.98,6.99,6.78,6.83,699153,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-18,6.97,7.3,6.97,7.17,1030784,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-19,7.01,7.22,6.78,6.93,545037,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-20,6.75,6.78,6.57,6.65,262932,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-21,6.94,7.25,6.67,6.92,540104,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-24,7.06,7.24,6.97,7.14,524116,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-25,7.18,7.2,6.97,7.14,372951,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-26,6.99,7.0,6.86,6.92,466921,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-27,6.85,7.21,6.85,7.07,323440,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-28,6.92,7.25,6.92,7.19,3145816,PHDC,Palm Hills Development Company,0.011385951521685858
2008-08-31,7.01,7.26,7.01,7.2,843532,PHDC,Palm Hills Development Company,0.011385951521685858
2008-09-01,6.97,7.39,6.8,6.98,268706,PHDC,Palm Hills Development Company,0.011385951521685858
2008-09-02,7.23,7.25,6.78,6.95,419300,PHDC,Palm Hills Development Company,0.011385951521685858
2008-09-03,6.97,6.99,6.87,6.95,425805,PHDC,Palm Hills Development Company,0.011385951521685858
2008-09-04,6.8,7.0,6.8,6.97,143704,PHDC,Palm Hills Development Company,0.011385951521685858
2008-09-07,6.76,6.97,6.76,6.95,87452,PHDC,Palm Hills Development Company,0.011385951521685858
