date,open,high,low,close,volume,symbol,holding_name,weight
2005-05-17,0.23,0.25,0.23,0.24,23910700,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-18,0.24,0.24,0.23,0.23,28536200,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-19,0.22,0.22,0.22,0.22,21518640,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-22,0.21,0.21,0.21,0.21,39322220,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-23,0.21,0.22,0.21,0.22,48142640,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-24,0.23,0.23,0.22,0.23,12903440,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-25,0.24,0.24,0.21,0.22,66933460,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-26,0.23,0.23,0.23,0.23,5787780,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-29,0.24,0.24,0.24,0.24,13184720,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-30,0.26,0.26,0.25,0.25,32577480,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-05-31,0.26,0.27,0.25,0.26,37160640,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-01,0.27,0.27,0.25,0.26,20384260,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-02,0.26,0.26,0.25,0.25,10532220,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-05,0.25,0.25,0.24,0.24,9467020,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-06,0.24,0.24,0.24,0.24,8156440,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-07,0.24,0.25,0.23,0.24,12560480,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-08,0.23,0.24,0.23,0.23,10645360,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-09,0.23,0.25,0.23,0.24,16469640,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-12,0.24,0.25,0.24,0.25,6506980,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-13,0.24,0.24,0.24,0.24,6865380,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-14,0.24,0.24,0.24,0.24,6767840,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-15,0.24,0.24,0.23,0.24,12139160,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-16,0.24,0.24,0.24,0.24,16069280,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-19,0.23,0.25,0.23,0.24,12381240,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-20,0.24,0.25,0.24,0.25,29123680,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-21,0.26,0.26,0.24,0.25,23463300,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-22,0.25,0.25,0.24,0.25,12219700,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-23,0.25,0.26,0.25,0.26,40043060,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-26,0.27,0.27,0.26,0.27,46334520,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-27,0.28,0.28,0.27,0.28,31323560,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-28,0.29,0.29,0.28,0.29,31508520,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-29,0.28,0.28,0.28,0.28,5118360,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-06-30,0.26,0.28,0.26,0.27,25595000,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-03,0.28,0.28,0.26,0.27,8845820,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-04,0.26,0.27,0.26,0.26,11676080,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-05,0.27,0.27,0.26,0.26,26474740,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-06,0.26,0.26,0.26,0.26,10559620,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-07,0.26,0.26,0.25,0.25,23612120,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-10,0.25,0.26,0.25,0.26,7623340,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-11,0.26,0.26,0.25,0.26,8401240,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-12,0.26,0.27,0.26,0.26,15537720,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-13,0.26,0.26,0.26,0.26,5802440,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-14,0.26,0.26,0.26,0.26,12472420,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-17,0.26,0.26,0.26,0.26,4879740,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-18,0.26,0.26,0.26,0.26,8753000,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-19,0.26,0.26,0.26,0.26,6505180,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-20,0.26,0.26,0.26,0.26,10089120,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-21,0.26,0.26,0.25,0.26,12610600,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-24,0.25,0.25,0.24,0.24,21899740,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-25,0.25,0.25,0.24,0.24,9804540,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-26,0.24,0.24,0.23,0.24,5809920,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-27,0.24,0.24,0.23,0.24,6579780,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-28,0.24,0.25,0.24,0.24,5196180,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-07-31,0.24,0.24,0.24,0.24,2677800,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-01,0.24,0.24,0.24,0.24,2690820,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-02,0.24,0.24,0.24,0.24,18818420,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-03,0.24,0.24,0.24,0.24,11395920,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-04,0.24,0.25,0.24,0.25,18664480,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-07,0.26,0.26,0.25,0.25,12068000,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-08,0.25,0.25,0.24,0.24,6311820,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-09,0.24,0.25,0.24,0.24,7135420,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-10,0.25,0.25,0.24,0.24,10506720,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-11,0.24,0.25,0.24,0.24,10225400,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-14,0.24,0.24,0.24,0.24,6537760,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-15,0.24,0.24,0.23,0.24,12777840,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-16,0.23,0.24,0.23,0.23,9935620,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-17,0.23,0.23,0.22,0.23,16863860,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-18,0.21,0.21,0.21,0.21,15657880,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-21,0.2,0.21,0.2,0.2,75983440,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-22,0.21,0.21,0.19,0.2,70030620,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-23,0.19,0.2,0.19,0.2,35699460,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-24,0.2,0.2,0.19,0.2,29852380,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-25,0.19,0.2,0.19,0.19,34959520,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-28,0.19,0.2,0.19,0.19,49036540,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-29,0.2,0.2,0.19,0.2,63163500,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-30,0.21,0.21,0.2,0.2,47816540,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-08-31,0.2,0.2,0.19,0.2,27244300,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-01,0.2,0.2,0.2,0.2,24328060,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-04,0.2,0.21,0.2,0.2,24008960,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-05,0.2,0.2,0.2,0.2,20648380,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-06,0.2,0.2,0.2,0.2,40294960,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-07,0.2,0.2,0.2,0.2,39009620,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-08,0.2,0.2,0.2,0.2,41488640,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-11,0.2,0.21,0.2,0.2,37737920,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-12,0.2,0.2,0.2,0.2,19703400,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-13,0.2,0.2,0.2,0.2,25903180,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-14,0.2,0.2,0.2,0.2,12980220,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-15,0.2,0.2,0.19,0.2,40044080,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-18,0.19,0.19,0.19,0.19,37196060,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-19,0.19,0.19,0.19,0.19,34848580,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-20,0.19,0.19,0.19,0.19,21540880,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-21,0.19,0.2,0.19,0.2,30862240,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-22,0.2,0.2,0.2,0.2,51505580,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-25,0.2,0.21,0.2,0.21,98416680,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-26,0.22,0.22,0.21,0.21,112596280,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-27,0.22,0.22,0.21,0.22,78950100,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-28,0.22,0.22,0.21,0.21,67559840,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-09-29,0.22,0.22,0.22,0.22,17813920,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-02,0.23,0.23,0.23,0.23,4077520,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-03,0.25,0.25,0.25,0.25,49258660,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-04,0.26,0.26,0.23,0.24,99771980,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-05,0.22,0.24,0.22,0.23,56032300,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-09,0.24,0.25,0.24,0.24,40217300,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-10,0.26,0.26,0.25,0.25,37783480,RAYA,Raya Holding For Financial Investments,0.005455945589537434
2005-10-11,0.25,0.25,0.24,0.25,43464960,RAYA,Raya Holding For Financial Investments,0.005455945589537434
