date,open,high,low,close,volume,symbol,holding_name,weight
2019-12-11,2.43,2.43,2.06,2.26,8628121,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-12,2.26,2.26,2.11,2.15,5245124,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-15,2.15,2.27,2.15,2.22,1222330,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-16,2.22,2.27,2.19,2.24,1502839,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-17,2.24,2.33,2.24,2.28,1346303,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-18,2.28,2.28,2.26,2.27,574682,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-19,2.27,2.28,2.22,2.25,2187284,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-22,2.25,2.25,2.19,2.22,572583,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-23,2.22,2.24,2.2,2.24,362408,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-24,2.24,2.24,2.19,2.22,841037,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-25,2.22,2.24,2.19,2.22,1086057,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-26,2.22,2.3,2.22,2.26,1616762,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-29,2.26,2.32,2.25,2.29,1391933,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-30,2.29,2.34,2.27,2.3,3749965,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2019-12-31,2.3,2.37,2.3,2.35,1894525,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-02,2.35,2.35,2.28,2.29,565323,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-05,2.29,2.29,2.15,2.19,1043201,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-06,2.19,2.22,2.09,2.16,809851,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-08,2.16,2.3,2.16,2.27,1359617,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-09,2.27,2.35,2.27,2.35,4589381,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-12,2.35,2.39,2.3,2.38,8810901,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-13,2.38,2.38,2.35,2.35,1921338,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-14,2.35,2.36,2.3,2.3,1577922,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-15,2.3,2.37,2.3,2.33,5635373,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-16,2.33,2.47,2.33,2.41,9737679,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-19,2.41,2.47,2.4,2.44,716254,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-20,2.44,2.49,2.41,2.43,6095796,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-21,2.43,2.52,2.39,2.47,2431994,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-22,2.47,2.5,2.45,2.47,9611554,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-23,2.47,2.52,2.47,2.49,1923256,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-26,2.49,2.5,2.41,2.46,1063225,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-27,2.46,2.46,2.4,2.41,1660976,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-28,2.41,2.41,2.37,2.39,2127424,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-29,2.39,2.41,2.37,2.39,594237,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
2020-01-30,2.39,2.45,2.39,2.42,409272,RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061
