date,open,high,low,close,volume,symbol,holding_name,weight
2007-11-28,14.63,15.12,12.68,13.25,125897108,TMGH,T M G Holding,0.1108
2007-11-29,13.26,13.41,12.44,12.96,32997955,TMGH,T M G Holding,0.1108
2007-12-02,12.73,12.78,12.1,12.43,19009836,TMGH,T M G Holding,0.1108
2007-12-03,12.18,12.4,11.89,12.18,20361702,TMGH,T M G Holding,0.1108
2007-12-04,12.24,12.63,12.2,12.5,12200018,TMGH,T M G Holding,0.1108
2007-12-05,12.59,12.68,12.44,12.6,11510183,TMGH,T M G Holding,0.1108
2007-12-06,12.57,12.57,12.28,12.41,8935368,TMGH,T M G Holding,0.1108
2007-12-09,12.49,12.49,12.2,12.28,4692139,TMGH,T M G Holding,0.1108
2007-12-10,12.29,12.29,11.91,12.02,7107377,TMGH,T M G Holding,0.1108
2007-12-11,11.92,12.06,11.71,11.84,9298919,TMGH,T M G Holding,0.1108
2007-12-12,11.71,11.89,11.66,11.74,12065094,TMGH,T M G Holding,0.1108
2007-12-13,11.8,11.85,11.68,11.73,7928278,TMGH,T M G Holding,0.1108
2007-12-16,11.8,11.84,11.53,11.68,8908571,TMGH,T M G Holding,0.1108
2007-12-17,11.69,11.71,11.45,11.53,10346879,TMGH,T M G Holding,0.1108
2007-12-23,11.67,11.86,11.62,11.74,8233293,TMGH,T M G Holding,0.1108
2007-12-24,11.85,11.85,11.56,11.73,4609188,TMGH,T M G Holding,0.1108
2007-12-25,11.61,11.84,11.5,11.61,5223920,TMGH,T M G Holding,0.1108
2007-12-26,11.51,11.68,11.46,11.54,4057075,TMGH,T M G Holding,0.1108
2007-12-27,11.52,11.68,11.49,11.57,6323481,TMGH,T M G Holding,0.1108
2007-12-30,11.61,11.66,11.38,11.49,6105041,TMGH,T M G Holding,0.1108
2007-12-31,11.4,11.8,11.38,11.58,8629746,TMGH,T M G Holding,0.1108
2008-01-02,11.66,11.71,11.51,11.57,4258552,TMGH,T M G Holding,0.1108
2008-01-03,11.56,11.69,11.52,11.59,5958103,TMGH,T M G Holding,0.1108
2008-01-06,11.63,11.94,11.56,11.74,14960942,TMGH,T M G Holding,0.1108
2008-01-08,11.94,12.49,11.8,12.28,15711080,TMGH,T M G Holding,0.1108
2008-01-10,12.29,12.9,12.29,12.64,21852809,TMGH,T M G Holding,0.1108
2008-01-13,12.81,13.14,12.66,12.88,14058701,TMGH,T M G Holding,0.1108
2008-01-14,12.66,13.03,12.48,12.67,9362104,TMGH,T M G Holding,0.1108
2008-01-15,12.49,12.71,12.49,12.62,6014256,TMGH,T M G Holding,0.1108
2008-01-16,12.65,12.68,12.15,12.35,9214988,TMGH,T M G Holding,0.1108
2008-01-17,12.2,12.45,12.11,12.26,4830658,TMGH,T M G Holding,0.1108
2008-01-20,12.24,12.43,11.87,12.13,4991500,TMGH,T M G Holding,0.1108
2008-01-21,11.9,12.19,11.4,11.71,8385150,TMGH,T M G Holding,0.1108
2008-01-22,11.6,11.6,11.22,11.43,11266282,TMGH,T M G Holding,0.1108
2008-01-23,11.61,11.95,11.61,11.75,10681846,TMGH,T M G Holding,0.1108
2008-01-24,11.75,11.8,11.55,11.67,6622837,TMGH,T M G Holding,0.1108
2008-01-27,11.68,11.92,11.68,11.79,3661190,TMGH,T M G Holding,0.1108
2008-01-28,11.8,11.8,11.52,11.59,3010677,TMGH,T M G Holding,0.1108
2008-01-29,11.69,11.75,11.56,11.68,2891306,TMGH,T M G Holding,0.1108
2008-01-30,11.71,11.95,11.71,11.8,7443495,TMGH,T M G Holding,0.1108
2008-01-31,11.95,12.15,11.95,12.02,9604525,TMGH,T M G Holding,0.1108
2008-02-03,12.16,12.25,11.88,12.07,7070357,TMGH,T M G Holding,0.1108
2008-02-04,12.11,12.32,12.01,12.22,12013860,TMGH,T M G Holding,0.1108
2008-02-05,12.25,12.34,12.03,12.19,5176209,TMGH,T M G Holding,0.1108
2008-02-06,12.03,12.1,11.71,11.99,6317067,TMGH,T M G Holding,0.1108
2008-02-07,12.14,12.2,11.79,12.01,5306867,TMGH,T M G Holding,0.1108
2008-02-10,11.85,12.11,11.78,11.98,2899876,TMGH,T M G Holding,0.1108
