date,open,high,low,close,volume,symbol,holding_name,weight
2021-09-19,24.81,29.73,23.62,24.28,915233,VLMRA,Valmore Holding-EGP,0.007
2021-09-20,24.28,25.29,23.27,24.17,311708,VLMRA,Valmore Holding-EGP,0.007
2021-09-21,24.17,25.28,23.47,23.64,458182,VLMRA,Valmore Holding-EGP,0.007
2021-09-22,23.64,24.19,23.64,23.97,451211,VLMRA,Valmore Holding-EGP,0.007
2021-09-23,23.97,24.52,23.97,24.23,229984,VLMRA,Valmore Holding-EGP,0.007
2021-09-26,24.23,26.99,24.02,25.48,612826,VLMRA,Valmore Holding-EGP,0.007
2021-09-27,25.48,25.52,24.17,24.29,658688,VLMRA,Valmore Holding-EGP,0.007
2021-09-28,24.29,24.54,24.05,24.29,110969,VLMRA,Valmore Holding-EGP,0.007
2021-09-29,24.29,24.57,23.62,24.49,31221,VLMRA,Valmore Holding-EGP,0.007
2021-09-30,24.49,24.49,23.63,24.29,366812,VLMRA,Valmore Holding-EGP,0.007
2021-10-03,24.29,24.29,23.9,24.17,152956,VLMRA,Valmore Holding-EGP,0.007
2021-10-04,24.17,24.17,24.05,24.17,313072,VLMRA,Valmore Holding-EGP,0.007
2021-10-05,24.17,24.49,23.71,24.16,752599,VLMRA,Valmore Holding-EGP,0.007
2021-10-06,24.16,24.46,24.1,24.29,1174635,VLMRA,Valmore Holding-EGP,0.007
2021-10-10,24.29,26.04,24.29,25.63,3385770,VLMRA,Valmore Holding-EGP,0.007
2021-10-11,25.63,25.64,25.36,25.62,1271184,VLMRA,Valmore Holding-EGP,0.007
2021-10-12,25.62,25.63,25.24,25.63,1842312,VLMRA,Valmore Holding-EGP,0.007
2021-10-13,25.63,25.97,25.23,25.65,3577569,VLMRA,Valmore Holding-EGP,0.007
2021-10-14,25.65,26.99,25.65,26.9,540428,VLMRA,Valmore Holding-EGP,0.007
2021-10-17,26.9,28.48,26.78,27.55,1645616,VLMRA,Valmore Holding-EGP,0.007
2021-10-18,27.55,28.61,27.07,27.24,531625,VLMRA,Valmore Holding-EGP,0.007
2021-10-19,27.24,28.72,27.24,28.17,799012,VLMRA,Valmore Holding-EGP,0.007
2021-10-20,28.17,28.72,28.0,28.18,447759,VLMRA,Valmore Holding-EGP,0.007
2021-10-24,28.18,29.61,28.18,29.32,373523,VLMRA,Valmore Holding-EGP,0.007
2021-10-25,29.32,29.55,27.68,28.7,408330,VLMRA,Valmore Holding-EGP,0.007
2021-10-26,28.7,30.06,28.33,29.43,852779,VLMRA,Valmore Holding-EGP,0.007
2021-10-27,29.43,29.67,28.07,28.55,71229,VLMRA,Valmore Holding-EGP,0.007
2021-10-28,28.55,29.46,28.33,28.85,163689,VLMRA,Valmore Holding-EGP,0.007
2021-10-31,28.85,29.38,27.32,27.92,1572581,VLMRA,Valmore Holding-EGP,0.007
2021-11-01,27.92,29.27,27.92,28.99,539145,VLMRA,Valmore Holding-EGP,0.007
2021-11-02,28.99,28.99,28.33,28.35,308065,VLMRA,Valmore Holding-EGP,0.007
2021-11-03,28.35,28.35,26.46,27.65,585625,VLMRA,Valmore Holding-EGP,0.007
2021-11-04,27.65,27.65,27.07,27.25,567037,VLMRA,Valmore Holding-EGP,0.007
2021-11-07,27.25,28.22,26.99,27.65,89281,VLMRA,Valmore Holding-EGP,0.007
2021-11-08,27.65,28.48,27.13,27.63,136593,VLMRA,Valmore Holding-EGP,0.007
2021-11-09,27.63,28.33,27.63,28.28,649553,VLMRA,Valmore Holding-EGP,0.007
2021-11-10,28.28,28.61,27.8,28.17,344744,VLMRA,Valmore Holding-EGP,0.007
2021-11-11,28.17,28.72,27.8,28.04,122757,VLMRA,Valmore Holding-EGP,0.007
2021-11-14,28.04,30.35,28.04,28.62,749870,VLMRA,Valmore Holding-EGP,0.007
2021-11-15,28.62,29.33,27.92,28.59,102956,VLMRA,Valmore Holding-EGP,0.007
2021-11-16,28.59,29.52,27.74,28.3,235047,VLMRA,Valmore Holding-EGP,0.007
2021-11-17,28.3,28.99,28.3,28.99,433718,VLMRA,Valmore Holding-EGP,0.007
2021-11-18,28.99,28.99,28.35,28.53,213996,VLMRA,Valmore Holding-EGP,0.007
2021-11-21,28.53,31.38,28.5,28.55,136488,VLMRA,Valmore Holding-EGP,0.007
2021-11-22,28.55,29.38,28.33,28.33,235519,VLMRA,Valmore Holding-EGP,0.007
2021-11-23,28.33,28.92,27.86,28.33,327777,VLMRA,Valmore Holding-EGP,0.007
2021-11-24,28.33,28.33,27.92,28.18,383679,VLMRA,Valmore Holding-EGP,0.007
2021-11-25,28.18,31.99,28.11,28.99,167652,VLMRA,Valmore Holding-EGP,0.007
2021-11-28,28.99,28.99,28.11,28.31,262132,VLMRA,Valmore Holding-EGP,0.007
2021-11-29,28.31,28.33,28.11,28.33,45867,VLMRA,Valmore Holding-EGP,0.007
2021-11-30,28.33,28.33,27.51,27.79,1672492,VLMRA,Valmore Holding-EGP,0.007
2021-12-01,27.79,27.8,27.65,27.8,254844,VLMRA,Valmore Holding-EGP,0.007
2021-12-02,27.8,28.06,27.65,27.86,62420,VLMRA,Valmore Holding-EGP,0.007
2021-12-05,27.86,28.18,27.44,27.65,6194141,VLMRA,Valmore Holding-EGP,0.007
2021-12-06,27.65,28.33,26.99,28.31,1223897,VLMRA,Valmore Holding-EGP,0.007
2021-12-07,28.31,28.31,27.6,28.29,60488,VLMRA,Valmore Holding-EGP,0.007
2021-12-08,28.29,28.33,27.65,28.33,236216,VLMRA,Valmore Holding-EGP,0.007
2021-12-09,28.33,28.33,28.11,28.29,12522016,VLMRA,Valmore Holding-EGP,0.007
2021-12-12,28.29,28.61,28.29,28.29,6672,VLMRA,Valmore Holding-EGP,0.007
2021-12-13,28.29,28.85,27.68,28.0,85110,VLMRA,Valmore Holding-EGP,0.007
2021-12-14,28.0,28.0,27.99,28.0,3781,VLMRA,Valmore Holding-EGP,0.007
2021-12-15,28.0,28.07,28.0,28.0,7282,VLMRA,Valmore Holding-EGP,0.007
2021-12-16,28.0,29.37,28.0,28.89,299435,VLMRA,Valmore Holding-EGP,0.007
2021-12-19,28.89,28.89,27.65,27.94,17714,VLMRA,Valmore Holding-EGP,0.007
2021-12-20,27.94,28.53,27.65,27.94,10005,VLMRA,Valmore Holding-EGP,0.007
2021-12-21,27.94,28.28,27.94,27.94,19,VLMRA,Valmore Holding-EGP,0.007
2021-12-22,27.94,28.16,26.32,27.32,379678,VLMRA,Valmore Holding-EGP,0.007
2021-12-23,27.32,27.65,26.49,26.69,113260,VLMRA,Valmore Holding-EGP,0.007
2021-12-26,26.69,27.65,26.51,26.87,285007,VLMRA,Valmore Holding-EGP,0.007
2021-12-27,26.87,27.32,26.46,26.83,29841,VLMRA,Valmore Holding-EGP,0.007
2021-12-28,26.83,28.33,26.83,27.62,612423,VLMRA,Valmore Holding-EGP,0.007
2021-12-29,27.62,27.62,26.37,26.82,166740,VLMRA,Valmore Holding-EGP,0.007
2021-12-30,26.82,27.27,26.51,26.51,1011620,VLMRA,Valmore Holding-EGP,0.007
2022-01-02,26.51,27.36,26.33,26.49,67806,VLMRA,Valmore Holding-EGP,0.007
2022-01-03,26.49,27.13,26.38,26.56,223790,VLMRA,Valmore Holding-EGP,0.007
2022-01-04,26.56,29.12,26.56,28.52,413028,VLMRA,Valmore Holding-EGP,0.007
2022-01-05,28.52,29.09,27.69,27.86,970705,VLMRA,Valmore Holding-EGP,0.007
2022-01-09,27.86,28.04,27.25,27.86,43002,VLMRA,Valmore Holding-EGP,0.007
2022-01-10,27.86,28.31,27.38,28.31,83932,VLMRA,Valmore Holding-EGP,0.007
2022-01-11,28.31,28.33,27.38,28.33,189210,VLMRA,Valmore Holding-EGP,0.007
2022-01-12,28.33,28.33,27.65,28.18,112702,VLMRA,Valmore Holding-EGP,0.007
2022-01-13,28.18,29.09,28.06,28.48,341661,VLMRA,Valmore Holding-EGP,0.007
2022-01-16,28.48,28.48,28.11,28.48,853,VLMRA,Valmore Holding-EGP,0.007
2022-01-17,28.48,28.71,28.18,28.33,740036,VLMRA,Valmore Holding-EGP,0.007
2022-01-18,28.33,28.48,27.94,28.18,28323,VLMRA,Valmore Holding-EGP,0.007
2022-01-19,28.18,28.18,27.92,28.06,27520,VLMRA,Valmore Holding-EGP,0.007
2022-01-20,28.06,28.29,27.65,28.29,889724,VLMRA,Valmore Holding-EGP,0.007
2022-01-23,28.29,28.29,27.25,27.63,96218,VLMRA,Valmore Holding-EGP,0.007
2022-01-24,27.63,27.65,27.26,27.63,284636,VLMRA,Valmore Holding-EGP,0.007
2022-01-25,27.63,28.16,27.07,27.65,264646,VLMRA,Valmore Holding-EGP,0.007
2022-01-26,27.65,28.33,27.38,28.33,179270,VLMRA,Valmore Holding-EGP,0.007
2022-01-30,28.33,28.33,27.53,28.33,1229,VLMRA,Valmore Holding-EGP,0.007
2022-01-31,28.33,28.33,27.65,28.11,411176,VLMRA,Valmore Holding-EGP,0.007
2022-02-01,28.11,28.11,27.65,27.8,101790,VLMRA,Valmore Holding-EGP,0.007
2022-02-02,27.8,27.92,27.8,27.92,930397,VLMRA,Valmore Holding-EGP,0.007
2022-02-03,27.92,28.13,27.92,27.92,263275,VLMRA,Valmore Holding-EGP,0.007
2022-02-06,27.92,28.29,27.67,27.82,20910,VLMRA,Valmore Holding-EGP,0.007
2022-02-07,27.82,28.06,27.65,27.94,784850,VLMRA,Valmore Holding-EGP,0.007
2022-02-08,27.94,28.0,27.67,27.7,2090693,VLMRA,Valmore Holding-EGP,0.007
2022-02-09,27.7,28.87,27.7,28.81,791077,VLMRA,Valmore Holding-EGP,0.007
2022-02-10,28.81,28.99,27.99,28.85,54272,VLMRA,Valmore Holding-EGP,0.007
2022-02-13,28.85,29.12,27.65,29.12,32394,VLMRA,Valmore Holding-EGP,0.007
2022-02-14,29.12,29.12,28.06,28.88,70415,VLMRA,Valmore Holding-EGP,0.007
2022-02-15,28.88,28.99,28.33,28.93,52838,VLMRA,Valmore Holding-EGP,0.007
2022-02-16,28.93,28.93,28.29,28.93,2200,VLMRA,Valmore Holding-EGP,0.007
2022-02-17,28.93,28.93,28.29,28.93,3800,VLMRA,Valmore Holding-EGP,0.007
2022-02-20,28.93,28.93,28.29,28.93,4418,VLMRA,Valmore Holding-EGP,0.007
2022-02-21,28.93,28.93,27.67,28.33,49265,VLMRA,Valmore Holding-EGP,0.007
2022-02-22,28.33,28.33,27.6,28.3,236262,VLMRA,Valmore Holding-EGP,0.007
2022-02-23,28.3,28.48,27.84,28.48,31181,VLMRA,Valmore Holding-EGP,0.007
2022-02-24,28.48,28.48,26.99,28.28,146799,VLMRA,Valmore Holding-EGP,0.007
2022-02-27,28.28,28.84,28.28,28.84,21018,VLMRA,Valmore Holding-EGP,0.007
2022-02-28,28.84,28.84,28.06,28.28,424061,VLMRA,Valmore Holding-EGP,0.007
2022-03-01,28.28,28.83,28.13,28.28,769,VLMRA,Valmore Holding-EGP,0.007
2022-03-02,28.28,28.83,28.18,28.33,433460,VLMRA,Valmore Holding-EGP,0.007
2022-03-03,28.33,29.08,28.33,28.84,364960,VLMRA,Valmore Holding-EGP,0.007
2022-03-06,28.84,29.09,27.82,28.07,113784,VLMRA,Valmore Holding-EGP,0.007
2022-03-07,28.07,28.18,27.52,28.17,334021,VLMRA,Valmore Holding-EGP,0.007
2022-03-08,28.17,28.17,26.69,27.51,1380671,VLMRA,Valmore Holding-EGP,0.007
2022-03-09,27.51,28.11,27.51,27.83,1458116,VLMRA,Valmore Holding-EGP,0.007
2022-03-10,27.83,28.33,27.38,28.33,1085290,VLMRA,Valmore Holding-EGP,0.007
2022-03-13,28.33,28.63,27.92,28.28,375033,VLMRA,Valmore Holding-EGP,0.007
2022-03-14,28.28,28.84,28.06,28.65,409413,VLMRA,Valmore Holding-EGP,0.007
2022-03-15,28.65,28.65,28.18,28.33,283131,VLMRA,Valmore Holding-EGP,0.007
2022-03-16,28.33,29.37,28.33,29.07,15224363,VLMRA,Valmore Holding-EGP,0.007
