date,open,high,low,close,volume,symbol,holding_name,weight
2001-05-15,1.95,2.06,1.95,1.95,247730,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-15,0.62,0.62,0.61,0.62,509732,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-15,0.36,0.38,0.36,0.37,665919,EAST,Eastern Company,0.07421615580721792
2001-05-15,0.26,0.26,0.26,0.26,684000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-15,1.14,1.14,1.14,1.14,11540,HRHO,EFG Holding,0.03821723389553777
2001-05-15,-4.19,-4.18,-4.89,-4.18,31343,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-15,4.48,4.51,4.48,4.51,3037683,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-15,4.96,4.96,4.96,4.96,1406,ORWE,Oriental Weavers,0.006652628111365718
2001-05-16,1.99,1.99,1.99,1.99,82470,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-16,2.7,2.72,2.7,2.71,6032,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-16,0.61,0.62,0.6,0.61,473515,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-16,0.36,0.36,0.36,0.36,230892,EAST,Eastern Company,0.07421615580721792
2001-05-16,0.34,0.34,0.34,0.34,13500,HELI,Heliopolis Housing,0.005236536463813827
2001-05-16,1.18,1.18,1.18,1.18,4623,HRHO,EFG Holding,0.03821723389553777
2001-05-16,-4.19,-4.13,-4.19,-4.13,11241,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-16,4.51,4.51,4.51,4.51,4165488,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-16,0.5,0.5,0.48,0.5,84110,ORHD,Orascom Development Egypt,0.009008827454773521
2001-05-16,0.97,0.97,0.97,0.97,4268,VLMR,Egyptian Kuwaiti Holding,0.017336817639332504
2001-05-17,1.99,2.06,1.82,2.06,132530,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-17,2.85,2.85,2.7,2.82,3967,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-17,0.61,0.61,0.6,0.61,960643,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-17,0.36,0.37,0.36,0.36,402094,EAST,Eastern Company,0.07421615580721792
2001-05-17,0.34,0.34,0.34,0.34,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-17,1.22,1.22,1.22,1.22,5796,HRHO,EFG Holding,0.03821723389553777
2001-05-17,-4.19,-4.15,-4.19,-4.15,21709,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-17,4.51,4.51,4.51,4.51,3930896,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-20,1.82,1.87,1.82,1.87,14580,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-20,2.71,2.72,2.7,2.71,60515,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-20,0.6,0.6,0.6,0.6,151354,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-20,0.36,0.36,0.35,0.36,227260,EAST,Eastern Company,0.07421615580721792
2001-05-20,1.26,1.26,1.26,1.26,2304,HRHO,EFG Holding,0.03821723389553777
2001-05-20,-4.18,-4.18,-4.89,-4.19,39597,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-20,4.51,4.51,4.51,4.51,1762495,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-20,0.48,0.48,0.48,0.48,1100,ORHD,Orascom Development Egypt,0.009008827454773521
2001-05-20,0.95,0.97,0.95,0.96,13727,VLMR,Egyptian Kuwaiti Holding,0.017336817639332504
2001-05-21,1.87,1.89,1.87,1.89,314000,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-21,2.7,2.7,2.64,2.69,8491,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-21,0.6,0.64,0.6,0.62,1016963,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-21,0.36,0.38,0.36,0.36,6082507,EAST,Eastern Company,0.07421615580721792
2001-05-21,0.36,0.36,0.36,0.36,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-21,1.28,1.28,1.28,1.28,1154,HRHO,EFG Holding,0.03821723389553777
2001-05-21,-4.24,-4.2,-4.24,-4.2,4752,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-21,4.51,4.51,4.46,4.46,6282075,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-21,0.49,0.49,0.49,0.49,1100,ORHD,Orascom Development Egypt,0.009008827454773521
2001-05-21,0.97,0.97,0.97,0.97,23007,VLMR,Egyptian Kuwaiti Holding,0.017336817639332504
2001-05-22,1.89,1.89,1.89,1.89,728850,ABUK,Abou Kir Fertilizers,0.02770444060544158
2001-05-22,2.72,2.72,2.65,2.71,6286,ADIB,Abu Dhabi Islamic Bank- Egypt,0.026065970489328714
2001-05-22,0.61,0.62,0.61,0.61,412839,COMI,Commercial International Bank-Egypt (CIB),0.34792919872176564
2001-05-22,0.37,0.37,0.36,0.36,503072,EAST,Eastern Company,0.07421615580721792
2001-05-22,0.36,0.36,0.36,0.36,9000,HELI,Heliopolis Housing,0.005236536463813827
2001-05-22,-4.2,-4.17,-4.2,-4.17,14305,MCQE,Misr Cement - Qena,0.009559473615233852
2001-05-22,4.46,4.46,4.46,4.46,4559680,OIH,Orascom Investment Holding,0.0038627913975917906
2001-05-22,0.49,0.5,0.48,0.49,13270,ORHD,Orascom Development Egypt,0.009008827454773521
2001-05-22,4.73,4.73,4.73,4.73,3312,ORWE,Oriental Weavers,0.006652628111365718
2001-05-22,0.97,0.97,0.97,0.97,4061,VLMR,Egyptian Kuwaiti Holding,0.017336817639332504
2001-05-23,2.06,2.06,1.87,2.06,20360,ABUK,Abou Kir Fertilizers,0.02770444060544158
