2005-09-29/00:00:00,5.07,6.06,5.07,5.75,58429830
2005-10-02/00:00:00,6.27,6.27,5.94,6.07,21264990
2005-10-03/00:00:00,5.93,6.0,5.7,5.86,22889790
2005-10-04/00:00:00,5.69,5.7,5.53,5.61,10002465
2005-10-05/00:00:00,5.51,5.86,5.48,5.59,11976975
2005-10-09/00:00:00,5.87,6.03,5.67,5.95,14967165
2005-10-10/00:00:00,6.0,6.13,5.94,6.01,7122690
2005-10-11/00:00:00,5.93,6.03,5.87,5.98,5184390
2005-10-12/00:00:00,5.97,6.09,5.93,5.99,7591605
2005-10-13/00:00:00,5.97,6.09,5.94,6.0,4300905
2005-10-16/00:00:00,5.93,6.03,5.93,6.0,5223825
2005-10-17/00:00:00,6.0,6.02,5.93,5.97,5822460
2005-10-18/00:00:00,5.95,6.0,5.73,5.91,3553725
2005-10-19/00:00:00,5.83,5.83,5.69,5.75,3604140
2005-10-20/00:00:00,5.74,5.87,5.74,5.79,2397885
2005-10-23/00:00:00,5.77,5.87,5.75,5.8,3135270
2005-10-24/00:00:00,5.77,5.9,5.73,5.83,3103890
2005-10-25/00:00:00,5.73,6.0,5.73,5.92,6075375
2005-10-26/00:00:00,5.8,5.93,5.74,5.82,2040540
2005-10-27/00:00:00,5.85,5.87,5.71,5.75,3348855
2005-10-30/00:00:00,5.73,5.77,5.69,5.73,1986825
2005-10-31/00:00:00,5.76,5.87,5.72,5.79,3400455
2005-11-01/00:00:00,5.77,5.93,5.77,5.85,2026905
2005-11-06/00:00:00,5.87,5.9,5.81,5.86,4611165
2005-11-07/00:00:00,5.83,5.87,5.73,5.78,2769780
2005-11-08/00:00:00,5.74,5.82,5.73,5.77,3093660
2005-11-09/00:00:00,5.8,5.8,5.67,5.69,2866320
2005-11-10/00:00:00,5.67,5.8,5.67,5.74,2897070
2005-11-13/00:00:00,5.72,5.72,5.57,5.65,1646115
2005-11-14/00:00:00,5.57,5.6,5.4,5.51,2316960
2005-11-15/00:00:00,5.43,5.56,5.41,5.51,1414395
2005-11-16/00:00:00,5.57,5.6,5.44,5.5,1408785
2005-11-17/00:00:00,5.45,5.49,5.43,5.46,788790
2005-11-20/00:00:00,5.43,5.47,5.41,5.45,1312485
2005-11-21/00:00:00,5.47,5.47,5.4,5.44,1601490
