2001-05-15/00:00:00,0.36,0.38,0.36,0.37,665919
2001-05-16/00:00:00,0.36,0.36,0.36,0.36,230892
2001-05-17/00:00:00,0.36,0.37,0.36,0.36,402094
2001-05-20/00:00:00,0.36,0.36,0.35,0.36,227260
2001-05-21/00:00:00,0.36,0.38,0.36,0.36,6082507
2001-05-22/00:00:00,0.37,0.37,0.36,0.36,503072
2001-05-23/00:00:00,0.36,0.36,0.36,0.36,563004
2001-05-24/00:00:00,0.36,0.37,0.36,0.36,5069462
2001-05-27/00:00:00,0.36,0.36,0.36,0.36,205830
2001-05-28/00:00:00,0.37,0.37,0.36,0.36,184641
2001-05-29/00:00:00,0.36,0.36,0.36,0.36,169507
2001-05-30/00:00:00,0.36,0.37,0.36,0.36,78700
2001-05-31/00:00:00,0.35,0.35,0.35,0.35,54726
2001-06-03/00:00:00,0.35,0.35,0.35,0.35,15740
2001-06-05/00:00:00,0.35,0.35,0.35,0.35,757090
2001-06-06/00:00:00,0.35,0.35,0.35,0.35,172534
2001-06-07/00:00:00,0.35,0.35,0.35,0.35,2371278
2001-06-10/00:00:00,0.35,0.35,0.35,0.35,1234493
2001-06-11/00:00:00,0.32,0.35,0.32,0.35,260314
2001-06-12/00:00:00,0.34,0.34,0.34,0.34,281502
2001-06-13/00:00:00,0.34,0.34,0.34,0.34,389865
2001-06-14/00:00:00,0.34,0.34,0.34,0.34,2180583
2001-06-17/00:00:00,0.34,0.34,0.34,0.34,27848
2001-06-18/00:00:00,0.34,0.34,0.34,0.34,326906
2001-06-19/00:00:00,0.33,0.33,0.33,0.33,35112
2001-06-20/00:00:00,0.3,0.34,0.3,0.34,920179
2001-06-21/00:00:00,0.3,0.33,0.3,0.33,15135
2001-06-24/00:00:00,0.33,0.33,0.33,0.33,613251
2001-06-25/00:00:00,0.33,0.33,0.33,0.33,4389740
2001-06-26/00:00:00,0.33,0.33,0.33,0.33,102188
2001-06-27/00:00:00,0.3,0.33,0.3,0.33,212489
2001-06-28/00:00:00,0.34,0.34,0.29,0.33,510336
2001-07-02/00:00:00,0.33,0.33,0.33,0.33,3440018
2001-07-03/00:00:00,0.34,0.35,0.34,0.34,2265700
2001-07-04/00:00:00,0.35,0.36,0.35,0.36,3155489
2001-07-05/00:00:00,0.36,0.36,0.36,0.36,877439
2001-07-08/00:00:00,0.36,0.38,0.36,0.37,1235583
2001-07-09/00:00:00,0.38,0.38,0.38,0.38,574507
2001-07-10/00:00:00,0.38,0.38,0.34,0.38,1698094
2001-07-11/00:00:00,0.37,0.38,0.37,0.38,2849529
2001-07-12/00:00:00,0.34,0.37,0.34,0.37,1041256
2001-07-15/00:00:00,0.36,0.36,0.36,0.36,48430
2001-07-16/00:00:00,0.36,0.36,0.32,0.36,638798
2001-07-17/00:00:00,0.36,0.36,0.32,0.36,653812
2001-07-18/00:00:00,0.32,0.32,0.32,0.32,12108
2001-07-19/00:00:00,0.35,0.35,0.35,0.35,793049
2001-07-22/00:00:00,0.35,0.35,0.35,0.35,84753
2001-07-24/00:00:00,0.36,0.36,0.36,0.36,261646
2001-07-25/00:00:00,0.36,0.36,0.36,0.36,766413
2001-07-26/00:00:00,0.32,0.35,0.32,0.32,805157
2001-07-29/00:00:00,0.32,0.35,0.32,0.35,24215
2001-07-30/00:00:00,0.37,0.37,0.36,0.36,1186547
2001-07-31/00:00:00,0.32,0.35,0.32,0.32,840632
2001-08-01/00:00:00,0.35,0.35,0.35,0.35,752610
2001-08-02/00:00:00,0.35,0.35,0.35,0.35,1209188
2001-08-06/00:00:00,0.32,0.37,0.32,0.37,974664
2001-08-07/00:00:00,0.37,0.37,0.36,0.37,887489
2001-08-08/00:00:00,0.36,0.37,0.36,0.36,1416955
2001-08-12/00:00:00,0.36,0.36,0.36,0.36,42377
2001-08-13/00:00:00,0.37,0.37,0.37,0.37,1474103
2001-08-14/00:00:00,0.38,0.39,0.38,0.39,2314978
2001-08-15/00:00:00,0.34,0.38,0.34,0.37,1059417
2001-08-16/00:00:00,0.37,0.38,0.37,0.37,11400417
2001-08-19/00:00:00,0.37,0.38,0.37,0.38,13924
2001-08-20/00:00:00,0.39,0.39,0.38,0.38,3281166
2001-08-21/00:00:00,0.38,0.38,0.38,0.38,1289462
2001-08-22/00:00:00,0.39,0.39,0.38,0.38,1211
2001-08-23/00:00:00,0.39,0.39,0.38,0.38,10897
2001-08-27/00:00:00,0.35,0.38,0.35,0.38,65139
2001-08-28/00:00:00,0.38,0.38,0.38,0.38,302327
2001-08-29/00:00:00,0.37,0.37,0.37,0.37,12108
2001-08-30/00:00:00,0.37,0.42,0.37,0.42,1549776
2001-09-02/00:00:00,0.4,0.43,0.4,0.43,1413686
2001-09-03/00:00:00,0.43,0.43,0.43,0.43,253049
2001-09-04/00:00:00,0.43,0.43,0.43,0.43,1987466
2001-09-05/00:00:00,0.42,0.42,0.42,0.42,1370583
2001-09-06/00:00:00,0.42,0.45,0.42,0.45,2966368
2001-09-09/00:00:00,0.43,0.43,0.43,0.43,1221054
2001-09-10/00:00:00,0.41,0.42,0.41,0.42,1234978
2001-09-11/00:00:00,0.43,0.43,0.43,0.43,447982
2001-09-12/00:00:00,0.39,0.41,0.39,0.41,1018251
2001-09-13/00:00:00,0.41,0.41,0.41,0.41,1009413
2001-09-16/00:00:00,0.42,0.42,0.37,0.4,938099
2001-09-17/00:00:00,0.38,0.38,0.38,0.38,1029148
2001-09-18/00:00:00,0.39,0.39,0.37,0.38,854435
2001-09-19/00:00:00,0.38,0.38,0.35,0.38,2115928
2001-09-20/00:00:00,0.38,0.38,0.38,0.38,608408
2001-09-23/00:00:00,0.35,0.39,0.35,0.39,393498
2001-09-24/00:00:00,0.37,0.39,0.37,0.39,310561
2001-09-25/00:00:00,0.37,0.37,0.37,0.37,9602314
2001-09-26/00:00:00,0.39,0.39,0.38,0.38,81969
2001-09-27/00:00:00,0.35,0.39,0.35,0.39,713744
2001-09-30/00:00:00,0.39,0.39,0.39,0.39,15135
2001-10-01/00:00:00,0.38,0.38,0.38,0.38,121076
2001-10-02/00:00:00,0.38,0.38,0.38,0.38,342040
2001-10-03/00:00:00,0.37,0.37,0.37,0.37,243969
2001-10-04/00:00:00,0.39,0.39,0.37,0.37,6054
2001-10-08/00:00:00,0.39,0.39,0.39,0.39,906256
2001-10-09/00:00:00,0.4,0.41,0.4,0.41,156188
2001-10-10/00:00:00,0.41,0.41,0.41,0.41,3173408
2001-10-11/00:00:00,0.42,0.42,0.41,0.41,12108
2001-10-14/00:00:00,0.41,0.42,0.39,0.42,26395
2001-10-21/00:00:00,0.39,0.42,0.39,0.39,122529
2001-10-22/00:00:00,0.39,0.39,0.39,0.39,6988278
2001-10-23/00:00:00,0.4,0.4,0.4,0.4,627780
2001-10-24/00:00:00,0.4,0.4,0.4,0.4,6054
2001-10-25/00:00:00,0.4,0.4,0.4,0.4,54484
2001-10-30/00:00:00,0.38,0.4,0.38,0.4,605
2001-11-01/00:00:00,0.38,0.38,0.38,0.38,1408601
2001-11-05/00:00:00,0.38,0.38,0.38,0.38,76883
2001-11-06/00:00:00,0.38,0.38,0.38,0.38,12108
2001-11-07/00:00:00,0.39,0.39,0.35,0.35,158247
2001-11-08/00:00:00,0.35,0.39,0.35,0.39,153161
2001-11-13/00:00:00,0.39,0.39,0.39,0.39,42377
2001-11-14/00:00:00,0.35,0.39,0.35,0.39,2611009
2001-11-15/00:00:00,0.38,0.38,0.34,0.38,387444
2001-11-18/00:00:00,0.34,0.37,0.34,0.37,36323
2001-11-19/00:00:00,0.37,0.37,0.35,0.36,242152
2001-11-20/00:00:00,0.36,0.36,0.35,0.35,1471076
2001-11-21/00:00:00,0.35,0.35,0.34,0.35,1382206
2001-11-22/00:00:00,0.35,0.35,0.3,0.3,2933919
2001-11-25/00:00:00,0.28,0.28,0.28,0.28,60538
2001-11-26/00:00:00,0.26,0.29,0.26,0.29,233556
2001-11-27/00:00:00,0.29,0.29,0.28,0.29,593395
2001-11-28/00:00:00,0.28,0.28,0.28,0.28,1250596
2001-11-29/00:00:00,0.28,0.28,0.28,0.28,1866874
2001-12-02/00:00:00,0.28,0.28,0.26,0.27,11645354
2001-12-03/00:00:00,0.22,0.27,0.22,0.26,1008565
2001-12-04/00:00:00,0.27,0.27,0.25,0.25,5224197
2001-12-05/00:00:00,0.27,0.27,0.22,0.26,991978
2001-12-06/00:00:00,0.26,0.27,0.22,0.26,2597691
