2021-10-20/00:00:00,11.18,20.0,15.2,16.8,125223453
2021-10-24/00:00:00,16.8,20.16,17.52,18.54,22815673
2021-10-25/00:00:00,18.54,19.03,16.8,16.98,12711561
2021-10-26/00:00:00,16.98,17.79,16.64,17.2,8168504
2021-10-27/00:00:00,17.2,17.71,16.8,17.3,3555358
2021-10-28/00:00:00,17.3,17.99,17.06,17.13,4287166
2021-10-31/00:00:00,17.13,17.44,16.96,17.06,2119640
2021-11-01/00:00:00,17.06,17.76,17.05,17.44,8017108
2021-11-02/00:00:00,17.44,17.76,17.2,17.42,5385085
2021-11-03/00:00:00,17.42,17.5,16.99,17.02,5501318
2021-11-04/00:00:00,17.02,17.2,16.88,17.02,2095501
2021-11-07/00:00:00,17.02,17.27,16.92,17.03,655811
2021-11-08/00:00:00,17.03,17.12,16.96,16.99,785635
2021-11-09/00:00:00,16.99,17.16,16.93,16.96,958991
2021-11-10/00:00:00,16.96,16.96,15.62,15.68,4842703
2021-11-11/00:00:00,15.68,16.56,15.93,16.55,2228835
2021-11-14/00:00:00,16.55,16.64,14.64,15.34,3258850
2021-11-15/00:00:00,15.34,15.35,13.76,14.01,8098128
2021-11-16/00:00:00,14.01,13.84,13.0,13.56,12242370
2021-11-17/00:00:00,13.56,14.88,13.64,14.34,6361340
2021-11-18/00:00:00,14.34,14.98,14.34,14.71,4293110
2021-11-21/00:00:00,14.71,14.9,14.44,14.75,794796
2021-11-22/00:00:00,14.75,15.2,14.65,15.06,1315241
2021-11-23/00:00:00,15.06,15.56,15.06,15.42,3549063
2021-11-24/00:00:00,15.42,15.6,14.88,14.95,836284
2021-11-25/00:00:00,14.95,15.2,14.88,14.97,1322045
2021-11-28/00:00:00,14.97,14.94,14.0,14.84,1882450
2021-11-29/00:00:00,14.84,14.96,14.48,14.8,1730624
2021-11-30/00:00:00,14.8,15.2,14.5,14.96,1481271
2021-12-01/00:00:00,14.96,14.96,14.4,14.44,3058298
2021-12-02/00:00:00,14.44,14.6,14.28,14.6,2470226
2021-12-05/00:00:00,14.6,14.55,14.25,14.35,571611
2021-12-06/00:00:00,14.35,14.56,14.24,14.29,881451
2021-12-07/00:00:00,14.29,14.48,14.01,14.04,1168595
2021-12-08/00:00:00,14.04,14.32,13.28,13.92,2757334
2021-12-09/00:00:00,13.92,14.06,13.52,13.92,2031883
2021-12-12/00:00:00,13.92,13.99,13.6,13.68,1459489
2021-12-13/00:00:00,13.68,14.14,13.72,13.99,1196535
2021-12-14/00:00:00,13.99,14.18,13.89,13.94,748356
2021-12-15/00:00:00,13.94,14.07,13.86,14.0,3052376
2021-12-16/00:00:00,14.0,14.5,14.0,14.46,2336941
2021-12-19/00:00:00,14.46,14.41,14.16,14.26,338278
2021-12-20/00:00:00,14.26,14.4,14.05,14.35,1073614
2021-12-21/00:00:00,14.35,14.8,14.25,14.7,2296546
2021-12-22/00:00:00,14.7,15.6,14.64,15.44,4852968
2021-12-23/00:00:00,15.44,16.08,15.44,15.81,5927315
2021-12-26/00:00:00,15.81,15.88,15.44,15.88,3545708
2021-12-27/00:00:00,15.88,16.19,15.54,16.0,2278645
2021-12-28/00:00:00,16.0,16.0,15.68,15.8,954465
2021-12-29/00:00:00,15.8,16.0,15.63,15.94,955885
2021-12-30/00:00:00,15.94,16.4,15.84,16.23,3502265
2022-01-02/00:00:00,16.23,16.32,15.84,15.89,860661
2022-01-03/00:00:00,15.89,16.0,15.79,15.91,667068
2022-01-04/00:00:00,15.91,15.92,15.6,15.69,1061693
2022-01-05/00:00:00,15.69,16.0,15.7,15.96,1196995
2022-01-09/00:00:00,15.96,16.0,15.65,15.7,275549
2022-01-10/00:00:00,15.7,15.97,15.68,15.8,1786320
2022-01-11/00:00:00,15.8,15.9,15.64,15.67,662713
2022-01-12/00:00:00,15.67,15.9,15.19,15.33,2024926
2022-01-13/00:00:00,15.33,15.34,14.81,14.98,1390406
2022-01-16/00:00:00,14.98,15.04,14.8,14.92,274854
2022-01-17/00:00:00,14.92,15.04,14.88,14.94,881719
2022-01-18/00:00:00,14.94,15.04,14.92,14.95,670118
2022-01-19/00:00:00,14.95,14.96,14.46,14.5,1590754
2022-01-20/00:00:00,14.5,14.7,14.4,14.54,781609
2022-01-23/00:00:00,14.54,14.6,14.24,14.32,828945
2022-01-24/00:00:00,14.32,14.46,14.24,14.41,506933
2022-01-25/00:00:00,14.41,14.52,14.08,14.25,961013
2022-01-26/00:00:00,14.25,14.24,13.59,13.74,1466370
2022-01-30/00:00:00,13.74,14.0,13.6,13.62,375305
2022-01-31/00:00:00,13.62,14.08,13.6,13.97,1862781
2022-02-01/00:00:00,13.97,14.4,14.08,14.4,967533
2022-02-02/00:00:00,14.4,14.48,14.26,14.32,1289626
2022-02-03/00:00:00,14.32,14.41,14.02,14.02,893689
2022-02-06/00:00:00,14.02,14.08,13.84,13.97,371518
2022-02-07/00:00:00,13.97,14.6,13.93,14.54,3376333
2022-02-08/00:00:00,14.54,14.86,14.45,14.64,593004
2022-02-09/00:00:00,14.64,14.76,14.5,14.68,306585
2022-02-10/00:00:00,14.68,14.72,14.24,14.48,692870
2022-02-13/00:00:00,14.48,14.5,13.93,14.4,2798770
2022-02-14/00:00:00,14.4,14.4,14.16,14.4,1955558
2022-02-15/00:00:00,14.4,14.48,14.22,14.43,200843
2022-02-16/00:00:00,14.43,14.59,14.22,14.26,519590
2022-02-17/00:00:00,14.26,14.54,14.09,14.54,1041955
2022-02-20/00:00:00,14.54,14.39,14.18,14.26,222893
2022-02-21/00:00:00,14.26,14.32,14.12,14.3,830960
2022-02-22/00:00:00,14.3,14.15,14.0,14.01,1503913
2022-02-23/00:00:00,14.01,14.28,13.94,14.08,390956
2022-02-24/00:00:00,14.08,13.99,13.3,13.87,1426386
2022-02-27/00:00:00,13.87,14.24,13.76,14.22,376195
2022-02-28/00:00:00,14.22,14.75,14.0,14.51,2640795
2022-03-01/00:00:00,14.51,15.04,14.48,14.94,3917373
2022-03-02/00:00:00,14.94,14.94,14.68,14.83,259791
2022-03-03/00:00:00,14.83,15.58,14.72,15.36,2008753
2022-03-06/00:00:00,15.36,15.27,14.79,15.09,3652506
2022-03-07/00:00:00,15.09,15.19,14.8,14.87,1186356
2022-03-08/00:00:00,14.87,14.8,14.33,14.51,720460
2022-03-09/00:00:00,14.51,14.48,14.0,14.09,1577264
2022-03-10/00:00:00,14.09,14.47,13.88,14.26,4978670
2022-03-13/00:00:00,14.26,14.4,14.0,14.22,1072764
2022-03-14/00:00:00,14.22,14.24,13.92,13.92,2366638
2022-03-15/00:00:00,13.92,14.1,13.88,13.97,850089
2022-03-16/00:00:00,13.97,14.48,13.93,14.31,806514
2022-03-17/00:00:00,14.31,14.58,13.92,13.92,2562300
2022-03-20/00:00:00,13.92,14.4,13.98,14.35,5027151
2022-03-21/00:00:00,14.35,14.76,14.28,14.62,3141646
2022-03-22/00:00:00,14.62,14.96,14.32,14.4,3370066
2022-03-23/00:00:00,14.4,14.76,14.24,14.69,1357188
2022-03-24/00:00:00,14.69,14.8,14.53,14.74,2466990
2022-03-27/00:00:00,14.74,14.84,14.4,14.78,2798326
2022-03-28/00:00:00,14.78,14.92,14.32,14.38,2403240
2022-03-29/00:00:00,14.38,14.48,14.32,14.38,1215103
2022-03-30/00:00:00,14.38,14.54,14.28,14.31,961273
2022-03-31/00:00:00,14.31,14.39,14.16,14.17,4880900
2022-04-03/00:00:00,14.17,14.3,14.02,14.18,94279
2022-04-04/00:00:00,14.18,14.36,14.1,14.22,4818244
2022-04-05/00:00:00,14.22,14.21,14.12,14.16,544644
2022-04-06/00:00:00,14.16,14.24,14.12,14.14,404635
2022-04-07/00:00:00,14.14,14.32,14.14,14.15,308856
2022-04-10/00:00:00,14.15,14.22,14.12,14.16,249483
2022-04-11/00:00:00,14.16,14.16,14.06,14.07,2006776
2022-04-12/00:00:00,14.07,14.16,14.04,14.12,833395
2022-04-13/00:00:00,14.12,14.2,14.03,14.07,1775348
2022-04-14/00:00:00,14.07,14.12,13.84,14.12,1961615
2022-04-17/00:00:00,14.12,14.19,13.6,14.0,773786
2022-04-18/00:00:00,14.0,14.0,13.6,13.93,278404
2022-04-19/00:00:00,13.93,14.16,13.69,13.84,1221476
2022-04-20/00:00:00,13.84,14.0,13.75,13.79,1314951
2022-04-21/00:00:00,13.79,14.08,13.69,13.93,4674701
2022-04-26/00:00:00,13.93,14.0,13.8,13.84,3922603
