2015-07-05/00:00:00,4.08,4.08,3.71,3.94,78473479
2015-07-06/00:00:00,3.75,3.75,3.39,3.55,28086357
2015-07-07/00:00:00,3.55,3.6,3.39,3.47,15819026
2015-07-08/00:00:00,3.47,3.51,3.26,3.35,18675797
2015-07-09/00:00:00,3.3,3.35,3.24,3.29,22943911
2015-07-12/00:00:00,3.29,3.44,3.28,3.36,14980138
2015-07-13/00:00:00,3.36,3.42,3.31,3.36,10165807
2015-07-14/00:00:00,3.36,3.51,3.38,3.45,14560588
2015-07-15/00:00:00,3.45,3.55,3.47,3.52,16008926
2015-07-16/00:00:00,3.52,3.57,3.5,3.54,8989736
2015-07-21/00:00:00,3.54,3.55,3.42,3.49,7444031
2015-07-22/00:00:00,3.49,3.51,3.41,3.46,3018100
2015-07-26/00:00:00,3.5,3.51,3.41,3.45,3255450
2015-07-27/00:00:00,3.45,3.45,3.4,3.42,1925587
2015-07-28/00:00:00,3.42,3.56,3.41,3.52,7103860
2015-07-29/00:00:00,3.52,3.56,3.51,3.54,10233532
2015-07-30/00:00:00,3.54,3.54,3.46,3.5,5696807
2015-08-02/00:00:00,3.5,3.5,3.38,3.42,2511946
2015-08-03/00:00:00,3.42,3.43,3.3,3.35,4075742
2015-08-04/00:00:00,3.35,3.49,3.39,3.44,3039277
2015-08-05/00:00:00,3.41,3.41,3.24,3.33,16155529
2015-08-09/00:00:00,3.28,3.3,3.0,3.08,8943592
2015-08-10/00:00:00,3.08,3.17,3.01,3.09,9752386
2015-08-11/00:00:00,3.09,3.17,3.04,3.09,6315120
2015-08-12/00:00:00,3.09,3.06,2.86,2.96,11283002
2015-08-13/00:00:00,2.96,3.0,2.85,2.9,7145849
2015-08-16/00:00:00,2.9,2.9,2.76,2.81,5631213
2015-08-17/00:00:00,2.81,2.83,2.71,2.79,8497940
2015-08-18/00:00:00,2.79,2.8,2.58,2.68,9718184
2015-08-19/00:00:00,2.68,2.68,2.47,2.57,15956358
2015-08-20/00:00:00,2.55,2.58,2.44,2.51,13473383
2015-08-23/00:00:00,2.51,2.38,2.27,2.3,5112825
2015-08-24/00:00:00,2.3,2.33,2.07,2.18,6288767
2015-08-25/00:00:00,2.18,2.25,2.12,2.2,3769065
2015-08-26/00:00:00,2.2,2.18,2.09,2.14,5866008
2015-08-27/00:00:00,2.22,2.44,2.2,2.32,11521957
2015-08-30/00:00:00,2.43,2.58,2.4,2.5,15193532
2015-08-31/00:00:00,2.5,2.65,2.46,2.57,8840638
2015-09-01/00:00:00,2.57,2.6,2.5,2.53,6661510
2015-09-02/00:00:00,2.53,2.55,2.43,2.49,4776558
2015-09-03/00:00:00,2.49,2.61,2.54,2.58,4955539
2015-09-06/00:00:00,2.58,2.57,2.5,2.54,1589769
2015-09-07/00:00:00,2.54,2.59,2.35,2.46,6839893
2015-09-08/00:00:00,2.46,2.39,2.22,2.31,6438585
2015-09-09/00:00:00,2.39,2.44,2.34,2.39,3519392
2015-09-10/00:00:00,2.39,2.38,2.3,2.34,2844540
2015-09-13/00:00:00,2.34,2.43,2.32,2.39,4483428
2015-09-14/00:00:00,2.39,2.47,2.38,2.43,7151652
2015-09-15/00:00:00,2.43,2.44,2.37,2.4,2994526
2015-09-16/00:00:00,2.4,2.43,2.37,2.4,2409854
2015-09-17/00:00:00,2.4,2.47,2.38,2.42,5766203
2015-09-20/00:00:00,2.42,2.41,2.33,2.36,1021545
2015-09-21/00:00:00,2.36,2.4,2.35,2.37,1369702
2015-09-22/00:00:00,2.37,2.41,2.36,2.39,2318433
2015-09-28/00:00:00,2.39,2.45,2.37,2.43,2530120
2015-09-29/00:00:00,2.43,2.41,2.39,2.4,1659451
2015-09-30/00:00:00,2.4,2.42,2.37,2.38,1325788
2015-10-01/00:00:00,2.38,2.4,2.37,2.39,386886
2015-10-04/00:00:00,2.39,2.4,2.28,2.31,1647664
2015-10-05/00:00:00,2.31,2.32,2.26,2.29,1139821
2015-10-07/00:00:00,2.29,2.35,2.32,2.32,1206625
2015-10-08/00:00:00,2.32,2.4,2.32,2.37,3579980
2015-10-11/00:00:00,2.37,2.55,2.38,2.46,4656578
2015-10-12/00:00:00,2.46,2.7,2.53,2.65,7775072
2015-10-13/00:00:00,2.65,2.8,2.66,2.75,6507661
2015-10-15/00:00:00,2.75,2.75,2.62,2.68,2173622
2015-10-18/00:00:00,2.68,2.64,2.6,2.61,1692920
2015-10-19/00:00:00,2.61,2.82,2.61,2.71,5989965
2015-10-20/00:00:00,2.71,2.91,2.8,2.85,8411264
2015-10-21/00:00:00,2.85,3.05,2.8,2.95,9263547
2015-10-22/00:00:00,2.95,2.98,2.88,2.92,1754385
2015-10-25/00:00:00,2.92,3.03,2.95,3.0,6329543
2015-10-26/00:00:00,3.0,2.99,2.91,2.94,1946633
2015-10-27/00:00:00,2.94,2.95,2.87,2.91,2048000
2015-10-28/00:00:00,2.91,2.92,2.75,2.82,3294900
2015-10-29/00:00:00,2.82,2.9,2.84,2.86,1619930
2015-11-01/00:00:00,2.86,2.84,2.72,2.75,2202594
2015-11-02/00:00:00,2.75,2.8,2.74,2.77,1678008
2015-11-03/00:00:00,2.77,2.83,2.69,2.76,1769143
2015-11-04/00:00:00,2.76,2.82,2.7,2.76,1665913
2015-11-05/00:00:00,2.76,2.99,2.77,2.91,7095564
2015-11-08/00:00:00,2.88,2.89,2.75,2.82,4483607
2015-11-09/00:00:00,2.82,2.81,2.7,2.74,1499074
2015-11-10/00:00:00,2.74,2.74,2.49,2.56,2924259
2015-11-11/00:00:00,2.56,2.64,2.52,2.6,3290929
2015-11-12/00:00:00,2.6,2.65,2.54,2.59,3133948
2015-11-15/00:00:00,2.59,2.53,2.41,2.46,1914505
2015-11-16/00:00:00,2.46,2.56,2.44,2.52,1355053
2015-11-17/00:00:00,2.52,2.6,2.42,2.52,2604423
2015-11-18/00:00:00,2.52,2.6,2.51,2.56,1959837
2015-11-19/00:00:00,2.56,2.69,2.6,2.66,3921920
2015-11-22/00:00:00,2.66,2.71,2.63,2.66,882008
2015-11-23/00:00:00,2.66,2.66,2.55,2.59,1543120
2015-11-24/00:00:00,2.59,2.6,2.53,2.57,1240231
2015-11-25/00:00:00,2.57,2.63,2.54,2.59,1408458
2015-11-26/00:00:00,2.59,2.64,2.59,2.62,779762
2015-11-29/00:00:00,2.62,2.6,2.56,2.57,442256
2015-11-30/00:00:00,2.57,2.6,2.55,2.57,2110443
2015-12-01/00:00:00,2.57,2.61,2.57,2.6,407242
2015-12-02/00:00:00,2.6,2.86,2.61,2.75,3238334
2015-12-03/00:00:00,2.75,2.99,2.8,2.9,3893698
2015-12-06/00:00:00,2.9,2.9,2.81,2.87,2613523
2015-12-07/00:00:00,2.87,2.9,2.76,2.8,2094883
2015-12-08/00:00:00,2.8,2.78,2.74,2.75,2299951
2015-12-09/00:00:00,2.75,2.8,2.75,2.78,1693547
2015-12-10/00:00:00,2.78,2.77,2.71,2.75,2330024
2015-12-13/00:00:00,2.75,2.7,2.58,2.64,1478175
2015-12-14/00:00:00,2.64,2.67,2.6,2.64,728265
2015-12-15/00:00:00,2.64,2.77,2.61,2.73,1273020
2015-12-16/00:00:00,2.73,2.81,2.73,2.77,2576403
2015-12-17/00:00:00,2.77,2.84,2.75,2.79,2410161
2015-12-20/00:00:00,2.79,2.85,2.72,2.81,2620924
2015-12-21/00:00:00,2.81,2.82,2.75,2.8,1528808
2015-12-22/00:00:00,2.8,2.81,2.75,2.78,1565200
2015-12-24/00:00:00,2.78,2.82,2.76,2.79,719991
2015-12-27/00:00:00,2.79,2.8,2.75,2.78,489410
2015-12-28/00:00:00,2.78,2.82,2.75,2.78,1031182
2015-12-29/00:00:00,2.78,2.8,2.73,2.77,1557285
2015-12-30/00:00:00,2.77,2.84,2.78,2.81,2485050
2015-12-31/00:00:00,2.81,2.8,2.7,2.74,1864081
2016-01-03/00:00:00,2.74,2.78,2.74,2.76,653939
2016-01-04/00:00:00,2.76,2.79,2.62,2.68,1016570
2016-01-05/00:00:00,2.68,2.69,2.6,2.64,2912572
2016-01-06/00:00:00,2.64,2.65,2.54,2.57,2443427
2016-01-10/00:00:00,2.57,2.58,2.43,2.49,2694334
2016-01-11/00:00:00,2.49,2.48,2.3,2.37,2363611
2016-01-12/00:00:00,2.37,2.36,2.21,2.29,4893572
2016-01-13/00:00:00,2.29,2.35,2.15,2.22,6926984
2016-01-14/00:00:00,2.22,2.18,2.02,2.08,6101916
2016-01-17/00:00:00,2.08,2.14,1.94,2.08,2374925
2016-01-18/00:00:00,2.08,2.19,2.08,2.13,4943019
2016-01-19/00:00:00,2.24,2.25,2.17,2.21,3683802
2016-01-20/00:00:00,2.21,2.14,1.99,2.03,3521522
2016-01-21/00:00:00,2.03,2.03,1.88,1.98,7121608
2016-01-24/00:00:00,2.07,2.1,2.01,2.05,5194242
2016-01-26/00:00:00,1.95,2.06,1.94,2.02,3746614
2016-01-27/00:00:00,2.02,2.22,2.03,2.17,16230619
2016-01-28/00:00:00,2.17,2.21,2.13,2.17,8348964
2016-01-31/00:00:00,2.2,2.21,2.07,2.15,5123454
2016-02-01/00:00:00,2.15,2.15,2.06,2.1,3691286
2016-02-02/00:00:00,2.1,2.3,2.11,2.2,11078911
2016-02-03/00:00:00,2.2,2.35,2.19,2.29,7251296
2016-02-04/00:00:00,2.29,2.39,2.27,2.31,11050215
2016-02-07/00:00:00,2.31,2.3,2.23,2.26,5130552
2016-02-08/00:00:00,2.26,2.32,2.18,2.26,9500018
2016-02-09/00:00:00,2.26,2.21,2.13,2.18,6594358
2016-02-10/00:00:00,2.18,2.21,2.16,2.18,4252385
2016-02-11/00:00:00,2.16,2.17,2.01,2.09,5630772
2016-02-14/00:00:00,2.13,2.14,2.06,2.1,3702620
2016-02-15/00:00:00,2.1,2.14,2.08,2.11,3304761
2016-02-16/00:00:00,2.11,2.16,2.11,2.14,3840474
2016-02-17/00:00:00,2.14,2.22,2.1,2.17,8245106
2016-02-18/00:00:00,2.17,2.22,2.16,2.18,1611889
2016-02-21/00:00:00,2.18,2.21,2.16,2.18,2435768
2016-02-22/00:00:00,2.18,2.24,2.18,2.21,3765772
2016-02-23/00:00:00,2.21,2.24,2.17,2.2,4357600
2016-02-24/00:00:00,2.2,2.2,2.16,2.18,1597665
2016-02-25/00:00:00,2.18,2.24,2.17,2.21,3775410
2016-02-28/00:00:00,2.21,2.23,2.2,2.21,6485879
2016-02-29/00:00:00,2.21,2.27,2.2,2.24,7866108
2016-03-01/00:00:00,2.24,2.25,2.21,2.23,3368947
2016-03-02/00:00:00,2.24,2.26,2.15,2.21,6964480
2016-03-03/00:00:00,2.21,2.2,2.15,2.18,3539546
2016-03-06/00:00:00,2.2,2.22,2.18,2.2,2288955
2016-03-07/00:00:00,2.2,2.27,2.19,2.24,11162255
2016-03-08/00:00:00,2.27,2.29,2.22,2.26,9431052
2016-03-09/00:00:00,2.26,2.27,2.21,2.25,5141310
2016-03-10/00:00:00,2.29,2.36,2.27,2.31,13382811
2016-03-13/00:00:00,2.31,2.36,2.28,2.32,8889923
2016-03-14/00:00:00,2.36,2.59,2.36,2.5,30162303
2016-03-15/00:00:00,2.59,2.64,2.5,2.57,16629358
2016-03-16/00:00:00,2.57,2.67,2.57,2.61,13667351
2016-03-17/00:00:00,2.61,2.84,2.61,2.72,21905354
2016-03-20/00:00:00,2.72,2.75,2.61,2.68,10841080
2016-03-21/00:00:00,2.68,2.72,2.64,2.69,8737031
2016-03-22/00:00:00,2.69,2.75,2.6,2.64,10659920
2016-03-23/00:00:00,2.64,2.68,2.6,2.65,10112944
2016-03-24/00:00:00,2.65,2.8,2.65,2.71,17333732
2016-03-27/00:00:00,2.71,2.83,2.67,2.75,20604949
2016-03-28/00:00:00,2.75,2.76,2.69,2.73,14271765
2016-03-29/00:00:00,2.71,2.82,2.7,2.75,19999941
2016-03-30/00:00:00,2.75,2.76,2.65,2.7,7143723
2016-03-31/00:00:00,2.7,2.75,2.68,2.72,16780616
2016-04-03/00:00:00,2.72,2.75,2.69,2.71,7299322
2016-04-04/00:00:00,2.71,2.72,2.69,2.71,8117452
2016-04-05/00:00:00,2.71,2.77,2.68,2.73,12777111
2016-04-06/00:00:00,2.73,2.73,2.46,2.58,13211462
2016-04-07/00:00:00,2.58,2.6,2.51,2.56,4260380
2016-04-10/00:00:00,2.56,2.62,2.47,2.52,5082862
2016-04-11/00:00:00,2.52,2.54,2.44,2.5,4281554
2016-04-12/00:00:00,2.5,2.53,2.44,2.5,3963680
2016-04-13/00:00:00,2.5,2.57,2.5,2.54,3699424
2016-04-14/00:00:00,2.54,2.58,2.5,2.56,4604770
2016-04-17/00:00:00,2.56,2.71,2.55,2.62,10550836
2016-04-18/00:00:00,2.69,2.73,2.66,2.7,11949866
2016-04-19/00:00:00,2.7,2.78,2.72,2.75,15238746
2016-04-20/00:00:00,2.75,2.78,2.65,2.72,11062460
2016-04-21/00:00:00,2.72,2.76,2.66,2.71,8967961
2016-04-24/00:00:00,2.71,2.71,2.66,2.69,3096360
2016-04-26/00:00:00,2.69,2.76,2.71,2.74,14127718
2016-04-27/00:00:00,2.74,2.76,2.58,2.68,8516535
2016-04-28/00:00:00,2.68,2.64,2.6,2.62,4313200
2016-05-03/00:00:00,2.62,2.61,2.45,2.52,5650648
2016-05-04/00:00:00,2.52,2.53,2.45,2.5,2285570
2016-05-05/00:00:00,2.5,2.57,2.51,2.54,3536781
2016-05-08/00:00:00,2.54,2.57,2.51,2.54,2074894
2016-05-09/00:00:00,2.54,2.6,2.53,2.57,2536058
2016-05-10/00:00:00,2.57,2.56,2.44,2.49,4211175
2016-05-11/00:00:00,2.49,2.49,2.42,2.45,3275728
2016-05-12/00:00:00,2.45,2.49,2.43,2.46,2906999
2016-05-15/00:00:00,2.46,2.44,2.28,2.35,4021560
2016-05-16/00:00:00,2.35,2.34,2.3,2.33,3454843
2016-05-17/00:00:00,2.33,2.49,2.34,2.4,5628314
2016-05-18/00:00:00,2.4,2.5,2.4,2.44,4776809
2016-05-19/00:00:00,2.44,2.41,2.36,2.39,3495058
2016-05-22/00:00:00,2.39,2.44,2.36,2.39,2325222
2016-05-23/00:00:00,2.39,2.38,2.34,2.35,1736229
2016-05-24/00:00:00,2.35,2.42,2.37,2.4,6521333
2016-05-25/00:00:00,2.4,2.44,2.4,2.42,8433764
2016-05-26/00:00:00,2.42,2.44,2.39,2.41,4013247
2016-05-29/00:00:00,2.41,2.42,2.36,2.38,689320
2016-05-30/00:00:00,2.38,2.39,2.34,2.36,971397
2016-05-31/00:00:00,2.36,2.38,2.34,2.35,1942191
2016-06-01/00:00:00,2.35,2.42,2.34,2.39,5138036
2016-06-02/00:00:00,2.39,2.47,2.4,2.44,7577094
2016-06-05/00:00:00,2.44,2.45,2.4,2.42,1194222
2016-06-06/00:00:00,2.42,2.43,2.39,2.41,1399908
2016-06-07/00:00:00,2.41,2.51,2.42,2.47,9731945
2016-06-08/00:00:00,2.47,2.53,2.45,2.5,12503434
2016-06-09/00:00:00,2.5,2.49,2.43,2.46,4358379
2016-06-12/00:00:00,2.46,2.45,2.4,2.42,2317603
2016-06-13/00:00:00,2.42,2.44,2.38,2.4,2591547
2016-06-14/00:00:00,2.4,2.4,2.31,2.35,3920881
2016-06-15/00:00:00,2.35,2.36,2.29,2.31,2086041
2016-06-16/00:00:00,2.31,2.34,2.28,2.31,2206289
2016-06-19/00:00:00,2.31,2.32,2.26,2.3,2173008
2016-06-20/00:00:00,2.3,2.28,2.15,2.22,3472559
2016-06-21/00:00:00,2.22,2.27,2.2,2.24,5902879
2016-06-22/00:00:00,2.24,2.27,2.2,2.23,3303514
2016-06-23/00:00:00,2.23,2.32,2.23,2.29,7616575
2016-06-26/00:00:00,2.29,2.19,2.11,2.15,2736104
2016-06-27/00:00:00,2.15,2.2,2.16,2.18,3129774
2016-06-28/00:00:00,2.18,2.21,2.15,2.18,1927821
2016-06-29/00:00:00,2.18,2.21,2.14,2.16,1860098
2016-07-03/00:00:00,2.16,2.21,2.18,2.19,1546506
2016-07-04/00:00:00,2.19,2.34,2.2,2.28,9750321
2016-07-10/00:00:00,2.38,2.48,2.34,2.42,14273652
2016-07-11/00:00:00,2.47,2.52,2.33,2.44,13375915
2016-07-12/00:00:00,2.44,2.42,2.32,2.37,9805459
2016-07-13/00:00:00,2.37,2.44,2.37,2.4,6264967
2016-07-14/00:00:00,2.4,2.43,2.38,2.4,5628872
2016-07-17/00:00:00,2.4,2.56,2.38,2.48,16277785
2016-07-18/00:00:00,2.48,2.59,2.52,2.55,13906208
2016-07-19/00:00:00,2.55,2.6,2.51,2.55,12558462
2016-07-20/00:00:00,2.55,2.56,2.4,2.48,13308452
2016-07-21/00:00:00,2.48,2.44,2.4,2.43,6233401
2016-07-24/00:00:00,2.43,2.45,2.41,2.43,4056375
2016-07-25/00:00:00,2.43,2.52,2.42,2.48,8624247
2016-07-26/00:00:00,2.48,2.54,2.42,2.47,9294048
2016-07-27/00:00:00,2.53,2.6,2.52,2.56,18515403
2016-07-28/00:00:00,2.56,2.59,2.49,2.54,8432456
2016-07-31/00:00:00,2.54,2.55,2.49,2.51,3705048
2016-08-01/00:00:00,2.51,2.54,2.47,2.5,9369286
2016-08-02/00:00:00,2.5,2.55,2.5,2.52,8402120
2016-08-03/00:00:00,2.52,2.56,2.52,2.55,11200719
2016-08-04/00:00:00,2.55,2.58,2.51,2.55,15236924
2016-08-07/00:00:00,2.55,2.62,2.51,2.57,15380717
2016-08-08/00:00:00,2.64,2.65,2.58,2.62,13527947
2016-08-09/00:00:00,2.62,2.66,2.58,2.63,15653845
2016-08-10/00:00:00,2.63,2.74,2.63,2.7,19372907
2016-08-11/00:00:00,2.7,2.73,2.65,2.7,10799702
2016-08-14/00:00:00,2.7,2.76,2.69,2.74,6890733
2016-08-15/00:00:00,2.74,2.77,2.67,2.73,6606722
2016-08-16/00:00:00,2.73,2.7,2.62,2.65,9542240
2016-08-17/00:00:00,2.65,2.63,2.57,2.6,8221275
2016-08-18/00:00:00,2.6,2.66,2.58,2.61,7292317
2016-08-21/00:00:00,2.61,2.66,2.61,2.63,2332493
2016-08-22/00:00:00,2.63,2.65,2.54,2.59,3781088
2016-08-23/00:00:00,2.59,2.58,2.5,2.54,2451011
2016-08-24/00:00:00,2.54,2.54,2.45,2.5,16450596
2016-08-25/00:00:00,2.5,2.47,2.37,2.42,8249899
2016-08-28/00:00:00,2.42,2.43,2.36,2.39,3723808
2016-08-29/00:00:00,2.39,2.45,2.38,2.41,3692407
2016-08-30/00:00:00,2.41,2.45,2.4,2.43,9923386
2016-08-31/00:00:00,2.43,2.46,2.42,2.44,5480498
2016-09-01/00:00:00,2.44,2.45,2.41,2.43,4576386
2016-09-04/00:00:00,2.43,2.43,2.4,2.42,3738632
2016-09-05/00:00:00,2.42,2.45,2.4,2.42,5618927
2016-09-06/00:00:00,2.42,2.41,2.31,2.37,4763090
