2005-12-08/00:00:00,10.0,10.0,10.0,10.0,17070716
2005-12-18/00:00:00,21.45,22.01,20.9,21.23,53127143
2005-12-19/00:00:00,20.86,20.9,20.02,20.33,9580827
2005-12-20/00:00:00,20.01,20.17,19.02,19.47,9686265
2005-12-21/00:00:00,19.7,19.9,19.31,19.62,8400398
2005-12-22/00:00:00,19.32,19.58,18.6,19.03,8534569
2005-12-25/00:00:00,19.34,19.49,18.6,18.98,4680615
2005-12-26/00:00:00,18.9,18.9,18.15,18.5,5256718
2005-12-27/00:00:00,18.2,18.74,18.11,18.4,4075322
2005-12-28/00:00:00,18.5,19.38,18.44,18.72,5342200
2005-12-29/00:00:00,19.4,19.49,19.0,19.21,4597106
2006-01-02/00:00:00,19.48,19.9,19.25,19.52,3113043
2006-01-03/00:00:00,19.59,19.73,19.02,19.41,4083487
2006-01-04/00:00:00,19.03,19.39,18.82,19.02,3985194
2006-01-05/00:00:00,19.0,19.09,18.52,18.73,3249536
2006-01-08/00:00:00,18.8,19.0,18.5,18.68,3614903
2006-01-12/00:00:00,19.0,19.46,18.8,19.16,4445533
2006-01-15/00:00:00,19.12,20.24,18.85,19.69,5964625
2006-01-16/00:00:00,19.89,20.18,19.25,19.73,4201020
2006-01-17/00:00:00,19.5,19.7,19.0,19.29,3974867
2006-01-18/00:00:00,19.0,19.27,18.75,18.96,3982553
2006-01-19/00:00:00,19.0,19.2,18.6,18.8,3906240
2006-01-22/00:00:00,18.9,19.0,18.12,18.41,5383412
2006-01-23/00:00:00,18.11,18.48,17.53,17.85,3885682
2006-01-24/00:00:00,17.6,17.8,16.96,17.35,4197481
2006-01-25/00:00:00,17.01,17.39,17.01,17.21,3061485
2006-01-26/00:00:00,17.39,18.69,17.15,18.1,5754671
2006-01-29/00:00:00,18.75,19.3,17.8,18.55,3136877
2006-01-30/00:00:00,17.91,18.45,17.31,17.98,3437418
2006-02-01/00:00:00,17.7,18.3,17.45,17.79,3982343
2006-02-02/00:00:00,17.51,17.9,17.16,17.47,3772020
2006-02-05/00:00:00,18.0,19.1,18.0,18.65,8643966
2006-02-06/00:00:00,18.75,19.99,18.75,19.65,12428066
2006-02-07/00:00:00,20.01,22.47,20.01,21.02,16377282
2006-02-08/00:00:00,22.47,22.49,18.65,20.52,10592839
2006-02-09/00:00:00,19.4,21.12,19.1,20.4,8281885
2006-02-12/00:00:00,21.0,22.14,21.0,21.62,7120534
2006-02-13/00:00:00,21.9,22.0,20.57,21.18,9427428
2006-02-14/00:00:00,20.6,21.24,19.92,20.5,4078528
2006-02-15/00:00:00,20.5,20.5,18.87,19.55,4929037
2006-02-16/00:00:00,19.0,19.1,17.6,18.25,5140997
2006-02-19/00:00:00,18.5,20.0,18.05,19.02,4193127
2006-02-20/00:00:00,19.86,20.52,19.32,19.89,4604009
2006-02-21/00:00:00,19.15,19.5,18.72,19.01,2558040
2006-02-22/00:00:00,19.01,19.6,19.01,19.36,1819307
2006-02-23/00:00:00,19.13,19.78,19.1,19.51,2863338
2006-02-26/00:00:00,19.65,19.7,18.81,19.12,2279240
2006-02-27/00:00:00,18.8,18.99,18.52,18.72,1968925
2006-02-28/00:00:00,18.98,19.24,18.5,18.76,2457049
2006-03-01/00:00:00,18.97,18.97,18.51,18.61,1529823
2006-03-02/00:00:00,18.6,18.74,18.18,18.34,2336607
2006-03-05/00:00:00,18.15,18.48,17.1,17.62,2760826
2006-03-06/00:00:00,18.0,18.5,17.56,17.77,1462716
2006-03-07/00:00:00,17.53,17.8,17.12,17.42,1827640
2006-03-08/00:00:00,17.38,17.46,17.01,17.26,1927710
2006-03-09/00:00:00,17.49,17.7,17.36,17.52,1403410
2006-03-12/00:00:00,17.35,17.4,16.7,16.95,4312086
2006-03-13/00:00:00,16.8,17.1,15.75,16.22,2617062
2006-03-14/00:00:00,15.61,16.87,12.5,15.44,7645285
2006-03-15/00:00:00,16.3,16.97,15.07,15.81,3708639
2006-03-16/00:00:00,15.5,16.4,15.21,15.79,2301156
2006-03-19/00:00:00,16.49,16.8,16.01,16.54,2180225
2006-03-20/00:00:00,16.6,16.74,16.07,16.35,2161151
2006-03-21/00:00:00,16.05,16.35,15.8,16.03,1626324
2006-03-22/00:00:00,16.01,16.25,15.77,15.96,1753628
2006-03-23/00:00:00,15.8,15.94,15.65,15.76,1387203
2006-03-26/00:00:00,15.99,15.99,15.65,15.83,1329077
2006-03-27/00:00:00,15.7,15.85,15.51,15.6,1004644
2006-03-28/00:00:00,15.59,15.7,15.4,15.51,1770929
2006-03-29/00:00:00,15.5,16.95,15.5,16.44,5034559
2006-03-30/00:00:00,16.75,16.88,15.92,16.28,2426753
2006-04-02/00:00:00,15.86,16.18,15.7,15.99,1838821
2006-04-03/00:00:00,16.01,16.3,15.91,16.08,1353877
2006-04-04/00:00:00,16.09,16.25,16.0,16.1,792062
2006-04-05/00:00:00,16.01,16.71,16.01,16.41,2440639
2006-04-06/00:00:00,16.74,16.93,16.15,16.68,3643129
2006-04-09/00:00:00,16.21,16.76,16.21,16.44,1486128
2006-04-11/00:00:00,16.25,16.39,16.01,16.13,1700219
2006-04-12/00:00:00,16.2,16.2,15.65,15.89,2186631
2006-04-13/00:00:00,15.8,15.9,15.26,15.52,1963221
2006-04-16/00:00:00,15.01,15.29,14.63,14.91,2630251
2006-04-17/00:00:00,14.99,15.14,14.68,14.87,1680609
2006-04-18/00:00:00,14.68,14.7,14.25,14.48,1574143
2006-04-19/00:00:00,14.7,14.99,14.42,14.63,1778074
2006-04-20/00:00:00,14.7,15.45,14.55,15.06,2854678
2006-04-26/00:00:00,13.5,14.95,13.5,14.36,1524570
2006-04-27/00:00:00,14.6,14.6,14.13,14.35,1045222
2006-04-30/00:00:00,14.48,14.61,14.36,14.48,1076086
2006-05-02/00:00:00,14.5,15.6,14.5,15.14,3781164
2006-05-03/00:00:00,16.0,16.4,15.07,15.76,3940597
2006-05-04/00:00:00,15.04,15.28,14.48,14.72,2581807
2006-05-07/00:00:00,14.5,14.87,13.81,14.19,2203024
2006-05-08/00:00:00,14.0,14.14,13.78,13.9,1478806
2006-05-09/00:00:00,13.81,14.0,12.86,13.21,2194723
2006-05-10/00:00:00,12.81,14.05,12.6,13.25,2994273
2006-05-11/00:00:00,14.2,14.45,13.5,13.95,5208580
2006-05-14/00:00:00,14.04,14.39,13.79,13.99,2171262
2006-05-15/00:00:00,14.0,14.0,13.01,13.53,2133703
2006-05-16/00:00:00,13.45,13.95,13.45,13.71,1072370
2006-05-17/00:00:00,13.53,13.7,13.32,13.53,1357640
2006-05-18/00:00:00,13.6,13.9,13.51,13.73,910792
2006-05-21/00:00:00,14.0,14.0,13.08,13.45,1290430
2006-05-22/00:00:00,13.11,13.43,12.02,12.44,4129014
2006-05-23/00:00:00,12.4,12.4,11.57,11.87,2574591
2006-05-24/00:00:00,12.0,12.75,11.65,12.11,2606336
2006-05-25/00:00:00,11.75,12.15,11.1,11.61,2442621
2006-05-28/00:00:00,12.25,12.41,12.0,12.21,2346372
2006-05-29/00:00:00,12.02,13.04,11.75,12.5,4376320
2006-05-30/00:00:00,12.7,13.43,12.7,13.14,1783956
2006-05-31/00:00:00,13.01,14.15,12.93,13.63,3215897
2006-06-01/00:00:00,14.0,15.24,13.81,14.29,12890566
2006-06-04/00:00:00,15.01,15.39,14.6,15.01,3439008
2006-06-05/00:00:00,14.56,15.0,13.7,14.38,4022514
2006-06-06/00:00:00,13.71,14.42,13.5,14.0,3103970
2006-06-07/00:00:00,14.2,14.92,14.06,14.62,4568350
2006-06-08/00:00:00,14.9,14.9,14.26,14.48,2782304
2006-06-11/00:00:00,14.77,14.77,13.0,13.48,4063251
2006-06-12/00:00:00,13.05,13.33,12.32,12.89,3626681
2006-06-13/00:00:00,13.4,13.4,12.46,12.77,3032607
2006-06-14/00:00:00,12.39,12.6,11.95,12.15,2416235
2006-06-15/00:00:00,12.1,12.99,12.03,12.37,2886761
2006-06-18/00:00:00,12.49,12.97,12.33,12.67,2269391
2006-06-19/00:00:00,12.71,12.82,12.55,12.67,1592632
2006-06-20/00:00:00,12.51,12.74,12.36,12.53,1608792
2006-06-21/00:00:00,12.45,12.47,12.06,12.21,2135231
2006-06-22/00:00:00,12.1,12.38,12.07,12.23,946512
2006-06-25/00:00:00,12.4,12.52,12.18,12.32,1230800
2006-06-26/00:00:00,12.16,12.3,11.91,12.06,1118008
2006-06-27/00:00:00,11.91,12.22,11.91,12.07,751855
2006-06-28/00:00:00,12.14,12.54,12.05,12.4,1288226
2006-06-29/00:00:00,12.55,12.88,12.4,12.59,1899887
2006-07-02/00:00:00,12.76,12.8,12.56,12.69,1692303
2006-07-03/00:00:00,12.8,12.8,11.67,12.0,3718065
2006-07-04/00:00:00,11.8,12.48,10.91,11.67,7696102
2006-07-05/00:00:00,12.6,13.19,12.26,12.74,6175506
2006-07-06/00:00:00,13.1,13.39,12.41,12.93,4309056
2006-07-09/00:00:00,12.79,12.79,12.2,12.43,2563685
2006-07-10/00:00:00,12.33,12.67,12.27,12.46,3126585
2006-07-11/00:00:00,12.6,12.99,12.41,12.71,5218875
2006-07-12/00:00:00,12.4,12.53,11.9,12.23,2590797
2006-07-13/00:00:00,11.9,12.0,11.35,11.58,2948042
2006-07-16/00:00:00,11.38,11.59,10.18,11.22,4472370
2006-07-17/00:00:00,11.68,11.68,11.1,11.33,2784458
2006-07-18/00:00:00,11.6,11.6,11.3,11.43,1864838
2006-07-19/00:00:00,11.45,11.46,11.11,11.27,1284574
2006-07-20/00:00:00,11.11,11.51,11.11,11.34,2020489
2006-07-24/00:00:00,11.5,11.79,11.4,11.57,1476370
2006-07-25/00:00:00,11.4,11.89,11.4,11.61,2051964
2006-07-26/00:00:00,11.5,11.84,11.4,11.63,2035487
2006-07-27/00:00:00,11.63,12.5,11.53,12.09,4302497
2006-07-30/00:00:00,12.4,13.34,12.4,12.84,4149484
2006-07-31/00:00:00,12.6,12.75,12.06,12.37,2715219
2006-08-01/00:00:00,14.0,14.0,12.55,13.13,5926105
2006-08-02/00:00:00,13.0,13.39,12.75,13.09,3067498
2006-08-03/00:00:00,13.0,13.04,12.53,12.76,1630934
2006-08-06/00:00:00,12.79,12.9,12.5,12.64,1172459
2006-08-07/00:00:00,12.45,12.88,12.45,12.75,1430948
2006-08-08/00:00:00,12.9,13.2,12.77,12.96,2098820
