2007-07-05/00:00:00,36.0,36.0,36.0,36.0,1676100
2007-07-09/00:00:00,38.9,43.51,38.03,40.08,8437007
2007-07-10/00:00:00,42.08,42.08,42.08,42.08,135505
2007-07-11/00:00:00,44.18,44.18,41.8,43.09,1063052
2007-07-12/00:00:00,43.0,43.2,42.5,42.99,694382
2007-07-15/00:00:00,43.0,43.0,41.97,42.27,732109
2007-07-16/00:00:00,41.8,42.0,41.0,41.84,794371
2007-07-17/00:00:00,41.8,42.24,41.6,41.96,540200
2007-07-18/00:00:00,41.51,42.05,41.51,42.0,255526
2007-07-19/00:00:00,42.0,42.1,41.7,42.01,251216
2007-07-22/00:00:00,41.65,41.99,41.0,41.22,123515
2007-07-24/00:00:00,41.13,41.65,41.13,41.47,111077
2007-07-25/00:00:00,41.03,41.4,41.03,41.23,434201
2007-07-26/00:00:00,41.1,41.25,41.0,41.15,384020
2007-07-29/00:00:00,41.05,41.05,39.28,40.04,122062
2007-07-30/00:00:00,40.4,41.0,40.4,40.89,147833
2007-07-31/00:00:00,39.52,41.0,39.52,40.27,132722
2007-08-01/00:00:00,40.0,40.49,40.0,40.03,199253
2007-08-02/00:00:00,40.0,40.49,40.0,40.11,88344
2007-08-05/00:00:00,40.92,41.0,40.26,40.98,223098
2007-08-06/00:00:00,40.06,41.0,40.01,40.77,330249
2007-08-07/00:00:00,40.01,41.0,40.01,40.65,188966
2007-08-08/00:00:00,40.7,41.0,40.22,40.54,21288
2007-08-09/00:00:00,40.12,40.3,40.12,40.26,11425
2007-08-12/00:00:00,40.03,40.4,39.67,40.01,174016
2007-08-13/00:00:00,39.6,40.25,39.6,39.99,255525
2007-08-14/00:00:00,40.0,40.1,39.7,40.0,294497
2007-08-15/00:00:00,39.54,40.1,39.54,40.0,60356
2007-08-16/00:00:00,40.0,40.05,39.0,39.95,844057
2007-08-19/00:00:00,38.0,40.0,38.0,39.39,393957
2007-08-20/00:00:00,38.73,39.15,38.7,39.0,44407
2007-08-21/00:00:00,39.01,40.1,38.99,39.19,257240
2007-08-22/00:00:00,40.15,41.14,40.0,40.89,209149
2007-08-23/00:00:00,41.99,42.4,40.11,41.81,497744
2007-08-26/00:00:00,40.51,41.0,39.72,40.01,38351
2007-08-27/00:00:00,41.0,41.5,38.92,39.46,175354
2007-08-28/00:00:00,40.98,41.0,40.07,40.49,15658
2007-08-29/00:00:00,40.0,40.4,39.8,40.01,54379
2007-08-30/00:00:00,40.0,40.6,40.0,40.13,20689
2007-09-02/00:00:00,39.05,40.5,39.0,39.87,17656
2007-09-03/00:00:00,40.0,40.48,39.8,40.11,60154
2007-09-04/00:00:00,40.0,40.25,40.0,40.01,74293
2007-09-05/00:00:00,40.0,42.0,39.65,40.3,171031
2007-09-06/00:00:00,40.1,40.35,40.05,40.14,5405
2007-09-09/00:00:00,40.1,40.2,39.66,40.01,583001
2007-09-10/00:00:00,39.95,40.35,39.61,40.0,113148
