2001-05-15/00:00:00,0.26,0.26,0.26,0.26,684000
2001-05-16/00:00:00,0.34,0.34,0.34,0.34,13500
2001-05-17/00:00:00,0.34,0.34,0.34,0.34,9000
2001-05-21/00:00:00,0.36,0.36,0.36,0.36,9000
2001-05-22/00:00:00,0.36,0.36,0.36,0.36,9000
2001-05-23/00:00:00,0.36,0.36,0.36,0.36,13500
2001-06-12/00:00:00,0.34,0.36,0.34,0.36,2256
2001-06-13/00:00:00,0.35,0.35,0.35,0.35,13500
2001-06-14/00:00:00,0.35,0.35,0.35,0.35,18000
2001-06-17/00:00:00,0.33,0.34,0.33,0.33,477000
2001-06-19/00:00:00,0.33,0.33,0.33,0.33,2700
2001-06-20/00:00:00,0.32,0.32,0.31,0.31,1066500
2001-06-21/00:00:00,0.33,0.33,0.33,0.33,18000
2001-06-26/00:00:00,0.33,0.33,0.33,0.33,24756
2001-07-05/00:00:00,0.33,0.34,0.33,0.33,13500
2001-07-08/00:00:00,0.33,0.33,0.33,0.33,9000
2001-07-09/00:00:00,0.33,0.34,0.33,0.33,20700
2001-07-11/00:00:00,0.34,0.34,0.34,0.34,90000
2001-07-12/00:00:00,0.32,0.34,0.32,0.33,106200
2001-07-15/00:00:00,0.33,0.33,0.33,0.33,27000
2001-07-17/00:00:00,0.31,0.31,0.31,0.31,15756
2001-07-19/00:00:00,0.31,0.31,0.31,0.31,9000
2001-07-22/00:00:00,0.31,0.31,0.31,0.31,9000
2001-07-29/00:00:00,0.33,0.33,0.33,0.33,36000
2001-07-31/00:00:00,0.31,0.31,0.31,0.31,93600
2001-08-01/00:00:00,0.31,0.31,0.31,0.31,4500
2001-08-02/00:00:00,0.31,0.33,0.31,0.32,92256
2001-08-08/00:00:00,0.31,0.31,0.31,0.31,51300
2001-08-12/00:00:00,0.31,0.31,0.31,0.31,9000
2001-08-13/00:00:00,0.32,0.32,0.31,0.31,178200
2001-08-14/00:00:00,0.31,0.31,0.31,0.31,540000
2001-08-15/00:00:00,0.31,0.31,0.31,0.31,135900
2001-08-27/00:00:00,0.31,0.31,0.31,0.31,7200
2001-08-28/00:00:00,0.31,0.32,0.31,0.32,60300
2001-08-29/00:00:00,0.34,0.34,0.34,0.34,94500
2001-08-30/00:00:00,0.36,0.36,0.36,0.36,108000
2001-09-02/00:00:00,0.38,0.38,0.38,0.38,105300
2001-09-03/00:00:00,0.4,0.4,0.4,0.4,222300
2001-09-04/00:00:00,0.43,0.43,0.43,0.43,726300
2001-09-05/00:00:00,0.45,0.45,0.4,0.45,351000
2001-09-06/00:00:00,0.42,0.42,0.42,0.42,11700
2001-09-09/00:00:00,0.4,0.42,0.4,0.4,296100
2001-09-10/00:00:00,0.42,0.42,0.42,0.42,65700
2001-09-11/00:00:00,0.44,0.45,0.44,0.45,832056
2001-09-12/00:00:00,0.42,0.44,0.42,0.43,649800
2001-09-13/00:00:00,0.46,0.46,0.46,0.46,352800
2001-09-16/00:00:00,0.47,0.48,0.45,0.48,617400
2001-09-17/00:00:00,0.47,0.47,0.46,0.46,301956
2001-09-18/00:00:00,0.46,0.46,0.46,0.46,684000
