2001-05-15/00:00:00,1.14,1.14,1.14,1.14,11540
2001-05-16/00:00:00,1.18,1.18,1.18,1.18,4623
2001-05-17/00:00:00,1.22,1.22,1.22,1.22,5796
2001-05-20/00:00:00,1.26,1.26,1.26,1.26,2304
2001-05-21/00:00:00,1.28,1.28,1.28,1.28,1154
2001-05-23/00:00:00,1.28,1.28,1.28,1.28,2304
2001-05-24/00:00:00,1.28,1.28,1.28,1.28,26836
2001-05-29/00:00:00,1.26,1.28,1.26,1.28,288
2001-06-03/00:00:00,1.28,1.28,1.28,1.28,6353
2001-06-05/00:00:00,1.26,1.26,1.26,1.26,2886
2001-06-12/00:00:00,1.26,1.26,1.26,1.26,11540
2001-06-13/00:00:00,1.28,1.28,1.28,1.28,6353
2001-06-17/00:00:00,1.3,1.3,1.3,1.3,57733
2001-06-18/00:00:00,1.26,1.26,1.26,1.26,11540
2001-06-19/00:00:00,1.24,1.24,1.24,1.24,1154
2001-06-20/00:00:00,1.21,1.21,1.21,1.21,1154
2001-06-21/00:00:00,1.17,1.17,1.17,1.17,4038
2001-06-27/00:00:00,1.14,1.14,1.14,1.14,1154
2001-06-28/00:00:00,1.1,1.1,1.1,1.1,13385
2001-07-03/00:00:00,1.1,1.1,1.08,1.09,47963
2001-07-04/00:00:00,1.06,1.06,1.06,1.06,2594
2001-07-05/00:00:00,1.1,1.1,1.06,1.06,14553
2001-07-08/00:00:00,1.1,1.1,1.1,1.1,16450
2001-07-10/00:00:00,1.14,1.14,1.14,1.14,11508
2001-07-11/00:00:00,1.19,1.19,1.19,1.19,4623
2001-07-12/00:00:00,1.25,1.25,1.24,1.25,19674
2001-07-15/00:00:00,1.3,1.3,1.3,1.3,19626
2001-07-16/00:00:00,1.34,1.34,1.34,1.34,30670
2001-07-17/00:00:00,1.34,1.38,1.34,1.38,4038
2001-07-18/00:00:00,1.34,1.38,1.34,1.36,8083
2001-07-19/00:00:00,1.34,1.36,1.3,1.31,235763
2001-07-22/00:00:00,1.34,1.34,1.34,1.34,8658
2001-09-06/00:00:00,1.28,1.38,1.28,1.34,94664
2001-09-09/00:00:00,1.28,1.28,1.28,1.28,1734
2001-09-10/00:00:00,1.22,1.22,1.22,1.22,1734
2001-09-11/00:00:00,1.18,1.18,1.18,1.18,5883
2001-09-12/00:00:00,1.12,1.12,1.12,1.12,3350
2001-09-13/00:00:00,1.08,1.18,1.08,1.14,10816
2001-09-16/00:00:00,1.18,1.18,1.18,1.18,2886
2001-09-25/00:00:00,1.14,1.14,1.14,1.14,1154
2001-10-11/00:00:00,1.09,1.09,1.09,1.09,1154
2001-10-14/00:00:00,1.06,1.06,1.06,1.06,1154
2001-10-15/00:00:00,1.1,1.1,1.1,1.1,1154
2001-10-16/00:00:00,1.14,1.14,1.14,1.14,1305
2001-10-17/00:00:00,1.14,1.14,1.14,1.14,5199
2001-10-21/00:00:00,1.14,1.14,1.14,1.14,11540
2001-10-22/00:00:00,1.18,1.18,1.18,1.18,9234
2001-10-23/00:00:00,1.22,1.22,1.18,1.18,396
2001-10-24/00:00:00,1.22,1.22,1.22,1.22,106643
2001-10-28/00:00:00,1.22,1.22,1.2,1.2,17318
2001-10-29/00:00:00,1.23,1.23,1.2,1.2,340
2001-10-30/00:00:00,1.23,1.23,1.23,1.23,6928
2001-10-31/00:00:00,1.26,1.26,1.22,1.22,12705
2001-11-01/00:00:00,1.25,1.25,1.25,1.25,3458
2001-11-04/00:00:00,1.28,1.28,1.28,1.28,84015
2001-11-05/00:00:00,1.28,1.3,1.28,1.3,350476
2001-11-06/00:00:00,1.26,1.26,1.26,1.26,39329
2001-11-07/00:00:00,1.23,1.23,1.23,1.23,127728
2001-11-08/00:00:00,1.25,1.26,1.25,1.26,158740
2001-11-11/00:00:00,1.28,1.28,1.27,1.27,33563
2001-11-12/00:00:00,1.25,1.28,1.25,1.28,28854
2001-11-13/00:00:00,1.29,1.3,1.28,1.29,161279
2001-11-14/00:00:00,1.29,1.29,1.28,1.29,46584
2001-11-18/00:00:00,1.29,1.29,1.26,1.27,51955
2001-11-19/00:00:00,1.3,1.3,1.3,1.3,1154
2001-11-20/00:00:00,1.27,1.27,1.26,1.26,8260
2001-11-21/00:00:00,1.26,1.26,1.24,1.24,41804
2001-11-22/00:00:00,1.22,1.22,1.22,1.22,11540
2001-11-25/00:00:00,1.22,1.24,1.22,1.24,15588
2001-11-26/00:00:00,1.22,1.22,1.22,1.22,63271
2001-11-27/00:00:00,1.18,1.18,1.18,1.18,102943
2001-11-28/00:00:00,1.18,1.21,1.18,1.18,307681
2001-11-29/00:00:00,1.2,1.21,1.18,1.19,80811
2001-12-02/00:00:00,1.18,1.18,1.18,1.18,208154
2001-12-03/00:00:00,1.15,1.15,1.14,1.14,172018
2001-12-04/00:00:00,1.13,1.15,1.12,1.14,30543
2001-12-05/00:00:00,1.14,1.14,1.12,1.12,165105
2001-12-06/00:00:00,1.12,1.12,1.1,1.1,203660
2001-12-09/00:00:00,1.08,1.12,1.08,1.09,884340
2001-12-10/00:00:00,1.1,1.1,1.1,1.1,57961
2001-12-11/00:00:00,1.13,1.13,1.12,1.13,456831
2001-12-12/00:00:00,1.12,1.12,1.1,1.1,307019
2001-12-13/00:00:00,1.1,1.1,1.1,1.1,58876
2001-12-19/00:00:00,1.1,1.1,1.08,1.08,117928
2001-12-20/00:00:00,1.1,1.1,1.08,1.08,290933
2001-12-23/00:00:00,1.1,1.1,1.1,1.1,259184
2001-12-24/00:00:00,1.1,1.1,1.08,1.09,57039
2001-12-25/00:00:00,1.08,1.08,1.08,1.08,194993
2001-12-26/00:00:00,1.09,1.1,1.09,1.1,109689
2001-12-27/00:00:00,1.09,1.09,1.08,1.08,269241
2001-12-30/00:00:00,1.09,1.1,1.08,1.1,289370
2001-12-31/00:00:00,1.1,1.1,1.08,1.09,96055
2002-01-02/00:00:00,1.09,1.1,1.08,1.1,344670
2002-01-03/00:00:00,1.1,1.12,1.1,1.1,202903
2002-01-06/00:00:00,1.1,1.1,1.1,1.1,62003
2002-01-07/00:00:00,1.09,1.1,1.09,1.09,84293
2002-01-08/00:00:00,1.1,1.1,1.1,1.1,96108
2002-01-09/00:00:00,1.09,1.1,1.08,1.09,363193
2002-01-10/00:00:00,1.08,1.08,1.06,1.08,533490
2002-01-13/00:00:00,1.09,1.09,1.09,1.09,36361
2002-01-14/00:00:00,1.08,1.08,1.08,1.08,171433
2002-01-15/00:00:00,1.06,1.06,0.94,1.06,201463
2002-01-16/00:00:00,1.06,1.06,1.06,1.06,50805
2002-01-17/00:00:00,1.06,1.06,1.06,1.06,61755
2002-01-20/00:00:00,1.06,1.06,1.06,1.06,191545
2002-01-21/00:00:00,1.06,1.06,1.06,1.06,227724
2002-01-22/00:00:00,1.06,1.08,1.06,1.08,255188
2002-01-23/00:00:00,1.08,1.08,1.08,1.08,264970
2002-01-24/00:00:00,1.1,1.1,1.1,1.1,387339
2002-01-27/00:00:00,1.12,1.12,1.12,1.12,272536
2002-01-28/00:00:00,1.14,1.14,1.13,1.13,312291
2002-01-29/00:00:00,1.14,1.14,1.12,1.12,155868
2002-01-30/00:00:00,1.12,1.12,1.12,1.12,349004
2002-01-31/00:00:00,1.12,1.12,1.12,1.12,498710
2002-02-03/00:00:00,1.12,1.12,1.12,1.12,319218
2002-02-04/00:00:00,1.13,1.13,1.13,1.13,85435
2002-02-05/00:00:00,1.14,1.14,1.12,1.12,244150
2002-02-06/00:00:00,1.11,1.12,1.11,1.12,118923
2002-02-07/00:00:00,1.1,1.1,1.1,1.1,415618
2002-02-10/00:00:00,1.1,1.1,1.1,1.1,309923
2002-02-11/00:00:00,1.12,1.12,1.1,1.1,343891
2002-02-12/00:00:00,1.11,1.11,1.1,1.1,321525
2002-02-13/00:00:00,1.1,1.1,1.1,1.1,293129
2002-02-14/00:00:00,1.08,1.08,1.08,1.08,360204
2002-02-17/00:00:00,1.08,1.08,1.06,1.06,249040
2002-02-18/00:00:00,1.06,1.08,1.06,1.08,275046
2002-02-19/00:00:00,1.08,1.08,1.06,1.06,666546
2002-02-20/00:00:00,1.06,1.08,1.06,1.08,67284
2002-02-25/00:00:00,1.08,1.08,1.08,1.08,4086
2002-02-26/00:00:00,1.1,1.1,1.1,1.1,72826
2002-02-27/00:00:00,1.1,1.1,1.08,1.08,34630
2002-02-28/00:00:00,1.08,1.08,1.08,1.08,11540
2002-03-03/00:00:00,1.09,1.09,1.08,1.08,18918
2002-03-04/00:00:00,1.08,1.1,1.08,1.1,107214
2002-03-05/00:00:00,1.08,1.08,1.08,1.08,11540
2002-03-06/00:00:00,1.1,1.1,1.1,1.1,17318
2002-03-07/00:00:00,1.08,1.08,1.08,1.08,63505
2002-03-10/00:00:00,1.09,1.09,1.08,1.08,43011
2002-03-11/00:00:00,1.08,1.09,1.08,1.09,252020
2002-03-12/00:00:00,1.1,1.1,1.1,1.1,170818
2002-03-13/00:00:00,1.1,1.1,1.1,1.1,58191
2002-03-14/00:00:00,1.1,1.1,1.1,1.1,126415
2002-03-17/00:00:00,1.1,1.1,1.1,1.1,51955
2002-03-18/00:00:00,1.1,1.1,1.1,1.1,28854
2002-03-19/00:00:00,1.1,1.1,1.1,1.1,61180
2002-03-21/00:00:00,1.1,1.1,1.1,1.1,11540
2002-03-24/00:00:00,1.1,1.1,1.1,1.1,106794
2002-03-25/00:00:00,1.1,1.12,1.1,1.12,113138
2002-03-26/00:00:00,1.12,1.12,1.12,1.12,9234
2002-03-27/00:00:00,1.11,1.11,1.11,1.11,63505
2002-03-28/00:00:00,1.12,1.12,1.12,1.12,69495
2002-03-31/00:00:00,1.14,1.14,1.14,1.14,147084
2002-04-01/00:00:00,1.13,1.14,1.13,1.14,13858
2002-04-02/00:00:00,1.14,1.14,1.14,1.14,188855
2002-04-03/00:00:00,1.16,1.16,1.15,1.15,161046
2002-04-04/00:00:00,1.14,1.14,1.14,1.14,76769
2002-04-07/00:00:00,1.13,1.13,1.13,1.13,53098
2002-04-08/00:00:00,1.12,1.12,1.11,1.11,459834
2002-04-09/00:00:00,1.1,1.1,1.1,1.1,32326
2002-04-10/00:00:00,1.08,1.08,1.08,1.08,348363
2002-04-11/00:00:00,1.06,1.06,1.06,1.06,762365
2002-04-14/00:00:00,1.06,1.06,1.06,1.06,26153
2002-04-15/00:00:00,1.08,1.08,1.06,1.06,913228
2002-04-16/00:00:00,1.06,1.06,1.06,1.06,265299
2002-04-17/00:00:00,1.08,1.08,1.08,1.08,143731
2002-04-18/00:00:00,1.09,1.1,1.09,1.1,337975
2002-04-21/00:00:00,1.08,1.08,1.08,1.08,183205
2002-04-22/00:00:00,1.06,1.08,1.06,1.08,41849
2002-04-23/00:00:00,1.08,1.08,1.08,1.08,291518
2002-04-24/00:00:00,1.1,1.1,1.1,1.1,75035
2002-04-28/00:00:00,1.1,1.1,1.1,1.1,61874
2002-04-29/00:00:00,1.1,1.1,1.1,1.1,51955
2002-04-30/00:00:00,1.1,1.1,1.1,1.1,4623
2002-05-02/00:00:00,1.08,1.08,1.08,1.08,11540
2002-05-07/00:00:00,1.1,1.1,1.1,1.1,67830
2002-05-08/00:00:00,1.1,1.1,1.1,1.1,20870
2002-05-09/00:00:00,1.09,1.09,1.09,1.09,125560
2002-05-12/00:00:00,1.08,1.08,1.08,1.08,132318
2002-05-13/00:00:00,1.06,1.06,1.06,1.06,233016
2002-05-14/00:00:00,1.08,1.08,1.08,1.08,99578
2002-05-16/00:00:00,1.08,1.08,1.08,1.08,23091
2002-05-20/00:00:00,1.08,1.08,1.08,1.08,1154
2002-05-21/00:00:00,1.1,1.1,1.1,1.1,11540
2002-05-22/00:00:00,1.08,1.09,1.08,1.09,34630
2002-05-23/00:00:00,1.1,1.1,1.1,1.1,38103
2002-05-26/00:00:00,1.1,1.1,1.09,1.09,17755
2002-05-27/00:00:00,1.1,1.1,1.1,1.1,28854
2002-05-28/00:00:00,1.09,1.09,1.09,1.09,11540
2002-05-29/00:00:00,1.1,1.1,1.1,1.1,5776
2002-05-30/00:00:00,1.1,1.1,1.1,1.1,96504
2002-06-02/00:00:00,1.11,1.11,1.1,1.1,8489
2002-06-03/00:00:00,1.1,1.1,1.1,1.1,45016
2002-06-04/00:00:00,1.1,1.1,1.1,1.1,108
2002-06-09/00:00:00,1.1,1.1,1.1,1.1,20774
2002-06-10/00:00:00,1.1,1.1,1.1,1.1,13858
2002-06-11/00:00:00,1.1,1.1,1.1,1.1,15009
