2017-12-12/00:00:00,4.19,4.45,4.19,4.35,82437269
2017-12-13/00:00:00,4.47,4.59,4.41,4.49,32524895
2017-12-14/00:00:00,4.49,4.54,4.39,4.44,16506375
2017-12-17/00:00:00,4.44,4.83,4.51,4.7,10362370
2017-12-18/00:00:00,4.7,4.77,4.58,4.68,10707062
2017-12-19/00:00:00,4.68,5.14,4.65,4.93,9073751
2017-12-20/00:00:00,4.93,5.42,4.96,5.19,3930144
2017-12-21/00:00:00,5.37,5.64,5.22,5.37,7335883
2017-12-24/00:00:00,5.37,5.37,5.03,5.19,2676808
2017-12-25/00:00:00,5.19,5.35,5.15,5.25,1114125
2017-12-26/00:00:00,5.25,5.37,5.2,5.31,1072145
2017-12-27/00:00:00,5.31,5.35,5.15,5.25,4500327
2017-12-28/00:00:00,5.25,5.37,5.1,5.22,2590078
2017-12-31/00:00:00,5.22,5.38,5.15,5.35,2378021
2018-01-02/00:00:00,5.35,5.36,5.19,5.25,1540867
2018-01-03/00:00:00,5.35,5.67,5.29,5.4,9446551
2018-01-04/00:00:00,5.4,5.61,5.49,5.55,5167965
2018-01-08/00:00:00,5.55,5.59,5.45,5.55,3230333
2018-01-09/00:00:00,5.55,5.58,5.45,5.49,2119769
2018-01-10/00:00:00,5.49,5.58,5.43,5.49,2137890
2018-01-11/00:00:00,5.49,5.67,5.46,5.55,1282530
2018-01-14/00:00:00,5.55,5.8,5.55,5.64,402919
2018-01-15/00:00:00,5.64,5.67,5.46,5.5,6408330
2018-01-16/00:00:00,5.5,5.64,5.47,5.52,2503783
2018-01-17/00:00:00,5.52,5.68,5.56,5.64,2078382
2018-01-18/00:00:00,5.64,6.05,5.61,5.82,6863955
2018-01-21/00:00:00,5.82,6.12,5.85,5.98,1677641
2018-01-22/00:00:00,5.98,6.51,6.11,6.34,5716225
2018-01-23/00:00:00,6.57,6.83,6.51,6.69,7077529
2018-01-24/00:00:00,6.69,6.99,6.55,6.78,8021474
2018-01-28/00:00:00,6.78,6.93,6.67,6.75,461523
2018-01-29/00:00:00,6.8,6.96,6.72,6.9,3682219
2018-01-30/00:00:00,6.9,6.96,6.55,6.71,1695597
2018-01-31/00:00:00,6.71,6.7,6.12,6.52,1430339
2018-02-01/00:00:00,6.52,6.77,6.57,6.66,3500919
2018-02-04/00:00:00,6.66,6.61,6.35,6.51,1634864
2018-02-05/00:00:00,6.51,6.64,6.51,6.62,4744815
2018-02-06/00:00:00,6.62,6.57,6.2,6.43,1195791
2018-02-07/00:00:00,6.43,6.81,6.51,6.66,9654609
2018-02-08/00:00:00,6.66,7.32,6.76,7.17,4949040
2018-02-11/00:00:00,7.17,7.29,6.9,7.11,2092761
2018-02-12/00:00:00,7.11,7.29,7.04,7.2,848629
2018-02-13/00:00:00,7.2,7.54,7.1,7.38,1647009
