2001-05-15/00:00:00,4.96,4.96,4.96,4.96,1406
2001-05-22/00:00:00,4.73,4.73,4.73,4.73,3312
2001-05-23/00:00:00,4.51,4.51,4.51,4.51,4226
2001-05-24/00:00:00,4.54,4.73,4.3,4.31,78977
2001-05-27/00:00:00,4.3,4.3,4.3,4.3,699
2001-05-29/00:00:00,4.5,4.5,4.33,4.41,36842
2001-05-30/00:00:00,4.47,4.47,4.47,4.47,220637
2001-05-31/00:00:00,4.47,4.54,4.47,4.53,84693
2001-06-03/00:00:00,4.54,4.61,4.31,4.59,49758
2001-06-05/00:00:00,4.54,4.54,4.47,4.53,48488
2001-06-06/00:00:00,4.4,4.4,4.4,4.4,699
2001-06-07/00:00:00,4.54,4.6,4.4,4.54,8471
2001-06-10/00:00:00,4.4,4.74,4.4,4.61,11075
2001-06-11/00:00:00,4.82,4.83,4.81,4.82,9881
2001-06-12/00:00:00,5.04,5.04,5.04,5.04,5852
2001-06-13/00:00:00,5.25,5.25,5.25,5.25,1199
2001-06-14/00:00:00,5.25,5.25,5.11,5.12,2816
2001-06-17/00:00:00,5.1,5.1,5.1,5.1,42336
2001-06-18/00:00:00,4.96,5.1,4.96,5.09,17646
2001-06-24/00:00:00,4.96,4.96,4.96,4.96,5646
2001-06-25/00:00:00,4.73,4.96,4.73,4.96,353
2001-06-27/00:00:00,4.73,4.73,4.73,4.73,699
2001-07-05/00:00:00,4.9,4.9,4.74,4.76,36347
2001-07-08/00:00:00,4.54,4.76,4.54,4.76,353
2001-07-09/00:00:00,4.55,4.55,4.54,4.54,54486
2001-07-10/00:00:00,4.68,4.68,4.41,4.64,16374
2001-07-11/00:00:00,4.83,4.83,4.54,4.55,170096
2001-07-12/00:00:00,4.68,4.68,4.68,4.68,1052
2001-07-15/00:00:00,4.47,4.47,4.47,4.47,839
2001-07-16/00:00:00,4.25,4.25,4.25,4.25,1406
2001-07-18/00:00:00,4.25,4.25,4.19,4.25,14469
2001-07-19/00:00:00,4.34,4.34,4.34,4.34,699
2001-07-22/00:00:00,4.34,4.36,4.14,4.33,7199
2001-07-24/00:00:00,4.45,4.47,4.45,4.47,7050
2001-07-25/00:00:00,4.44,4.54,4.44,4.53,16932
2001-07-29/00:00:00,4.5,4.51,4.5,4.5,2111
2001-07-30/00:00:00,4.54,4.54,4.54,4.54,1406
2001-08-02/00:00:00,4.33,4.33,4.33,4.33,1052
2001-08-05/00:00:00,4.15,4.15,4.14,4.15,3528
2001-08-06/00:00:00,4.33,4.33,4.33,4.33,1052
2001-08-07/00:00:00,4.53,4.53,4.53,4.53,1052
2001-08-08/00:00:00,4.51,4.51,4.31,4.33,11646
2001-08-09/00:00:00,4.47,4.47,4.47,4.47,1052
2001-08-12/00:00:00,4.25,4.47,4.25,4.47,353
2001-08-14/00:00:00,4.47,4.54,4.47,4.53,46572
2001-08-15/00:00:00,4.33,4.33,4.33,4.33,55050
2001-08-16/00:00:00,4.41,4.41,4.41,4.41,17646
2001-08-20/00:00:00,4.54,4.54,4.54,4.54,21881
2001-08-26/00:00:00,4.33,4.74,4.33,4.56,9315
2001-08-27/00:00:00,4.54,4.61,4.54,4.57,3528
2001-08-30/00:00:00,4.54,4.54,4.54,4.54,1158
2001-09-02/00:00:00,4.33,4.67,4.33,4.56,3423
2001-09-06/00:00:00,4.35,4.35,4.35,4.35,4226
2001-09-10/00:00:00,4.15,4.55,4.15,4.53,17646
2001-09-12/00:00:00,4.31,4.31,4.31,4.31,699
2001-09-13/00:00:00,4.47,4.51,4.47,4.49,1406
2001-09-16/00:00:00,4.29,4.29,4.29,4.29,1406
2001-09-17/00:00:00,4.19,4.19,4.19,4.19,1406
2001-09-18/00:00:00,4.25,4.25,4.25,4.25,7050
2001-09-19/00:00:00,4.25,4.25,4.25,4.25,353
2001-09-26/00:00:00,4.06,4.06,4.06,4.06,699
2001-09-30/00:00:00,3.97,4.23,3.97,4.2,8069
2001-10-01/00:00:00,4.2,4.2,4.2,4.2,211743
2001-10-07/00:00:00,4.0,4.2,4.0,4.2,168
2001-10-08/00:00:00,4.14,4.25,4.14,4.21,1406
2001-10-09/00:00:00,4.02,4.02,4.02,4.02,1229
2001-10-10/00:00:00,3.88,3.88,3.88,3.88,3876
2001-10-11/00:00:00,4.06,4.06,3.87,3.87,1757
2001-10-15/00:00:00,3.87,3.87,3.86,3.86,60690
2001-10-17/00:00:00,4.02,4.02,4.02,4.02,1368
2001-10-18/00:00:00,3.89,3.89,3.86,3.86,1052
