2008-03-16/00:00:00,7.37,7.37,7.37,7.37,33653589
2008-03-18/00:00:00,7.58,7.58,7.58,7.58,50607005
2008-05-08/00:00:00,9.95,11.32,9.75,9.82,34745300
2008-05-11/00:00:00,9.86,9.91,9.45,9.55,4227742
2008-05-12/00:00:00,9.14,9.44,8.44,8.86,8967519
2008-05-13/00:00:00,8.78,8.86,8.36,8.55,2623347
2008-05-14/00:00:00,8.73,8.73,8.18,8.38,2136877
2008-05-15/00:00:00,8.36,8.6,7.38,8.19,2591192
2008-05-18/00:00:00,8.14,8.37,8.14,8.17,1343625
2008-05-19/00:00:00,8.14,8.33,8.14,8.17,1114423
2008-05-20/00:00:00,8.35,8.43,8.21,8.34,581517
2008-05-21/00:00:00,8.46,8.46,8.17,8.2,786258
2008-05-22/00:00:00,8.21,8.99,8.14,8.52,3471187
2008-05-25/00:00:00,8.82,8.9,8.52,8.71,1589171
2008-05-26/00:00:00,8.8,9.0,8.62,8.82,1115119
2008-05-27/00:00:00,8.81,9.0,8.81,8.9,3474130
2008-05-28/00:00:00,9.0,9.18,9.0,9.05,1796263
2008-05-29/00:00:00,9.0,9.0,8.82,8.95,261415
2008-06-01/00:00:00,9.0,9.09,8.85,8.97,505563
2008-06-02/00:00:00,8.86,8.96,8.59,8.69,1382037
2008-06-03/00:00:00,8.86,8.9,8.59,8.66,833649
2008-06-04/00:00:00,8.7,8.77,8.59,8.6,1289996
2008-06-05/00:00:00,8.8,8.86,8.59,8.6,354396
2008-06-08/00:00:00,8.59,8.73,8.59,8.6,708114
2008-06-09/00:00:00,8.71,9.01,8.65,8.84,878678
2008-06-10/00:00:00,8.97,9.04,8.71,8.8,419530
2008-06-11/00:00:00,8.66,8.88,8.64,8.71,248929
2008-06-12/00:00:00,8.84,8.85,8.59,8.6,1921658
2008-06-15/00:00:00,8.61,8.77,8.61,8.7,336246
2008-06-16/00:00:00,8.66,8.86,8.59,8.69,1385392
2008-06-17/00:00:00,8.6,8.62,8.59,8.59,2325031
2008-06-18/00:00:00,8.53,8.71,8.52,8.61,1577618
2008-06-19/00:00:00,8.71,8.71,8.46,8.5,426464
2008-06-22/00:00:00,8.55,8.57,8.1,8.17,998777
2008-06-23/00:00:00,8.07,8.38,8.07,8.36,439104
2008-06-24/00:00:00,8.44,8.44,8.11,8.35,4308279
2008-06-25/00:00:00,8.36,8.55,7.71,8.17,13425465
2008-06-26/00:00:00,8.05,8.25,7.74,8.13,771174
2008-06-29/00:00:00,8.14,8.17,7.76,7.98,528495
2008-06-30/00:00:00,8.14,8.14,7.83,7.99,489495
2008-07-02/00:00:00,8.14,8.14,7.87,7.98,1099759
2008-07-03/00:00:00,8.13,8.14,7.87,7.99,1028697
2008-07-06/00:00:00,7.91,7.97,7.69,7.76,268599
2008-07-07/00:00:00,7.8,7.81,7.6,7.73,231852
2008-07-08/00:00:00,7.58,7.95,7.58,7.76,185536
2008-07-09/00:00:00,7.91,7.93,7.65,7.73,100099
2008-07-10/00:00:00,7.69,7.69,7.48,7.66,171869
2008-07-13/00:00:00,7.59,7.69,7.46,7.49,452639
2008-07-14/00:00:00,7.5,7.57,7.46,7.47,711386
2008-07-15/00:00:00,7.46,7.58,7.46,7.49,32324
2008-07-16/00:00:00,7.42,7.49,6.78,7.0,202390
2008-07-17/00:00:00,7.24,7.38,6.82,7.2,376889
2008-07-20/00:00:00,7.25,7.42,6.95,7.22,618039
2008-07-21/00:00:00,7.26,7.35,7.01,7.21,820082
2008-07-22/00:00:00,7.22,7.25,7.04,7.22,626076
2008-07-24/00:00:00,7.06,7.32,7.06,7.25,169618
2008-07-27/00:00:00,7.25,7.39,7.17,7.27,318864
2008-07-28/00:00:00,7.25,7.25,7.01,7.2,172700
2008-07-29/00:00:00,6.95,7.24,6.89,7.18,333596
2008-07-30/00:00:00,7.01,7.19,6.82,7.07,159869
2008-07-31/00:00:00,7.01,7.19,6.83,6.95,463746
2008-08-03/00:00:00,7.18,7.19,6.67,6.98,974272
2008-08-04/00:00:00,7.0,7.06,6.9,7.01,828329
2008-08-05/00:00:00,7.06,7.15,6.82,6.97,1077868
2008-08-06/00:00:00,6.89,7.06,6.89,7.01,1124206
2008-08-07/00:00:00,7.01,7.08,6.91,7.0,1396824
2008-08-10/00:00:00,7.01,7.01,6.81,6.98,664472
2008-08-11/00:00:00,7.0,7.15,6.34,6.92,1629478
2008-08-12/00:00:00,6.82,7.15,6.57,6.95,602941
2008-08-13/00:00:00,6.69,7.01,6.57,6.87,1518930
2008-08-14/00:00:00,7.0,7.01,6.75,6.79,1928137
2008-08-17/00:00:00,6.98,6.99,6.78,6.83,699153
2008-08-18/00:00:00,6.97,7.3,6.97,7.17,1030784
2008-08-19/00:00:00,7.01,7.22,6.78,6.93,545037
2008-08-20/00:00:00,6.75,6.78,6.57,6.65,262932
2008-08-21/00:00:00,6.94,7.25,6.67,6.92,540104
2008-08-24/00:00:00,7.06,7.24,6.97,7.14,524116
2008-08-25/00:00:00,7.18,7.2,6.97,7.14,372951
2008-08-26/00:00:00,6.99,7.0,6.86,6.92,466921
2008-08-27/00:00:00,6.85,7.21,6.85,7.07,323440
2008-08-28/00:00:00,6.92,7.25,6.92,7.19,3145816
2008-08-31/00:00:00,7.01,7.26,7.01,7.2,843532
2008-09-01/00:00:00,6.97,7.39,6.8,6.98,268706
2008-09-02/00:00:00,7.23,7.25,6.78,6.95,419300
2008-09-03/00:00:00,6.97,6.99,6.87,6.95,425805
2008-09-04/00:00:00,6.8,7.0,6.8,6.97,143704
2008-09-07/00:00:00,6.76,6.97,6.76,6.95,87452
2008-09-08/00:00:00,6.97,7.19,6.83,7.03,557071
2008-09-09/00:00:00,6.97,7.14,6.97,7.02,648689
2008-09-10/00:00:00,7.12,7.13,6.93,7.04,36643
2008-09-11/00:00:00,6.97,7.05,6.97,6.98,35049
2008-09-14/00:00:00,6.97,7.19,6.97,7.05,69799
2008-09-15/00:00:00,6.76,6.85,6.76,6.78,67135
2008-09-16/00:00:00,6.77,6.77,6.63,6.67,385353
2008-09-17/00:00:00,6.71,6.78,6.71,6.75,98431
2008-09-18/00:00:00,6.71,6.71,6.13,6.29,843142
2008-09-21/00:00:00,6.53,6.62,6.53,6.57,214760
2008-09-22/00:00:00,6.54,6.75,6.54,6.6,219689
2008-09-23/00:00:00,6.54,6.55,6.09,6.42,337148
2008-09-24/00:00:00,6.52,6.82,6.09,6.14,338002
2008-09-25/00:00:00,6.09,6.53,6.09,6.42,199646
2008-09-28/00:00:00,6.18,6.31,6.09,6.11,225471
2008-09-29/00:00:00,6.36,6.44,6.13,6.29,31575
2008-10-07/00:00:00,6.12,6.12,4.39,5.03,855056
2008-10-08/00:00:00,4.5,5.4,4.04,4.43,4863191
2008-10-09/00:00:00,5.4,5.4,5.4,5.4,3447
2008-10-12/00:00:00,5.22,5.22,4.57,4.71,413642
2008-10-13/00:00:00,4.79,4.8,4.25,4.35,1710566
2008-10-14/00:00:00,4.66,4.8,4.57,4.64,339444
2008-10-15/00:00:00,4.57,5.55,4.33,4.81,3482199
2008-10-16/00:00:00,4.57,5.01,4.53,4.72,646386
2008-10-19/00:00:00,4.8,4.8,4.48,4.62,353660
2008-10-20/00:00:00,4.74,4.74,4.43,4.51,86239
2008-10-21/00:00:00,4.53,4.61,4.39,4.48,385819
2008-10-22/00:00:00,4.35,4.35,4.06,4.15,707167
2008-10-23/00:00:00,3.92,4.34,3.6,4.02,248681
2008-10-26/00:00:00,3.49,3.53,3.22,3.52,1732157
2008-10-27/00:00:00,3.23,3.47,3.23,3.3,688332
2008-10-28/00:00:00,3.47,3.62,3.16,3.44,437146
2008-10-29/00:00:00,3.62,3.62,3.25,3.43,280983
2008-10-30/00:00:00,3.22,3.47,3.07,3.27,787838
2008-11-02/00:00:00,3.47,3.7,3.26,3.48,812872
2008-11-03/00:00:00,3.47,3.87,3.35,3.63,816152
2008-11-04/00:00:00,3.67,3.8,3.47,3.59,1062171
2008-11-05/00:00:00,3.69,3.72,3.41,3.53,2632524
2008-11-06/00:00:00,3.39,3.55,3.39,3.53,208194
2008-11-09/00:00:00,3.6,3.6,3.31,3.42,528849
2008-11-10/00:00:00,3.6,3.69,3.45,3.57,997508
2008-11-11/00:00:00,3.6,3.6,3.39,3.5,1663422
2008-11-12/00:00:00,3.47,3.47,3.14,3.3,804220
2008-11-13/00:00:00,3.11,3.3,3.03,3.11,1835720
2008-11-16/00:00:00,3.26,3.26,3.05,3.07,1537213
2008-11-17/00:00:00,3.05,3.07,2.79,2.93,1378834
2008-11-18/00:00:00,2.83,2.95,2.69,2.78,900675
2008-11-19/00:00:00,2.92,2.94,2.66,2.8,647889
2008-11-20/00:00:00,2.62,2.76,2.51,2.66,725776
2008-11-23/00:00:00,2.73,2.73,2.5,2.58,381672
2008-11-24/00:00:00,2.51,2.61,2.23,2.36,421717
2008-11-25/00:00:00,2.38,2.48,2.36,2.39,614334
2008-11-26/00:00:00,2.41,2.69,2.23,2.49,1437857
2008-11-27/00:00:00,2.72,2.8,2.46,2.65,1127118
2008-11-30/00:00:00,2.76,2.95,2.69,2.85,2105945
2008-12-01/00:00:00,2.72,2.92,2.72,2.82,1402347
2008-12-02/00:00:00,2.72,2.82,2.45,2.73,1399091
2008-12-03/00:00:00,2.86,2.86,2.66,2.76,1347575
2008-12-04/00:00:00,2.82,2.82,2.67,2.74,1677782
2008-12-10/00:00:00,2.83,2.85,2.73,2.77,554994
2008-12-11/00:00:00,2.77,2.78,2.69,2.72,862065
2008-12-14/00:00:00,2.75,2.75,2.62,2.67,631183
2008-12-15/00:00:00,2.62,2.72,2.62,2.69,664206
2008-12-16/00:00:00,2.69,2.72,2.54,2.64,1219287
2008-12-17/00:00:00,2.61,2.66,2.46,2.55,1762104
2008-12-18/00:00:00,2.62,2.63,2.5,2.54,1203227
2008-12-21/00:00:00,2.53,2.55,2.48,2.52,705223
2008-12-22/00:00:00,2.52,2.55,2.46,2.5,820636
2008-12-23/00:00:00,2.48,2.55,2.44,2.49,646546
2008-12-24/00:00:00,2.45,2.67,2.45,2.61,1495148
2008-12-25/00:00:00,2.66,2.68,2.57,2.64,1150894
2008-12-28/00:00:00,2.6,2.66,2.55,2.63,605197
2008-12-30/00:00:00,2.64,2.72,2.62,2.67,559407
2008-12-31/00:00:00,2.66,2.75,2.62,2.68,1227824
2009-01-04/00:00:00,2.77,2.91,2.72,2.83,1087567
2009-01-05/00:00:00,2.83,3.26,2.83,3.11,4469749
2009-01-06/00:00:00,3.25,3.33,3.08,3.21,1456213
2009-01-08/00:00:00,3.13,3.18,3.05,3.11,2968401
2009-01-11/00:00:00,3.2,3.37,3.08,3.28,2185917
2009-01-12/00:00:00,3.28,3.43,3.23,3.3,2216893
2009-01-13/00:00:00,3.3,3.46,3.23,3.31,2732797
2009-01-14/00:00:00,3.28,3.44,3.23,3.36,3153847
2009-01-15/00:00:00,3.4,3.67,3.25,3.44,6113270
2009-01-18/00:00:00,3.68,3.91,3.57,3.74,3513250
2009-01-19/00:00:00,3.76,3.87,3.41,3.59,4289905
2009-01-20/00:00:00,3.44,3.47,3.26,3.38,3216183
2009-01-21/00:00:00,3.31,3.31,3.05,3.2,3047068
2009-01-22/00:00:00,3.3,3.44,3.2,3.28,2432735
2009-01-25/00:00:00,3.13,3.22,2.95,3.09,3757700
2009-01-26/00:00:00,3.12,3.44,3.05,3.25,2599259
2009-01-27/00:00:00,3.44,3.51,3.33,3.44,2165281
2009-01-28/00:00:00,3.45,3.56,3.39,3.47,2237353
2009-01-29/00:00:00,3.55,3.59,3.43,3.46,1652989
2009-02-01/00:00:00,3.36,3.44,3.2,3.3,1620730
2009-02-02/00:00:00,3.23,3.39,2.98,3.15,2460051
2009-02-03/00:00:00,3.01,3.2,3.01,3.13,1389870
2009-02-04/00:00:00,3.23,3.27,3.05,3.12,1342892
