2007-11-28/00:00:00,14.63,15.12,12.68,13.25,125897108
2007-11-29/00:00:00,13.26,13.41,12.44,12.96,32997955
2007-12-02/00:00:00,12.73,12.78,12.1,12.43,19009836
2007-12-03/00:00:00,12.18,12.4,11.89,12.18,20361702
2007-12-04/00:00:00,12.24,12.63,12.2,12.5,12200018
2007-12-05/00:00:00,12.59,12.68,12.44,12.6,11510183
2007-12-06/00:00:00,12.57,12.57,12.28,12.41,8935368
2007-12-09/00:00:00,12.49,12.49,12.2,12.28,4692139
2007-12-10/00:00:00,12.29,12.29,11.91,12.02,7107377
2007-12-11/00:00:00,11.92,12.06,11.71,11.84,9298919
2007-12-12/00:00:00,11.71,11.89,11.66,11.74,12065094
2007-12-13/00:00:00,11.8,11.85,11.68,11.73,7928278
2007-12-16/00:00:00,11.8,11.84,11.53,11.68,8908571
2007-12-17/00:00:00,11.69,11.71,11.45,11.53,10346879
2007-12-23/00:00:00,11.67,11.86,11.62,11.74,8233293
2007-12-24/00:00:00,11.85,11.85,11.56,11.73,4609188
2007-12-25/00:00:00,11.61,11.84,11.5,11.61,5223920
2007-12-26/00:00:00,11.51,11.68,11.46,11.54,4057075
2007-12-27/00:00:00,11.52,11.68,11.49,11.57,6323481
2007-12-30/00:00:00,11.61,11.66,11.38,11.49,6105041
2007-12-31/00:00:00,11.4,11.8,11.38,11.58,8629746
2008-01-02/00:00:00,11.66,11.71,11.51,11.57,4258552
2008-01-03/00:00:00,11.56,11.69,11.52,11.59,5958103
2008-01-06/00:00:00,11.63,11.94,11.56,11.74,14960942
2008-01-08/00:00:00,11.94,12.49,11.8,12.28,15711080
2008-01-10/00:00:00,12.29,12.9,12.29,12.64,21852809
2008-01-13/00:00:00,12.81,13.14,12.66,12.88,14058701
2008-01-14/00:00:00,12.66,13.03,12.48,12.67,9362104
2008-01-15/00:00:00,12.49,12.71,12.49,12.62,6014256
2008-01-16/00:00:00,12.65,12.68,12.15,12.35,9214988
2008-01-17/00:00:00,12.2,12.45,12.11,12.26,4830658
2008-01-20/00:00:00,12.24,12.43,11.87,12.13,4991500
2008-01-21/00:00:00,11.9,12.19,11.4,11.71,8385150
2008-01-22/00:00:00,11.6,11.6,11.22,11.43,11266282
2008-01-23/00:00:00,11.61,11.95,11.61,11.75,10681846
2008-01-24/00:00:00,11.75,11.8,11.55,11.67,6622837
2008-01-27/00:00:00,11.68,11.92,11.68,11.79,3661190
2008-01-28/00:00:00,11.8,11.8,11.52,11.59,3010677
2008-01-29/00:00:00,11.69,11.75,11.56,11.68,2891306
2008-01-30/00:00:00,11.71,11.95,11.71,11.8,7443495
2008-01-31/00:00:00,11.95,12.15,11.95,12.02,9604525
2008-02-03/00:00:00,12.16,12.25,11.88,12.07,7070357
2008-02-04/00:00:00,12.11,12.32,12.01,12.22,12013860
2008-02-05/00:00:00,12.25,12.34,12.03,12.19,5176209
2008-02-06/00:00:00,12.03,12.1,11.71,11.99,6317067
2008-02-07/00:00:00,12.14,12.2,11.79,12.01,5306867
2008-02-10/00:00:00,11.85,12.11,11.78,11.98,2899876
2008-02-11/00:00:00,12.0,12.1,11.81,11.94,2941634
2008-02-12/00:00:00,11.93,12.0,11.78,11.89,3368216
2008-02-13/00:00:00,11.8,12.02,11.79,11.89,2985632
2008-02-14/00:00:00,11.94,12.0,11.8,11.92,3019427
2008-02-17/00:00:00,11.9,11.98,11.86,11.91,2001001
2008-02-18/00:00:00,11.82,12.02,11.82,11.98,2669458
2008-02-19/00:00:00,11.93,12.2,11.93,12.11,5809840
2008-02-20/00:00:00,12.1,12.14,11.91,12.05,2290958
2008-02-21/00:00:00,11.95,12.18,11.95,12.11,8029515
2008-02-24/00:00:00,11.95,12.13,11.95,12.05,7127848
2008-02-25/00:00:00,12.08,12.09,11.8,11.89,6636598
2008-02-26/00:00:00,11.8,11.95,11.66,11.76,12176945
2008-02-27/00:00:00,11.93,11.94,11.7,11.75,6112074
2008-02-28/00:00:00,11.77,12.08,11.7,11.84,9074335
2008-03-02/00:00:00,11.85,11.95,11.7,11.78,6298049
2008-03-03/00:00:00,11.84,11.84,11.59,11.64,6668685
2008-03-04/00:00:00,11.7,11.85,11.6,11.71,10126874
2008-03-05/00:00:00,11.82,11.88,11.74,11.81,6562034
2008-03-06/00:00:00,11.82,12.15,11.77,11.94,18715049
2008-03-09/00:00:00,12.13,12.18,11.96,12.07,5668307
2008-03-10/00:00:00,12.08,12.14,11.87,12.01,3690267
2008-03-11/00:00:00,11.99,11.99,11.78,11.83,2862181
2008-03-12/00:00:00,11.8,12.01,11.8,11.96,5375897
2008-03-13/00:00:00,11.9,11.98,11.69,11.77,6545841
