2021-09-19/00:00:00,24.81,29.73,23.62,24.28,915233
2021-09-20/00:00:00,24.28,25.29,23.27,24.17,311708
2021-09-21/00:00:00,24.17,25.28,23.47,23.64,458182
2021-09-22/00:00:00,23.64,24.19,23.69,23.97,451211
2021-09-23/00:00:00,23.97,24.52,23.97,24.23,229984
2021-09-26/00:00:00,24.23,26.99,24.02,25.48,612826
2021-09-27/00:00:00,25.48,25.52,24.17,24.29,658688
2021-09-28/00:00:00,24.29,24.54,24.05,24.29,110969
2021-09-29/00:00:00,24.29,24.57,23.62,24.49,31221
2021-09-30/00:00:00,24.49,24.49,23.63,24.29,366812
2021-10-03/00:00:00,24.29,24.17,23.9,24.17,152956
2021-10-04/00:00:00,24.17,24.17,24.05,24.17,313072
2021-10-05/00:00:00,24.17,24.49,23.71,24.16,752599
2021-10-06/00:00:00,24.16,24.46,24.1,24.29,1174635
2021-10-10/00:00:00,24.29,26.04,24.53,25.63,3385770
2021-10-11/00:00:00,25.63,25.64,25.36,25.62,1271184
2021-10-12/00:00:00,25.62,25.63,25.24,25.63,1842312
2021-10-13/00:00:00,25.63,25.97,25.23,25.65,3577569
2021-10-14/00:00:00,25.65,26.99,25.89,26.9,540428
2021-10-17/00:00:00,26.9,28.48,26.78,27.55,1645616
2021-10-18/00:00:00,27.55,28.61,27.07,27.24,531625
2021-10-19/00:00:00,27.24,28.72,27.65,28.17,799012
2021-10-20/00:00:00,28.17,28.72,28.0,28.18,447759
2021-10-24/00:00:00,28.18,29.61,28.33,29.32,373523
2021-10-25/00:00:00,29.32,29.55,27.68,28.7,408330
2021-10-26/00:00:00,28.7,30.06,28.33,29.43,852779
2021-10-27/00:00:00,29.43,29.67,28.07,28.55,71229
2021-10-28/00:00:00,28.55,29.46,28.33,28.85,163689
2021-10-31/00:00:00,28.85,29.38,27.32,27.92,1572581
2021-11-01/00:00:00,27.92,29.27,28.33,28.99,539145
2021-11-02/00:00:00,28.99,28.99,28.33,28.35,308065
2021-11-03/00:00:00,28.35,28.33,26.46,27.65,585625
2021-11-04/00:00:00,27.65,27.63,27.07,27.25,567037
2021-11-07/00:00:00,27.25,28.22,26.99,27.65,89281
2021-11-08/00:00:00,27.65,28.48,27.13,27.63,136593
2021-11-09/00:00:00,27.63,28.33,27.86,28.28,649553
2021-11-10/00:00:00,28.28,28.61,27.8,28.17,344744
2021-11-11/00:00:00,28.17,28.72,27.8,28.04,122757
2021-11-14/00:00:00,28.04,30.35,28.33,28.62,749870
2021-11-15/00:00:00,28.62,29.33,27.92,28.59,102956
2021-11-16/00:00:00,28.59,29.52,27.74,28.3,235047
2021-11-17/00:00:00,28.3,28.99,28.33,28.99,433718
2021-11-18/00:00:00,28.99,28.98,28.35,28.53,213996
2021-11-21/00:00:00,28.53,31.38,28.5,28.55,136488
2021-11-22/00:00:00,28.55,29.38,28.33,28.33,235519
2021-11-23/00:00:00,28.33,28.92,27.86,28.33,327777
2021-11-24/00:00:00,28.33,28.33,27.92,28.18,383679
2021-11-25/00:00:00,28.18,31.99,28.11,28.99,167652
2021-11-28/00:00:00,28.99,28.85,28.11,28.31,262132
2021-11-29/00:00:00,28.31,28.33,28.11,28.33,45867
2021-11-30/00:00:00,28.33,28.18,27.51,27.79,1672492
2021-12-01/00:00:00,27.79,27.8,27.65,27.8,254844
2021-12-02/00:00:00,27.8,28.06,27.65,27.86,62420
2021-12-05/00:00:00,27.86,28.18,27.44,27.65,6194141
2021-12-06/00:00:00,27.65,28.33,26.99,28.31,1223897
2021-12-07/00:00:00,28.31,28.31,27.6,28.29,60488
2021-12-08/00:00:00,28.29,28.33,27.65,28.33,236216
2021-12-09/00:00:00,28.33,28.33,28.11,28.29,12522016
2021-12-12/00:00:00,28.29,28.61,28.33,28.29,6672
2021-12-13/00:00:00,28.29,28.85,27.68,28.0,85110
2021-12-14/00:00:00,28.0,28.0,27.99,28.0,3781
2021-12-15/00:00:00,28.0,28.07,28.0,28.0,7282
2021-12-16/00:00:00,28.0,29.37,28.33,28.89,299435
2021-12-19/00:00:00,28.89,28.72,27.65,27.94,17714
2021-12-20/00:00:00,27.94,28.53,27.65,27.94,10005
2021-12-21/00:00:00,27.94,28.28,28.28,27.94,19
2021-12-22/00:00:00,27.94,28.16,26.32,27.32,379678
2021-12-23/00:00:00,27.32,27.65,26.49,26.69,113260
2021-12-26/00:00:00,26.69,27.65,26.51,26.87,285007
2021-12-27/00:00:00,26.87,27.32,26.46,26.83,29841
2021-12-28/00:00:00,26.83,28.33,26.96,27.62,612423
2021-12-29/00:00:00,27.62,27.51,26.37,26.82,166740
2021-12-30/00:00:00,26.82,27.27,26.51,26.51,1011620
2022-01-02/00:00:00,26.51,27.36,26.33,26.49,67806
2022-01-03/00:00:00,26.49,27.13,26.38,26.56,223790
2022-01-04/00:00:00,26.56,29.12,26.97,28.52,413028
2022-01-05/00:00:00,28.52,29.09,27.69,27.86,970705
2022-01-09/00:00:00,27.86,28.04,27.25,27.86,43002
2022-01-10/00:00:00,27.86,28.31,27.38,28.31,83932
2022-01-11/00:00:00,28.31,28.33,27.38,28.33,189210
2022-01-12/00:00:00,28.33,28.28,27.65,28.18,112702
2022-01-13/00:00:00,28.18,29.09,28.06,28.48,341661
2022-01-16/00:00:00,28.48,28.33,28.11,28.48,853
2022-01-17/00:00:00,28.48,28.71,28.18,28.33,740036
2022-01-18/00:00:00,28.33,28.48,27.94,28.18,28323
2022-01-19/00:00:00,28.18,28.18,27.92,28.06,27520
2022-01-20/00:00:00,28.06,28.29,27.65,28.29,889724
2022-01-23/00:00:00,28.29,28.0,27.25,27.63,96218
2022-01-24/00:00:00,27.63,27.65,27.26,27.63,284636
2022-01-25/00:00:00,27.63,28.16,27.07,27.65,264646
2022-01-26/00:00:00,27.65,28.33,27.38,28.33,179270
2022-01-30/00:00:00,28.33,28.23,27.53,28.33,1229
2022-01-31/00:00:00,28.33,28.33,27.65,28.11,411176
2022-02-01/00:00:00,28.11,27.85,27.65,27.8,101790
2022-02-02/00:00:00,27.8,27.92,27.86,27.92,930397
2022-02-03/00:00:00,27.92,28.13,27.92,27.92,263275
2022-02-06/00:00:00,27.92,28.29,27.67,27.82,20910
2022-02-07/00:00:00,27.82,28.06,27.65,27.94,784850
2022-02-08/00:00:00,27.94,28.0,27.67,27.7,2090693
2022-02-09/00:00:00,27.7,28.87,27.92,28.81,791077
2022-02-10/00:00:00,28.81,28.99,27.99,28.85,54272
2022-02-13/00:00:00,28.85,29.12,27.65,29.12,32394
2022-02-14/00:00:00,29.12,29.07,28.06,28.88,70415
2022-02-15/00:00:00,28.88,28.99,28.33,28.93,52838
2022-02-16/00:00:00,28.93,28.84,28.29,28.93,2200
2022-02-17/00:00:00,28.93,28.85,28.29,28.93,3800
2022-02-20/00:00:00,28.93,28.85,28.29,28.93,4418
2022-02-21/00:00:00,28.93,28.33,27.67,28.33,49265
2022-02-22/00:00:00,28.33,28.33,27.6,28.3,236262
2022-02-23/00:00:00,28.3,28.48,27.84,28.48,31181
2022-02-24/00:00:00,28.48,28.28,26.99,28.28,146799
2022-02-27/00:00:00,28.28,28.84,28.84,28.84,21018
2022-02-28/00:00:00,28.84,28.53,28.06,28.28,424061
2022-03-01/00:00:00,28.28,28.83,28.13,28.28,769
2022-03-02/00:00:00,28.28,28.83,28.18,28.33,433460
2022-03-03/00:00:00,28.33,29.08,28.48,28.84,364960
2022-03-06/00:00:00,28.84,29.09,27.82,28.07,113784
2022-03-07/00:00:00,28.07,28.18,27.52,28.17,334021
2022-03-08/00:00:00,28.17,27.67,26.69,27.51,1380671
2022-03-09/00:00:00,27.51,28.11,27.59,27.83,1458116
2022-03-10/00:00:00,27.83,28.33,27.38,28.33,1085290
2022-03-13/00:00:00,28.33,28.63,27.92,28.28,375033
2022-03-14/00:00:00,28.28,28.84,28.06,28.65,409413
