ticker,ric_code,holding_name,weight,stock_page_url,historical_csv_url
COMI,COMI.CA,Commercial International Bank-Egypt (CIB),0.3269,https://english.mubasher.info/markets/EGX/stocks/COMI,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/44507230b2b03e2da37352abf1a659545b44.csv
TMGH,TMGH.CA,T M G Holding,0.1108,https://english.mubasher.info/markets/EGX/stocks/TMGH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/4484803ef56843860e4a48fc4cdb3065e8ce.csv
EAST,EAST.CA,Eastern Company,0.0739,https://english.mubasher.info/markets/EGX/stocks/EAST,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/296460ad83801910ec976590f69f638e0d6d.csv
FWRY,FWRY.CA,Fawry For Banking Technology And Electronic Payment,0.0632,https://english.mubasher.info/markets/EGX/stocks/FWRY,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/13975494d8dbca2d30897065e5de7e2dbb0fd56.csv
ETEL,ETEL.CA,Telecom Egypt,0.0592,https://english.mubasher.info/markets/EGX/stocks/ETEL,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/4470a3ab4ff8fa4deed2e3bae3a5077675f0.csv
EFIH,EFIH.CA,E-finance For Digital and Financial Investments,0.0451,https://english.mubasher.info/markets/EGX/stocks/EFIH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/13979726390f435ae7002c4a63ee00f45eca439.csv
HRHO,HRHO.CA,EFG Holding,0.034,https://english.mubasher.info/markets/EGX/stocks/HRHO,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/446888c040adb393832c87914347cc2afc3f.csv
ABUK,ABUK.CA,Abou Kir Fertilizers,0.0339,https://english.mubasher.info/markets/EGX/stocks/ABUK,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/112969a5b5995110b36a9a347898d97a610e.csv
ADIB,ADIB.CA,Abu Dhabi Islamic Bank- Egypt,0.0267,https://english.mubasher.info/markets/EGX/stocks/ADIB,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1386439a399a8a7dacebc9a8f3fd1de08e57391.csv
EFID,EFID.CA,Edita Food Industries S.A.E,0.0213,https://english.mubasher.info/markets/EGX/stocks/EFID,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1395830e2cababf6dfaedbdd272b4dfbf90e963.csv
VLMR,VLMR.CA,Valmore Holding,0.0184,https://english.mubasher.info/markets/EGX/stocks/VLMR,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/4464f937c8fddbe66ab03c563f16d5cfa50c.csv
ORAS,ORAS.CA,Orascom Construction PLC,0.018,https://english.mubasher.info/markets/EGX/stocks/ORAS,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1395880331a58af6c44d8e97ce2ab31b2d3035c.csv
CCAP,CCAP.CA,QALA For Financial Investments,0.0152,https://english.mubasher.info/markets/EGX/stocks/CCAP,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/57567ecd070e606afbf07a07c32e7267051f.csv
BTFH,BTFH.CA,Beltone Holding,0.0152,https://english.mubasher.info/markets/EGX/stocks/BTFH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/57262c8ed8587468aec2462a3914f154e570.csv
GBCO,GBCO.CA,GB Corp,0.0135,https://english.mubasher.info/markets/EGX/stocks/GBCO,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/2605d3fad7d3634dbfb61018813546edbccb.csv
PHDC,PHDC.CA,Palm Hills Development Company,0.0135,https://english.mubasher.info/markets/EGX/stocks/PHDC,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/574663a99723ebb3af94d52b474c3b21dbe1.csv
EGAL,EGAL.CA,Egypt Aluminum,0.0121,https://english.mubasher.info/markets/EGX/stocks/EGAL,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/259218bb68e2b38e4a8ce7cf4f6b2625768c.csv
ORHD,ORHD.CA,Orascom Development Egypt,0.0104,https://english.mubasher.info/markets/EGX/stocks/ORHD,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1229310ce61c90f3a46e340ee8257bc70e93.csv
MCQE,MCQE.CA,Misr Cement (Qena),0.0102,https://english.mubasher.info/markets/EGX/stocks/MCQE,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/131450905d7b2216bfeccb5b41016357176b.csv
ISPH,ISPH.CA,Ibnsina Pharma,0.0096,https://english.mubasher.info/markets/EGX/stocks/ISPH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/13974040e62c174a5a438eaf7088a15995caff3.csv
JUFO,JUFO.CA,Juhayna Food Industries,0.0092,https://english.mubasher.info/markets/EGX/stocks/JUFO,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/56032b0aa0d9e30ea3a55fc271ced8364536.csv
AMOC,AMOC.CA,Alexandria Mineral Oils Company,0.0081,https://english.mubasher.info/markets/EGX/stocks/AMOC,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/5738d0f4dae80c3d0277922f8371d5827292.csv
HELI,HELI.CA,Heliopolis Housing,0.0081,https://english.mubasher.info/markets/EGX/stocks/HELI,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/57330a988fc2992add2d3233e19c7aadfdea.csv
VLMRA,VLMRA.CA,Valmore Holding-EGP,0.007,https://english.mubasher.info/markets/EGX/stocks/VLMRA,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1397966d26b6a5414a4ba0726796146bf0e0df0.csv
RAYA,RAYA.CA,Raya Holding For Financial Investments,0.0068,https://english.mubasher.info/markets/EGX/stocks/RAYA,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/44816c530aae768250b8d9c3c908a13ee287.csv
EMFD,EMFD.CA,Emaar Misr for Development,0.0064,https://english.mubasher.info/markets/EGX/stocks/EMFD,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1395879bf2733dbaf587a608702390d2c5e9dad.csv
ORWE,ORWE.CA,Oriental Weavers,0.0063,https://english.mubasher.info/markets/EGX/stocks/ORWE,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/727fb89705ae6d743bf1e848c206e16a1d7.csv
RMDA,RMDA.CA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.0061,https://english.mubasher.info/markets/EGX/stocks/RMDA,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/13975801d5f57deb259c684b4df9e7455f7ac57.csv
OIH,OIH.CA,Orascom Investment Holding,0.0044,https://english.mubasher.info/markets/EGX/stocks/OIH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/60138fd7f981e10b41330b618129afcaab2d.csv
ARCC,ARCC.CA,Arabian Cement Company,0.0037,https://english.mubasher.info/markets/EGX/stocks/ARCC,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/1394181c135c57befda1bbe705018b9b953e7dd.csv
EGCH,EGCH.CA,Egyptian Chemical Industries (Kima),0.0028,https://english.mubasher.info/markets/EGX/stocks/EGCH,https://static.mubasher.info/File.MubasherCharts/File.Historical_Stock_Charts_Dir/25350747b9be4f90056c30eb5241f06bfe9b.csv
