rebalance_date,symbol,days,present_days,missing_days,coverage
2015-01-15,ORWE,167,167,0,1.0
2015-01-15,BFTH,167,167,0,1.0
2015-01-15,HELI,167,167,0,1.0
2015-01-15,EAST,167,157,10,0.9401197604790419
2015-01-15,OIH,167,167,0,1.0
2015-01-15,TMGH,167,167,0,1.0
2015-01-15,COMI,167,167,0,1.0
2015-01-15,PHDC,167,167,0,1.0
2015-01-15,VLMR,167,167,0,1.0
2015-01-15,MCQE,167,153,14,0.9161676646706587
2016-01-03,MCQE,145,138,7,0.9517241379310345
2016-01-03,ADIB,145,145,0,1.0
2016-01-03,COMI,145,145,0,1.0
2016-01-03,RAYA,145,143,2,0.9862068965517241
2016-01-03,EAST,145,134,11,0.9241379310344827
2016-01-03,JUFO,145,141,4,0.9724137931034482
2016-01-03,HELI,145,145,0,1.0
2016-01-03,ABUK,145,123,22,0.8482758620689655
2016-01-03,PHDC,145,145,0,1.0
2016-01-03,VLMR,145,145,0,1.0
2017-01-02,HRHO,85,85,0,1.0
2017-01-02,AMOC,85,85,0,1.0
2017-01-02,BFTH,85,85,0,1.0
2017-01-02,HELI,85,85,0,1.0
2017-01-02,COMI,85,85,0,1.0
2017-01-02,ORWE,85,85,0,1.0
2017-01-02,ORAS,85,85,0,1.0
2017-01-02,ETEL,85,85,0,1.0
2017-01-02,EAST,85,82,3,0.9647058823529412
2017-01-02,ADIB,85,85,0,1.0
2018-01-02,EGAL,61,61,0,1.0
2018-01-02,ORHD,61,61,0,1.0
2018-01-02,BFTH,61,60,1,0.9836065573770492
2018-01-02,EAST,61,61,0,1.0
2018-01-02,ABUK,61,61,0,1.0
2018-01-02,ADIB,61,61,0,1.0
2018-01-02,AMOC,61,61,0,1.0
2018-01-02,RAYA,61,61,0,1.0
2018-01-02,EGCH,61,61,0,1.0
2018-01-02,JUFO,61,59,2,0.9672131147540983
2019-01-06,CCAP,33,33,0,1.0
2019-01-06,ORHD,33,33,0,1.0
