date,symbol,action,shares,price,value,fee,reason
2015-01-15,ORWE,BUY,229.0,47.913945,10972.293405,26.94458681,annual_rebalance_buy
2015-01-15,BFTH,BUY,4810.0,2.2811399999999997,10972.283399999998,26.944566799999997,annual_rebalance_buy
2015-01-15,HELI,BUY,2109.0,5.2026,10972.2834,26.9445668,annual_rebalance_buy
2015-01-15,EAST,BUY,2776.0,3.951975,10970.6826,26.9413652,annual_rebalance_buy
2015-01-15,OIH,BUY,2193.0,5.0024999999999995,10970.482499999998,26.940965,annual_rebalance_buy
2015-01-15,TMGH,BUY,1047.0,10.475235,10967.571044999999,26.93514209,annual_rebalance_buy
2015-01-15,COMI,BUY,648.0,16.90845,10956.675599999999,26.913351199999997,annual_rebalance_buy
2015-01-15,PHDC,BUY,2797.0,3.92196,10969.72212,26.93944424,annual_rebalance_buy
2015-01-15,VLMR,BUY,9620.0,1.1405699999999999,10972.283399999998,26.944566799999997,annual_rebalance_buy
2015-01-15,MCQE,BUY,402.0,27.243615,10951.933229999999,26.903866459999996,annual_rebalance_buy
2015-02-01,ORWE,BUY,107.0,9.314655,996.668085,6.99333617,cash_deploy_current_basket
2015-02-01,BFTH,BUY,447.0,2.231115,997.308405,6.99461681,cash_deploy_current_basket
2015-02-01,HELI,BUY,173.0,5.74287,993.51651,6.98703302,cash_deploy_current_basket
2015-02-01,EAST,BUY,274.0,3.6318149999999996,995.1173099999999,6.99023462,cash_deploy_current_basket
2015-02-01,OIH,BUY,201.0,4.962479999999999,997.4584799999999,6.994916959999999,cash_deploy_current_basket
2015-02-01,TMGH,BUY,86.0,11.495745,988.63407,6.97726814,cash_deploy_current_basket
2015-02-01,COMI,BUY,56.0,17.618805,986.6530799999999,6.97330616,cash_deploy_current_basket
2015-02-01,PHDC,BUY,243.0,4.092045,994.3669349999999,6.98873387,cash_deploy_current_basket
2015-02-01,VLMR,BUY,899.0,1.110555,998.3889449999999,6.99677789,cash_deploy_current_basket
2015-02-01,MCQE,BUY,35.0,28.314149999999998,990.9952499999999,6.9819905,cash_deploy_current_basket
2015-03-01,ORWE,BUY,124.0,7.98399,990.01476,6.98002952,cash_deploy_current_basket
2015-03-01,BFTH,BUY,538.0,1.850925,995.79765,6.9915953,cash_deploy_current_basket
2015-03-01,HELI,BUY,187.0,5.32266,995.33742,6.99067484,cash_deploy_current_basket
2015-03-01,EAST,BUY,261.0,3.8219099999999995,997.5185099999999,6.99503702,cash_deploy_current_basket
2015-03-01,OIH,BUY,213.0,4.66233,993.07629,6.98615258,cash_deploy_current_basket
2015-03-01,TMGH,BUY,93.0,10.635315,989.084295,6.97816859,cash_deploy_current_basket
2015-03-01,COMI,BUY,56.0,17.62881,987.2133600000001,6.97442672,cash_deploy_current_basket
2015-03-01,PHDC,BUY,276.0,3.6018,994.0967999999999,6.9881936,cash_deploy_current_basket
2015-03-01,VLMR,BUY,949.0,1.050525,996.948225,6.99389645,cash_deploy_current_basket
2015-03-01,MCQE,BUY,35.0,28.45422,995.8977,6.9917954,cash_deploy_current_basket
2015-04-01,ORWE,BUY,139.0,7.133565,991.565535,6.98313107,cash_deploy_current_basket
2015-04-01,BFTH,BUY,611.0,1.630815,996.427965,6.99285593,cash_deploy_current_basket
2015-04-01,HELI,BUY,182.0,5.472734999999999,996.0377699999999,6.99207554,cash_deploy_current_basket
2015-04-01,EAST,BUY,292.0,3.411705,996.21786,6.99243572,cash_deploy_current_basket
2015-04-01,OIH,BUY,229.0,4.352174999999999,996.6480749999997,6.993296149999999,cash_deploy_current_basket
2015-04-01,TMGH,BUY,95.0,10.455224999999999,993.2463749999998,6.98649275,cash_deploy_current_basket
2015-04-01,COMI,BUY,55.0,17.958975,987.743625,6.9754872500000005,cash_deploy_current_basket
2015-04-01,PHDC,BUY,267.0,3.72186,993.73662,6.98747324,cash_deploy_current_basket
2015-04-01,VLMR,BUY,1095.0,0.910455,996.948225,6.99389645,cash_deploy_current_basket
2015-04-01,MCQE,BUY,35.0,28.47423,996.59805,6.9931961000000005,cash_deploy_current_basket
2015-05-03,ORWE,BUY,141.0,7.053525,994.547025,6.98909405,cash_deploy_current_basket
2015-05-03,BFTH,BUY,715.0,1.3906949999999998,994.3469249999998,6.98869385,cash_deploy_current_basket
2015-05-03,HELI,BUY,195.0,5.102549999999999,994.9972499999998,6.9899945,cash_deploy_current_basket
2015-05-03,EAST,BUY,309.0,3.22161,995.47749,6.99095498,cash_deploy_current_basket
2015-05-03,OIH,BUY,271.0,3.6718349999999997,995.067285,6.99013457,cash_deploy_current_basket
2015-05-03,TMGH,BUY,98.0,10.06503,986.37294,6.97274588,cash_deploy_current_basket
2015-05-03,COMI,BUY,56.0,17.658824999999997,988.8941999999998,6.9777884,cash_deploy_current_basket
2015-05-03,PHDC,BUY,398.0,2.5012499999999998,995.4975,6.990995,cash_deploy_current_basket
2015-05-03,VLMR,BUY,975.0,1.02051,994.99725,6.9899945,cash_deploy_current_basket
2015-05-03,MCQE,BUY,34.0,28.99449,985.8126599999999,6.97162532,cash_deploy_current_basket
2015-06-01,ORWE,BUY,138.0,7.213604999999999,995.4774899999999,6.99095498,cash_deploy_current_basket
2015-06-01,BFTH,BUY,659.0,1.5107549999999998,995.5875449999999,6.99117509,cash_deploy_current_basket
2015-06-01,HELI,BUY,197.0,5.032515,991.405455,6.9828109099999995,cash_deploy_current_basket
2015-06-01,EAST,BUY,280.0,3.5517749999999997,994.497,6.988994,cash_deploy_current_basket
