date,symbol,action,shares,price,value,fee,reason
2025-01-02,TMGH,BUY,195.0,56.028,10925.46,26.85092,annual_rebalance_buy
2025-01-02,PHDC,BUY,1676.0,6.54327,10966.52052,26.93304104,annual_rebalance_buy
2025-01-02,JUFO,BUY,327.0,33.516749999999995,10959.977249999998,26.919954499999996,annual_rebalance_buy
2025-01-02,GBCO,BUY,640.0,17.138565,10968.6816,26.9373632,annual_rebalance_buy
2025-01-02,EMFD,BUY,1450.0,7.5637799999999995,10967.481,26.934962,annual_rebalance_buy
2025-01-02,ARCC,BUY,645.0,17.008499999999998,10970.482499999998,26.940965,annual_rebalance_buy
2025-01-02,EGAL,BUY,94.0,115.51772999999999,10858.666619999998,26.717333239999995,annual_rebalance_buy
2025-01-02,ORAS,BUY,38.0,284.64225,10816.405499999999,26.632810999999997,annual_rebalance_buy
2025-01-02,FWRY,BUY,1282.0,8.554275,10966.58055,26.933161100000003,annual_rebalance_buy
2025-01-02,EAST,BUY,371.0,29.51475,10949.972249999999,26.899944499999997,annual_rebalance_buy
2025-01-05,PHDC,BUY,4.0,6.94347,27.77388,5.05554776,cash_deploy_current_basket
2025-01-05,GBCO,BUY,1.0,17.8089,17.8089,5.0356178,cash_deploy_current_basket
2025-01-05,EMFD,BUY,4.0,7.66383,30.65532,5.06131064,cash_deploy_current_basket
2025-01-05,ARCC,BUY,1.0,16.90845,16.90845,5.0338169,cash_deploy_current_basket
2025-01-05,FWRY,BUY,3.0,8.64432,25.93296,5.05186592,cash_deploy_current_basket
2025-01-05,EAST,BUY,1.0,29.244615,29.244615,5.05848923,cash_deploy_current_basket
2025-01-06,PHDC,BUY,2.0,7.063529999999999,14.127059999999998,5.02825412,cash_deploy_current_basket
2025-01-06,EMFD,BUY,1.0,7.753875,7.753875,5.01550775,cash_deploy_current_basket
2025-01-06,FWRY,BUY,1.0,8.814405,8.814405,5.01762881,cash_deploy_current_basket
2025-01-08,PHDC,BUY,1.0,7.153575,7.153575,5.01430715,cash_deploy_current_basket
2025-01-08,EMFD,BUY,1.0,7.603799999999999,7.603799999999999,5.0152076,cash_deploy_current_basket
2025-01-08,FWRY,BUY,1.0,9.054525,9.054525,5.01810905,cash_deploy_current_basket
2025-01-14,PHDC,BUY,1.0,6.52326,6.52326,5.01304652,cash_deploy_current_basket
2025-02-02,TMGH,BUY,18.0,54.697334999999995,984.55203,6.969104059999999,cash_deploy_current_basket
2025-02-02,PHDC,BUY,153.0,6.553274999999999,1002.6510749999999,7.00530215,cash_deploy_current_basket
2025-02-02,JUFO,BUY,28.0,35.047515,981.3304199999999,6.96266084,cash_deploy_current_basket
2025-02-02,GBCO,BUY,59.0,16.758374999999997,988.7441249999998,6.9774882499999995,cash_deploy_current_basket
2025-02-02,EMFD,BUY,144.0,6.933464999999999,998.4189599999999,6.99683792,cash_deploy_current_basket
2025-02-02,ARCC,BUY,49.0,20.080035,983.921715,6.96784343,cash_deploy_current_basket
2025-02-02,EGAL,BUY,6.0,152.97645,917.8587,6.8357174,cash_deploy_current_basket
2025-02-02,ORAS,BUY,3.0,263.701785,791.1053549999999,6.58221071,cash_deploy_current_basket
2025-02-02,FWRY,BUY,116.0,8.604299999999999,998.0987999999999,6.9961975999999995,cash_deploy_current_basket
2025-02-02,EAST,BUY,34.0,29.144564999999997,990.9152099999999,6.98183042,cash_deploy_current_basket
2025-02-03,PHDC,BUY,5.0,6.513254999999999,32.566275,5.06513255,cash_deploy_current_basket
2025-02-03,GBCO,BUY,2.0,16.618305,33.23661,5.06647322,cash_deploy_current_basket
2025-02-03,EMFD,BUY,5.0,6.86343,34.31715,5.0686343,cash_deploy_current_basket
2025-02-03,ARCC,BUY,1.0,20.060025,20.060025,5.04012005,cash_deploy_current_basket
2025-02-03,FWRY,BUY,4.0,8.474235,33.89694,5.06779388,cash_deploy_current_basket
2025-02-03,EAST,BUY,1.0,28.524255,28.524255,5.05704851,cash_deploy_current_basket
2025-02-04,PHDC,BUY,2.0,6.34317,12.68634,5.02537268,cash_deploy_current_basket
2025-02-04,EMFD,BUY,1.0,6.833415,6.833415,5.01366683,cash_deploy_current_basket
2025-02-04,FWRY,BUY,1.0,8.334165,8.334165,5.01666833,cash_deploy_current_basket
2025-02-05,PHDC,BUY,1.0,6.4032,6.4032,5.0128064,cash_deploy_current_basket
2025-02-05,EMFD,BUY,1.0,6.86343,6.86343,5.01372686,cash_deploy_current_basket
2025-02-05,FWRY,BUY,1.0,8.4042,8.4042,5.0168084,cash_deploy_current_basket
2025-03-02,TMGH,BUY,18.0,54.026999999999994,972.4859999999999,6.944972,cash_deploy_current_basket
2025-03-02,PHDC,BUY,160.0,6.253125,1000.5,7.0009999999999994,cash_deploy_current_basket
2025-03-02,JUFO,BUY,28.0,35.79789,1002.3409200000001,7.00468184,cash_deploy_current_basket
2025-03-02,GBCO,BUY,59.0,16.958475,1000.550025,7.00110005,cash_deploy_current_basket
2025-03-02,EMFD,BUY,130.0,7.6738349999999995,997.5985499999999,6.9951971,cash_deploy_current_basket
2025-03-02,ARCC,BUY,43.0,23.011499999999998,989.4944999999999,6.978989,cash_deploy_current_basket
2025-03-02,EGAL,BUY,6.0,158.05899,948.35394,6.89670788,cash_deploy_current_basket
