date,symbol,action,shares,price,value,fee,reason
2025-01-05,EMFD,BUY,14323.0,7.66383,109769.03709,224.53807418,pullback_signal_buy
2025-02-03,PHDC,BUY,1532.0,6.513254999999999,9978.306659999998,24.95661332,pullback_signal_buy
2025-03-02,PHDC,BUY,797.0,6.253125,4983.740624999999,14.967481249999999,pullback_signal_buy
2025-03-02,FWRY,BUY,623.0,8.004,4986.491999999999,14.972983999999999,pullback_signal_buy
2025-04-03,JUFO,BUY,151.0,33.0165,4985.4915,14.970983,pullback_signal_buy
2025-04-03,ARCC,BUY,219.0,22.681335,4967.212365,14.934424730000002,pullback_signal_buy
2025-05-04,JUFO,BUY,318.0,31.415699999999998,9990.192599999998,24.980385199999997,pullback_signal_buy
2025-06-01,EGAL,BUY,31.0,156.078,4838.418,14.676836,pullback_signal_buy
2025-06-01,EAST,BUY,149.0,33.366675,4971.634575,14.94326915,pullback_signal_buy
2025-06-02,EAST,BUY,4.0,32.626304999999995,130.50521999999998,5.26101044,pullback_signal_buy
2025-06-17,EMFD,BUY,1.0,8.854424999999999,8.854424999999999,5.01770885,pullback_signal_buy
2025-06-22,EMFD,BUY,1.0,8.88444,8.88444,5.01776888,pullback_signal_buy
2025-07-06,GBCO,BUY,455.0,21.910949999999996,9969.48225,24.938964499999997,pullback_signal_buy
2025-08-03,TMGH,BUY,93.0,53.326649999999994,4959.378449999999,14.918756899999998,pullback_signal_buy
2025-08-03,PHDC,BUY,601.0,8.294144999999999,4984.781144999999,14.969562289999999,pullback_signal_buy
2025-08-04,PHDC,BUY,1.0,8.154075,8.154075,5.01630815,pullback_signal_buy
2025-08-05,PHDC,BUY,1.0,8.234115,8.234115,5.01646823,pullback_signal_buy
2025-09-01,PHDC,BUY,1294.0,7.713855,9981.728369999999,24.963456739999998,pullback_signal_buy
2025-11-20,EMFD,BUY,2101.0,9.494745,19948.459245,44.89691849,pullback_signal_buy
2025-12-07,GBCO,BUY,189.0,26.273130000000002,4965.62157,14.931243140000001,pullback_signal_buy
2025-12-07,EMFD,BUY,544.0,9.154575,4980.0887999999995,14.9601776,pullback_signal_buy
2025-12-09,EMFD,BUY,2.0,9.714855,19.42971,5.03885942,pullback_signal_buy
2026-01-04,ARCC,SELL,219.0,50.7746,11119.6374,22.2392748,annual_rebalance_exit
2026-01-04,EAST,SELL,153.0,37.081450000000004,5673.461850000001,11.346923700000001,annual_rebalance_exit
2026-01-04,EGAL,SELL,31.0,235.38225,7296.84975,14.593699500000001,annual_rebalance_exit
2026-01-04,EMFD,SELL,16972.0,9.69515,164546.0858,329.09217160000003,annual_rebalance_exit
2026-01-04,FWRY,SELL,623.0,16.11194,10037.73862,20.07547724,annual_rebalance_exit
2026-01-04,GBCO,SELL,644.0,26.986500000000003,17379.306,34.758612,annual_rebalance_exit
2026-01-04,JUFO,SELL,469.0,25.267360000000004,11850.391840000002,23.700783680000004,annual_rebalance_exit
2026-01-04,PHDC,SELL,4226.0,8.605695,36367.66707,72.73533414,annual_rebalance_exit
2026-01-04,TMGH,SELL,93.0,79.96000000000001,7436.280000000001,14.872560000000002,annual_rebalance_exit
2026-01-04,ORAS,BUY,652.0,430.215,280500.18,566.00036,pullback_signal_buy
2026-01-08,FWRY,BUY,1.0,15.707849999999999,15.707849999999999,5.0314157,pullback_signal_buy
2026-01-08,ISPH,BUY,1.0,11.0055,11.0055,5.022011,pullback_signal_buy
2026-01-11,ISPH,BUY,1.0,10.90545,10.90545,5.0218109,pullback_signal_buy
2026-01-11,CCAP,BUY,4.0,3.62181,14.48724,5.02897448,pullback_signal_buy
2026-01-12,CCAP,BUY,1.0,3.6118049999999995,3.6118049999999995,5.00722361,pullback_signal_buy
2026-01-13,CCAP,BUY,1.0,3.5717849999999998,3.5717849999999998,5.00714357,pullback_signal_buy
2026-02-01,ARCC,BUY,107.0,46.423199999999994,4967.282399999999,14.934564799999999,pullback_signal_buy
2026-02-01,CCAP,BUY,1485.0,3.36168,4992.0948,14.9841896,pullback_signal_buy
2026-02-11,CCAP,BUY,2.0,3.38169,6.76338,5.01352676,pullback_signal_buy
2026-03-01,EGAL,BUY,21.0,229.1145,4811.4045,14.622809,pullback_signal_buy
2026-03-01,GBCO,BUY,174.0,28.564275,4970.183849999999,14.9403677,pullback_signal_buy
2026-03-02,GBCO,BUY,1.0,27.8139,27.8139,5.0556278,pullback_signal_buy
2026-03-02,FWRY,BUY,2.0,17.78889,35.57778,5.07115556,pullback_signal_buy
2026-03-02,ISPH,BUY,4.0,11.215605,44.86242,5.08972484,pullback_signal_buy
2026-03-03,FWRY,BUY,1.0,17.708849999999998,17.708849999999998,5.0354177,pullback_signal_buy
2026-03-03,ISPH,BUY,1.0,11.58579,11.58579,5.02317158,pullback_signal_buy
2026-03-04,CCAP,BUY,1.0,3.2516249999999998,3.2516249999999998,5.00650325,pullback_signal_buy
2026-04-01,MCQE,BUY,19.0,167.413665,3180.8596350000003,11.361719270000002,pullback_signal_buy
2026-04-01,FWRY,BUY,194.0,17.10855,3319.0587,11.6381174,pullback_signal_buy
2026-04-01,EGCH,BUY,293.0,11.355675,3327.212775,11.65442555,pullback_signal_buy
2026-04-02,GBCO,BUY,1.0,25.0125,25.0125,5.050025,pullback_signal_buy
2026-04-02,ISPH,BUY,2.0,10.16508,20.33016,5.04066032,pullback_signal_buy
2026-04-02,EGCH,BUY,2.0,11.415704999999999,22.831409999999998,5.04566282,pullback_signal_buy
2026-04-05,EGCH,BUY,3.0,11.235615,33.706845,5.06741369,pullback_signal_buy
