date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111687.94922954,110000.0,111920.07777500001,1.0
2019-02-14,111369.32855427002,109720.58917956,114846.07777500001,1.026143790849673
2019-02-19,113541.82855427002,109720.58917956,114187.727775,1.0202614379084967
2019-02-21,114038.12855427,109720.58917956,116821.12777500002,1.0437908496732027
2019-02-28,115160.30855426998,109720.58917956,113456.227775,1.0137254901960784
2019-04-17,123187.29826813,119648.05821116001,125040.58575218002,1.0281045751633986
2019-05-21,123427.48000679,115920.26293101998,122077.29628838,0.9281045751633986
2019-07-09,138466.53278888002,127659.99034695,137930.41830918004,0.9751633986928104
2019-07-11,136143.35278888003,134986.40030695,137560.65830918003,0.9725490196078431
2019-08-21,144145.86101414,129366.21578713,151056.62032998,0.9980392156862744
2019-08-22,143838.08101414,129240.71578713,150364.18032998,0.9934640522875816
2019-08-28,145552.74101414002,129416.15578713,148385.78032998,0.9803921568627451
2019-09-02,158377.04704551003,139315.64304301998,166806.43285498003,1.0326797385620916
2019-09-04,154914.14154331002,137696.89304301998,167545.42285498002,1.0372549019607842
2019-09-09,156669.44809192998,138490.30304302,166700.86285498002,1.0320261437908496
2019-09-17,155194.34644127,138856.81304302,167123.14285498002,1.0346405228758169
2019-09-23,141619.81594107,125767.31304302001,155827.15285498003,0.9647058823529411
2019-10-24,155646.21105709003,147988.23068804003,167616.98263688,0.9758169934640523
2019-10-27,156340.07105709,148222.13068803996,168627.32263688,0.9816993464052287
2019-10-28,156704.84105709,148634.12068803998,168964.10263688004,0.9836601307189542
2019-10-30,157975.46105709003,149052.33068804,171658.34263688,0.9993464052287581
2019-10-31,160128.17105709002,157848.78068804,171770.60263688004,1.0
2019-11-03,170868.80930336,168151.81068804004,182927.56815108002,1.0058823529411764
2019-11-04,170806.54930336,168031.03286892,183759.58815108,1.0104575163398692
2019-11-20,167250.82930336,174887.63286892002,180431.50815108002,0.992156862745098
2019-11-21,166707.11930336003,174618.72286892004,179480.62815108002,0.9869281045751633
2019-11-27,161543.39930336,164655.91286892004,173775.34815108,0.9555555555555555
2019-12-03,166483.32108905003,172578.53964961998,180506.60618628,0.937908496732026
2019-12-25,168320.82108905003,173337.41964961993,183902.66618628,0.9555555555555555
2019-12-30,171636.63108905003,175293.12964962,184028.44618628002,0.9562091503267974
2019-12-31,469932.28108904994,2000279.4696496201,185663.58618628,0.9647058823529411
2020-01-02,179299.99849893,175907.89546772005,195743.89871128,0.9660130718954247
