rebalance_date,symbol,days,present_days,missing_days,coverage
2019-02-05,CCAP,31,31,0,1.0
2019-02-05,ORHD,31,31,0,1.0
2019-02-05,VLMR,31,31,0,1.0
2019-02-05,ISPH,31,31,0,1.0
2019-02-05,ETEL,31,31,0,1.0
2019-02-05,COMI,31,31,0,1.0
2019-02-05,TMGH,31,31,0,1.0
2019-02-05,RAYA,31,27,4,0.8709677419354839
2019-02-05,HRHO,31,31,0,1.0
2019-02-05,JUFO,31,31,0,1.0
2020-01-02,RAYA,60,56,4,0.9333333333333333
2020-01-02,COMI,60,59,1,0.9833333333333333
2020-01-02,HELI,60,60,0,1.0
2020-01-02,EAST,60,60,0,1.0
2020-01-02,VLMR,60,60,0,1.0
2020-01-02,HRHO,60,60,0,1.0
2020-01-02,ISPH,60,60,0,1.0
2020-01-02,ADIB,60,60,0,1.0
2020-01-02,EFID,60,57,3,0.95
2020-01-02,ORHD,60,60,0,1.0
2021-01-04,FWRY,195,195,0,1.0
2021-01-04,RAYA,195,195,0,1.0
2021-01-04,MCQE,195,195,0,1.0
2021-01-04,ETEL,195,195,0,1.0
2021-01-04,OIH,195,191,4,0.9794871794871794
2021-01-04,ABUK,195,195,0,1.0
2021-01-04,ADIB,195,195,0,1.0
2021-01-04,ORWE,195,195,0,1.0
2021-01-04,GBCO,195,195,0,1.0
2021-01-04,ARCC,195,195,0,1.0
2022-01-02,RAYA,232,232,0,1.0
2022-01-02,EGAL,232,232,0,1.0
2022-01-02,GBCO,232,232,0,1.0
2022-01-02,PHDC,232,232,0,1.0
2022-01-02,ARCC,232,228,4,0.9827586206896551
2022-01-02,MCQE,232,232,0,1.0
2022-01-02,ETEL,232,232,0,1.0
2022-01-02,TMGH,232,232,0,1.0
2022-01-02,JUFO,232,232,0,1.0
2022-01-02,ADIB,232,232,0,1.0
2023-01-02,ABUK,242,242,0,1.0
2023-01-02,AMOC,242,242,0,1.0
2023-01-02,MCQE,242,242,0,1.0
2023-01-02,CCAP,242,242,0,1.0
2023-01-02,EGCH,242,242,0,1.0
2023-01-02,ARCC,242,242,0,1.0
2023-01-02,ETEL,242,242,0,1.0
2023-01-02,HRHO,242,242,0,1.0
2023-01-02,JUFO,242,242,0,1.0
2023-01-02,EGAL,242,240,2,0.9917355371900827
2024-01-02,BFTH,242,242,0,1.0
2024-01-02,EFID,242,242,0,1.0
2024-01-02,TMGH,242,242,0,1.0
2024-01-02,EGCH,242,242,0,1.0
2024-01-02,ABUK,242,242,0,1.0
2024-01-02,EGAL,242,242,0,1.0
2024-01-02,ORAS,242,242,0,1.0
2024-01-02,JUFO,242,242,0,1.0
2024-01-02,EAST,242,242,0,1.0
2024-01-02,ARCC,242,242,0,1.0
2025-01-02,TMGH,243,233,10,0.9588477366255144
2025-01-02,PHDC,243,233,10,0.9588477366255144
2025-01-02,JUFO,243,233,10,0.9588477366255144
2025-01-02,GBCO,243,233,10,0.9588477366255144
2025-01-02,EMFD,243,233,10,0.9588477366255144
2025-01-02,ARCC,243,233,10,0.9588477366255144
2025-01-02,EGAL,243,233,10,0.9588477366255144
2025-01-02,ORAS,243,233,10,0.9588477366255144
2025-01-02,FWRY,243,232,11,0.9547325102880658
2025-01-02,EAST,243,232,11,0.9547325102880658
2026-01-04,MCQE,61,60,1,0.9836065573770492
2026-01-04,ARCC,61,60,1,0.9836065573770492
2026-01-04,EGAL,61,60,1,0.9836065573770492
2026-01-04,ETEL,61,60,1,0.9836065573770492
2026-01-04,GBCO,61,60,1,0.9836065573770492
2026-01-04,FWRY,61,60,1,0.9836065573770492
2026-01-04,ISPH,61,60,1,0.9836065573770492
2026-01-04,CCAP,61,60,1,0.9836065573770492
2026-01-04,EGCH,61,60,1,0.9836065573770492
2026-01-04,ORAS,61,60,1,0.9836065573770492
