family,number,value,param_cci_len,param_rsi_len,param_rsi_signal,param_cci_entry,param_cci_exit,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_cci_rsi,0,0.4808266517452285,13,21,8,-100.0,145.0,171,3.6,1.9000000000000001
blackcat_cci_rsi,1,-0.30299239568478104,31,9,5,-150.0,20.0,98,3.6,1.6
blackcat_cci_rsi,2,1.2174323252134536,15,20,5,-110.0,195.0,73,4.0,0.5
blackcat_cci_rsi,3,0.6477171353904836,36,16,7,-10.0,105.0,80,3.2,1.5
blackcat_cci_rsi,4,0.6490853171004226,10,20,8,-5.0,150.0,94,2.4000000000000004,2.3
blackcat_cci_rsi,5,-0.3236992829328481,26,9,4,-95.0,25.0,111,2.9000000000000004,3.9000000000000004
blackcat_cci_rsi,6,0.43080760054635947,14,13,7,-105.0,30.0,142,1.4,2.5
blackcat_cci_rsi,7,2.225300084637661,21,6,7,-50.0,135.0,82,4.9,0.7
blackcat_cci_rsi,8,0.25657549057507867,37,18,5,-10.0,90.0,110,4.6,3.2
blackcat_cci_rsi,9,0.550693975651289,34,19,6,-105.0,90.0,132,3.4000000000000004,2.3
blackcat_cci_rsi,10,1.935468651345675,21,6,9,-50.0,200.0,55,5.0,0.6
blackcat_cci_rsi,11,2.1531691456432265,21,5,10,-45.0,200.0,56,4.9,0.6
blackcat_cci_rsi,12,0.9060338978646145,21,5,10,-50.0,160.0,55,4.4,1.0
blackcat_cci_rsi,13,0.9660470754213936,21,8,10,-45.0,125.0,197,4.9,1.0
blackcat_cci_rsi,14,2.773554154747569,27,12,3,-75.0,175.0,73,4.2,1.0
blackcat_cci_rsi,15,2.712580332708124,27,12,3,-70.0,170.0,83,4.2,1.2000000000000002
blackcat_cci_rsi,16,2.7780300499334305,28,13,3,-75.0,170.0,147,4.1,1.3
blackcat_cci_rsi,17,0.10712849730219615,30,16,3,-75.0,55.0,150,2.7,1.8
blackcat_cci_rsi,18,0.666849902307433,40,12,4,-135.0,175.0,166,2.1,3.0
blackcat_cci_rsi,19,0.4199460937186906,30,14,3,-85.0,115.0,120,3.9000000000000004,1.3
blackcat_cci_rsi,20,0.05557384926522471,24,11,4,-25.0,70.0,161,3.9000000000000004,2.0
blackcat_cci_rsi,21,2.564743744510867,26,11,3,-70.0,175.0,71,4.300000000000001,1.1
blackcat_cci_rsi,22,2.4781201434753153,28,15,3,-70.0,170.0,90,4.2,1.3
blackcat_cci_rsi,23,1.5701146911893442,33,11,4,-120.0,180.0,134,4.5,1.0
blackcat_cci_rsi,24,2.0687623984626904,24,13,3,-85.0,155.0,184,3.6,1.4
blackcat_cci_rsi,25,1.2228294447767387,29,10,4,-65.0,130.0,115,4.1,1.7000000000000002
blackcat_cci_rsi,26,1.6366824079642592,17,14,6,-30.0,190.0,68,4.6,0.8
blackcat_cci_rsi,27,-0.22101499688259285,27,13,5,-85.0,0.0,102,3.2,2.6
blackcat_cci_rsi,28,1.7659300142497907,23,17,3,-120.0,165.0,125,1.3,1.1
blackcat_cci_rsi,29,0.6559263386469895,32,8,4,-65.0,145.0,153,3.7,2.0
blackcat_cci_rsi,30,2.177935138669312,18,12,3,-60.0,140.0,177,1.8,0.8
blackcat_cci_rsi,31,2.470539230374813,27,11,3,-75.0,180.0,78,4.300000000000001,1.2000000000000002
blackcat_cci_rsi,32,1.1899050132436932,25,10,4,-95.0,185.0,66,3.8000000000000003,1.6
