family,number,value,param_stoch_len,param_kd_smooth,param_mom_fast,param_mom_slow,param_mom_signal,param_trend_len,param_atr_stop,param_atr_trail
blackcat_dynamic_momentum,0,1.6568118946169466,75,7,18,41,4,77,1.2,3.6
blackcat_dynamic_momentum,1,1.017529182243272,100,6,8,54,12,86,1.7000000000000002,1.1
blackcat_dynamic_momentum,2,3.1091810345022446,67,5,14,31,9,75,2.1,1.8
blackcat_dynamic_momentum,3,0.8317984544967059,84,6,10,38,9,61,3.4000000000000004,1.1
blackcat_dynamic_momentum,4,0.7630755776896209,41,7,21,49,6,69,3.8000000000000003,2.0
blackcat_dynamic_momentum,5,1.4202740491772783,47,4,8,52,5,151,2.2,2.3
blackcat_dynamic_momentum,6,1.670126237229974,94,3,21,48,13,185,3.4000000000000004,3.8000000000000003
blackcat_dynamic_momentum,7,1.2206513575694398,43,3,8,32,7,94,4.300000000000001,1.7000000000000002
blackcat_dynamic_momentum,8,2.265117510953072,65,5,9,49,3,199,4.1,1.2000000000000002
blackcat_dynamic_momentum,9,1.7355263473083269,34,6,17,46,11,65,2.4000000000000004,0.9
blackcat_dynamic_momentum,10,0.6554230765429736,130,2,13,21,9,119,4.9,2.9000000000000004
blackcat_dynamic_momentum,11,2.3875371374901655,66,5,13,28,3,186,2.8,0.5
blackcat_dynamic_momentum,12,3.386106659544468,68,5,13,28,10,155,2.6,2.6
blackcat_dynamic_momentum,13,3.0898789621548612,111,4,15,28,10,146,2.0,2.8000000000000003
blackcat_dynamic_momentum,14,2.4321392204860004,58,5,12,22,8,110,1.3,2.7
blackcat_dynamic_momentum,15,2.9404852591952517,79,4,16,34,11,151,2.7,3.3000000000000003
blackcat_dynamic_momentum,16,3.818414169539194,56,6,11,26,8,135,3.2,1.8
blackcat_dynamic_momentum,17,3.781507037318745,54,6,11,25,7,136,3.3000000000000003,2.3
blackcat_dynamic_momentum,18,3.534382990956253,50,7,11,24,7,133,3.3000000000000003,1.5
blackcat_dynamic_momentum,19,3.7352853395808383,54,6,11,25,6,105,4.800000000000001,2.2
blackcat_dynamic_momentum,20,1.5403364560132002,131,6,10,37,7,135,3.1,3.2
blackcat_dynamic_momentum,21,3.3006466802093106,55,6,11,25,5,104,5.0,2.3
blackcat_dynamic_momentum,22,2.7947034916913895,58,7,11,25,6,121,4.5,2.1
blackcat_dynamic_momentum,23,1.7543500123093247,36,6,10,29,8,168,4.5,2.4000000000000004
blackcat_dynamic_momentum,24,3.4845742747636477,51,7,12,24,6,138,3.8000000000000003,1.9000000000000001
blackcat_dynamic_momentum,25,1.2667159069494753,144,6,14,34,5,106,3.9000000000000004,1.6
blackcat_dynamic_momentum,26,1.6765144406326569,76,6,12,21,7,165,3.6,2.5
blackcat_dynamic_momentum,27,2.396235222502503,61,5,9,26,8,122,3.0,1.4
blackcat_dynamic_momentum,28,1.9970185763888393,94,7,19,42,4,98,4.7,2.1
blackcat_dynamic_momentum,29,2.31358329214591,73,7,15,31,4,84,1.6,3.1
blackcat_dynamic_momentum,30,2.8509196287425613,83,6,9,42,8,163,3.0,3.4000000000000004
blackcat_dynamic_momentum,31,3.7389602816644523,49,7,11,23,7,133,3.3000000000000003,1.4
blackcat_dynamic_momentum,32,3.074257700591545,44,7,11,23,6,127,4.1,1.3
blackcat_dynamic_momentum,33,3.7762967714727473,52,6,12,26,7,112,3.2,0.8
blackcat_dynamic_momentum,34,2.6191525566855747,41,7,12,27,9,142,3.2,0.7
blackcat_dynamic_momentum,35,1.4153110744641277,70,6,10,30,7,113,3.5,0.9
blackcat_dynamic_momentum,36,2.8544936203931246,107,7,13,34,9,130,2.9000000000000004,0.9
blackcat_dynamic_momentum,37,2.6556129408710287,62,5,9,23,8,117,2.5,1.8
blackcat_dynamic_momentum,38,2.8069489192609307,49,6,14,26,5,55,3.6,1.1
blackcat_dynamic_momentum,39,1.4954555088446766,38,7,10,36,10,91,2.3,0.6
blackcat_dynamic_momentum,40,2.506467765661501,46,5,8,40,7,127,3.8000000000000003,1.7000000000000002
blackcat_dynamic_momentum,41,2.4426112103676894,53,6,11,32,6,76,3.3000000000000003,2.2
blackcat_dynamic_momentum,42,3.1670856771155913,56,6,12,23,6,103,4.0,1.9000000000000001
blackcat_dynamic_momentum,43,2.966374734620994,63,6,10,26,7,142,2.0,1.4
blackcat_dynamic_momentum,44,2.2577599338301475,42,5,13,21,8,114,4.300000000000001,2.0
blackcat_dynamic_momentum,45,0.7818114117807063,46,2,11,29,6,87,1.0,3.9000000000000004
blackcat_dynamic_momentum,46,0.9806818365737399,53,4,12,27,7,155,3.6,1.1
blackcat_dynamic_momentum,47,1.8721983648812293,72,3,9,53,9,99,2.7,1.6
blackcat_dynamic_momentum,48,2.4956917800916125,88,6,14,24,5,126,3.4000000000000004,2.6
blackcat_dynamic_momentum,49,2.1709032397454107,66,5,11,22,8,109,3.1,0.8
blackcat_dynamic_momentum,50,3.387203226358791,59,7,13,32,13,139,2.8,2.9000000000000004
blackcat_dynamic_momentum,51,3.8011981002637003,49,7,11,25,7,133,3.4000000000000004,1.5
blackcat_dynamic_momentum,52,3.3958445232117427,39,7,10,25,6,148,3.3000000000000003,1.3
blackcat_dynamic_momentum,53,3.8553444877059273,48,6,12,27,7,133,3.5,1.8
blackcat_dynamic_momentum,54,2.8505506194294714,35,7,12,29,7,158,3.7,1.8
blackcat_dynamic_momentum,55,3.6505392199961064,48,6,13,27,8,133,3.2,1.6
blackcat_dynamic_momentum,56,3.5490941215765592,51,7,12,22,7,146,3.5,2.0
blackcat_dynamic_momentum,57,3.1972088738364097,57,6,15,30,7,122,2.9000000000000004,1.2000000000000002
blackcat_dynamic_momentum,58,2.493371663338697,41,7,20,45,9,177,3.1,1.5
blackcat_dynamic_momentum,59,3.5984814594182994,48,6,17,28,8,135,3.4000000000000004,2.4000000000000004
blackcat_dynamic_momentum,60,0.31394593827119394,34,4,11,24,8,131,3.7,0.5
blackcat_dynamic_momentum,61,3.713653476820958,53,6,11,25,6,118,3.2,2.2
blackcat_dynamic_momentum,62,2.675646288846597,60,5,10,26,7,124,4.800000000000001,1.7000000000000002
blackcat_dynamic_momentum,63,2.580016169633058,44,6,12,23,6,142,2.6,2.3
blackcat_dynamic_momentum,64,3.6675484658872497,55,7,11,27,7,138,4.2,1.9000000000000001
blackcat_dynamic_momentum,65,1.1602559061279412,67,6,9,21,5,112,3.9000000000000004,2.1
blackcat_dynamic_momentum,66,2.6558208049075587,78,5,10,25,7,151,4.5,1.4
blackcat_dynamic_momentum,67,2.76000038346434,64,6,8,28,8,117,2.9000000000000004,1.0
blackcat_dynamic_momentum,68,4.1526882239816985,121,7,12,24,6,130,3.5,2.4000000000000004
blackcat_dynamic_momentum,69,3.985963193106663,116,7,14,22,9,130,3.5,2.5
blackcat_dynamic_momentum,70,4.253246089536434,121,7,14,22,9,127,3.5,2.5
blackcat_dynamic_momentum,71,3.5348727917853817,123,7,14,22,10,128,3.5,2.5
blackcat_dynamic_momentum,72,2.895778422207554,122,7,16,24,9,138,3.6,2.8000000000000003
blackcat_dynamic_momentum,73,3.661925805122257,118,7,13,22,11,131,3.7,2.7
blackcat_dynamic_momentum,74,2.3380048551552175,130,7,16,24,9,123,3.4000000000000004,2.4000000000000004
blackcat_dynamic_momentum,75,2.3335946074472687,137,7,14,26,10,145,3.1,3.0
blackcat_dynamic_momentum,76,3.990274321643335,116,7,15,21,8,134,3.9000000000000004,2.6
blackcat_dynamic_momentum,77,4.224021457106499,106,7,15,21,8,137,3.5,2.6
blackcat_dynamic_momentum,78,4.214687158404662,108,7,15,21,9,142,3.9000000000000004,2.6
blackcat_dynamic_momentum,79,4.214687158404662,109,7,15,21,9,141,4.0,2.6
