family,number,value,param_stoch_len,param_kd_smooth,param_j_smooth,param_trigger_len,param_trend_ma,param_oversold,param_atr_stop,param_atr_trail
blackcat_superj,0,0.8728622713811068,9,5,5,6,170,13.0,4.5,2.1
blackcat_superj,1,0.4645947123518709,23,3,3,4,119,24.0,2.8,2.6
blackcat_superj,2,-0.2404288216244988,17,3,4,7,74,5.0,1.3,1.2000000000000002
blackcat_superj,3,1.0090215044696766,23,4,7,9,103,14.0,2.6,2.9000000000000004
blackcat_superj,4,1.0282562158048332,12,5,3,9,77,25.0,2.0,3.2
blackcat_superj,5,-0.1134714570002216,16,4,10,13,79,13.0,1.3,2.9000000000000004
blackcat_superj,6,0.19685339139166935,26,5,5,5,60,14.0,4.9,2.5
blackcat_superj,7,1.1002345447917077,32,4,8,7,199,15.0,1.5,3.7
blackcat_superj,8,0.014267750501932921,10,2,6,3,155,14.0,3.9000000000000004,2.6
blackcat_superj,9,1.0860673721382235,33,2,7,9,106,13.0,1.0,3.4000000000000004
blackcat_superj,10,1.10040968235036,34,4,9,12,200,20.0,3.6,4.0
blackcat_superj,11,1.0587126533398084,34,4,9,13,187,21.0,3.7,4.0
blackcat_superj,12,0.9659213445341994,29,4,9,11,195,30.0,3.5,4.0
blackcat_superj,13,1.0769007841490006,30,3,8,11,150,19.0,2.0,1.7000000000000002
blackcat_superj,14,0.8654846230970737,29,4,10,11,199,8.0,2.1,3.6
blackcat_superj,15,1.4520134185125977,32,3,8,7,174,18.0,3.2,0.5
blackcat_superj,16,1.2304199657278212,26,3,8,8,171,22.0,3.3000000000000003,0.6
blackcat_superj,17,1.2152413629958752,26,2,8,8,142,24.0,3.1,0.5
blackcat_superj,18,0.4639024577196935,19,3,6,6,173,28.0,4.300000000000001,0.5
blackcat_superj,19,0.9374190827765262,26,3,7,8,172,18.0,3.2,1.0
blackcat_superj,20,0.8229900530716489,21,2,8,10,138,10.0,2.4000000000000004,0.9
blackcat_superj,21,0.9552551888448163,26,2,8,8,154,24.0,3.2,0.5
blackcat_superj,22,1.0158791219423828,27,2,9,7,137,21.0,3.0,1.4
blackcat_superj,23,1.3069828254966278,31,3,8,6,179,26.0,4.1,0.8
blackcat_superj,24,1.1474873106073584,31,3,7,6,182,27.0,4.2,0.8
blackcat_superj,25,1.1337456476653947,28,3,6,5,164,22.0,4.7,1.6
blackcat_superj,26,1.5709777786577293,31,3,10,5,181,17.0,3.9000000000000004,1.9000000000000001
blackcat_superj,27,1.7225285239807253,31,3,10,3,184,17.0,4.0,2.0
