date,core_satellite_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111727.15410051003,111394.21354325999,111394.21354325999,111920.07777500001,1.0
2019-02-14,114340.16410051001,113273.56354326001,113273.56354326001,114846.07777500001,1.026143790849673
2019-02-19,114017.66410051001,113736.61354326,113736.61354326,114187.727775,1.0202614379084967
2019-02-21,115812.22410051001,113569.95354326001,113569.95354326001,116821.12777500002,1.0437908496732027
2019-02-28,113343.92410051,113195.98354326,113195.98354326,113456.227775,1.0137254901960784
2019-04-17,122947.92988376002,118279.77987677,118279.77987677,125040.58575218002,1.0281045751633986
2019-05-21,119852.06090012,114942.49331712001,114942.49331712001,122077.29628838,0.9281045751633986
2019-07-09,135168.17032384002,129146.64878627002,129146.64878627002,137930.41830918004,0.9751633986928104
2019-07-11,133922.85032384002,125829.57878627002,125829.57878627002,137560.65830918003,0.9725490196078431
2019-08-21,146073.84675836,134961.82106016,134961.82106016,151056.62032998,0.9980392156862744
2019-08-22,145392.85675836,134302.64106016,134302.64106016,150364.18032998,0.9934640522875816
2019-08-28,143815.67675836,133655.51106015997,133655.51106015997,148385.78032998,0.9803921568627451
2019-09-02,160744.13460645,147249.40069398005,147249.40069398005,166806.43285498003,1.0326797385620916
2019-09-04,160584.51460645,144972.17069398,144972.17069398,167545.42285498002,1.0372549019607842
2019-09-09,160292.65460645,145987.06069398002,145987.06069398002,166700.86285498002,1.0320261437908496
2019-09-17,159829.47460645,143424.64069398,143424.64069398,167123.14285498002,1.0346405228758169
2019-09-23,147915.67460645002,129924.28069397999,129924.28069397999,155827.15285498003,0.9647058823529411
2019-10-24,159796.86301276,142162.23891524,142162.23891524,167616.98263688,0.9758169934640523
2019-10-27,160676.34301276001,142743.18891524003,142743.18891524003,168627.32263688,0.9816993464052287
2019-10-28,161211.55301276,143753.30891524002,143753.30891524002,168964.10263688004,0.9836601307189542
2019-10-30,164042.99301276,146944.90891524,146944.90891524,171658.34263688,0.9993464052287581
2019-10-31,164404.73301276,147902.71891524,147902.71891524,171770.60263688004,1.0
2019-11-03,175379.06056073002,158577.22511869,158577.22511869,182927.56815108002,1.0058823529411764
2019-11-04,176137.29056073003,159173.27511868998,159173.27511868998,183759.58815108,1.0104575163398692
2019-11-20,172225.97056073003,153818.30511869004,153818.30511869004,180431.50815108002,0.992156862745098
2019-11-21,171294.99056073,152923.73511869003,152923.73511869003,179480.62815108002,0.9869281045751633
2019-11-27,166264.03056073003,149419.40511869002,149419.40511869002,173775.34815108,0.9555555555555555
2019-12-03,172795.93536160002,155558.60993059003,155558.60993059003,180506.60618628,0.937908496732026
2019-12-25,175805.8853616,157710.09993059002,157710.09993059002,183902.66618628,0.9555555555555555
2019-12-30,177047.00536160002,161603.46993059,161603.46993059,184028.44618628002,0.9562091503267974
