date,asset_type,symbol,action,shares,price,value,fee,reason
2019-02-05,STOCK,CCAP,BUY,874.0,3.7618799999999997,3287.8831199999995,11.57576624,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ORHD,BUY,440.0,7.46373,3284.0412,11.568082400000002,stock_sleeve_rebalance_buy
2019-02-05,STOCK,ABUK,BUY,141.0,23.31165,3286.94265,11.5738853,stock_sleeve_rebalance_buy
2019-02-05,STOCK,GBCO,BUY,647.0,5.08254,3288.4033799999997,11.57680676,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EAST,BUY,269.0,12.216105,3286.1322450000002,11.57226449,stock_sleeve_rebalance_buy
2019-02-05,STOCK,JUFO,BUY,274.0,11.995994999999999,3286.9026299999996,11.57380526,stock_sleeve_rebalance_buy
2019-02-05,STOCK,VLMR,BUY,1685.0,1.950975,3287.392875,11.57478575,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGAL,BUY,137.0,23.921955,3277.307835,11.55461567,stock_sleeve_rebalance_buy
2019-02-05,STOCK,TMGH,BUY,296.0,11.075535,3278.35836,11.55671672,stock_sleeve_rebalance_buy
2019-02-05,STOCK,EGCH,BUY,545.0,6.023009999999999,3282.5404499999995,11.565080899999998,stock_sleeve_rebalance_buy
2019-02-05,ETF,EGX30_ETF,BUY,5123.0,15.007499999999999,76883.42249999999,153.766845,core_rebalance_cash_sweep
2019-04-17,ETF,EGX30_ETF,BUY,443.0,15.737865,6971.874194999999,13.94374839,monthly_core_dca
2019-04-17,STOCK,CCAP,BUY,79.0,3.70185,292.44615,5.5848923,monthly_satellite_dca
2019-04-17,STOCK,ORHD,BUY,41.0,7.023509999999999,287.96390999999994,5.5759278199999995,monthly_satellite_dca
2019-04-17,STOCK,ABUK,BUY,10.0,26.923454999999997,269.23454999999996,5.5384691,monthly_satellite_dca
2019-04-17,STOCK,GBCO,BUY,64.0,4.552275,291.3456,5.5826912,monthly_satellite_dca
2019-04-17,STOCK,EAST,BUY,21.0,13.74687,288.68426999999997,5.57736854,monthly_satellite_dca
2019-04-17,STOCK,JUFO,BUY,22.0,12.98649,285.70278,5.5714055600000005,monthly_satellite_dca
2019-04-17,STOCK,VLMR,BUY,138.0,2.131065,294.08697,5.58817394,monthly_satellite_dca
2019-04-17,STOCK,EGAL,BUY,16.0,18.059025,288.9444,5.5778888,monthly_satellite_dca
2019-04-17,STOCK,TMGH,BUY,24.0,11.8059,283.34159999999997,5.5666832,monthly_satellite_dca
2019-04-17,STOCK,EGCH,BUY,58.0,5.052524999999999,293.04644999999994,5.5860929,monthly_satellite_dca
2019-05-21,ETF,EGX30_ETF,BUY,453.0,15.4077,6979.6881,13.959376200000001,monthly_core_dca
2019-05-21,STOCK,CCAP,BUY,89.0,3.291645,292.956405,5.58591281,monthly_satellite_dca
2019-05-21,STOCK,ORHD,BUY,49.0,5.932964999999999,290.715285,5.58143057,monthly_satellite_dca
2019-05-21,STOCK,ABUK,BUY,12.0,24.102044999999997,289.22453999999993,5.5784490799999995,monthly_satellite_dca
2019-05-21,STOCK,GBCO,BUY,76.0,3.8719349999999997,294.26705999999996,5.58853412,monthly_satellite_dca
2019-05-21,STOCK,EAST,BUY,25.0,11.775884999999999,294.39712499999996,5.58879425,monthly_satellite_dca
2019-05-21,STOCK,JUFO,BUY,25.0,11.505749999999999,287.64374999999995,5.5752875,monthly_satellite_dca
2019-05-21,STOCK,VLMR,BUY,136.0,2.1510749999999996,292.54619999999994,5.5850924,monthly_satellite_dca
