date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2019-02-05,111727.15410051003,111537.40697666002,111490.28762692004,111394.21354325999,111394.21354325999,111920.07777500001,1.0
2019-02-14,114340.16410051001,113732.26697666003,113580.33762692002,113273.56354326001,113273.56354326001,114846.07777500001,1.026143790849673
2019-02-19,114017.66410051001,113859.19697666002,113818.55762692001,113736.61354326,113736.61354326,114187.727775,1.0202614379084967
2019-02-21,115812.22410051001,114533.17697666003,114213.18762692001,113569.95354326001,113569.95354326001,116821.12777500002,1.0437908496732027
2019-02-28,113343.92410051,113260.08697666002,113239.84762691999,113195.98354326,113195.98354326,113456.227775,1.0137254901960784
2019-04-17,122947.92988376002,120277.60148941002,119617.28019289002,118279.77987677,118279.77987677,125040.58575218002,1.0281045751633986
2019-05-21,119852.06090012,117042.50989572002,116352.09538891002,114942.49331712001,114942.49331712001,122077.29628838,0.9281045751633986
2019-07-09,135168.17032384002,131721.58661836002,130873.13672139001,129146.64878627002,129146.64878627002,137930.41830918004,0.9751633986928104
2019-07-11,133922.85032384002,129294.54661836002,128151.86672139002,125829.57878627002,125829.57878627002,137560.65830918003,0.9725490196078431
2019-08-21,146073.84675836,139722.27454548003,138147.55318193,134961.82106016,134961.82106016,151056.62032998,0.9980392156862744
2019-08-22,145392.85675836,139054.45454548002,137482.88318193,134302.64106016,134302.64106016,150364.18032998,0.9934640522875816
2019-08-28,143815.67675836,138008.96454548,136570.66318193002,133655.51106015997,133655.51106015997,148385.78032998,0.9803921568627451
2019-09-02,160744.13460645,153028.30401922003,151113.47160525003,147249.40069398005,147249.40069398005,166806.43285498003,1.0326797385620916
2019-09-04,160584.51460645,151660.45401922002,149442.46160525002,144972.17069398,144972.17069398,167545.42285498002,1.0372549019607842
2019-09-09,160292.65460645,152113.85401922002,150082.14160525,145987.06069398002,145987.06069398002,166700.86285498002,1.0320261437908496
2019-09-17,159829.47460645,150454.13401922002,148125.52160525002,143424.64069398,143424.64069398,167123.14285498002,1.0346405228758169
2019-09-23,147915.67460645002,137644.87401922,135095.18160525002,129924.28069397999,129924.28069397999,155827.15285498003,0.9647058823529411
2019-10-24,159796.86301276,149727.80963641,147227.13017362,142162.23891524,142162.23891524,167616.98263688,0.9758169934640523
2019-10-27,160676.34301276001,150435.76963641,147892.25017362,142743.18891524003,142743.18891524003,168627.32263688,0.9816993464052287
2019-10-28,161211.55301276,151241.35963641002,148765.31017362,143753.30891524002,143753.30891524002,168964.10263688004,0.9836601307189542
2019-10-30,164042.99301276,154274.95963641003,151847.41017362,146944.90891524,146944.90891524,171658.34263688,0.9993464052287581
2019-10-31,164404.73301276,154976.52963641004,152632.99017362,147902.71891524,147902.71891524,171770.60263688004,1.0
2019-11-03,175379.06056073002,165778.84428722004,163392.67890506002,158577.22511869,158577.22511869,182927.56815108002,1.0058823529411764
2019-11-04,176137.29056073003,166444.25428722,164033.02890506003,159173.27511868998,159173.27511868998,183759.58815108,1.0104575163398692
2019-11-20,172225.97056073003,161715.74428722003,159101.29890506004,153818.30511869004,153818.30511869004,180431.50815108002,0.992156862745098
2019-11-21,171294.99056073,160806.34428722004,158197.73890506002,152923.73511869003,152923.73511869003,179480.62815108002,0.9869281045751633
2019-11-27,166264.03056073003,156651.58428722003,154262.48890506002,149419.40511869002,149419.40511869002,173775.34815108,0.9555555555555555
2019-12-03,172795.93536160002,162949.21244444003,160495.27566972002,155558.60993059003,155558.60993059003,180506.60618628,0.937908496732026
2019-12-25,175805.8853616,165469.22244444003,162890.14566972002,157710.09993059002,157710.09993059002,183902.66618628,0.9555555555555555
2019-12-30,177047.00536160002,168094.46244444003,165843.13566972004,161603.46993059,161603.46993059,184028.44618628002,0.9562091503267974
2019-12-31,181054.31536160002,175079.14244444002,173545.41566972004,171278.08993059007,171278.08993059007,185663.58618628,0.9647058823529411
2020-01-02,188115.75133337,178243.41111151004,175777.46736090002,171907.10948938003,171057.61160904003,195743.89871128,0.9660130718954247
2020-01-12,184395.88133337002,174078.02111151002,171497.96736090002,167297.77948938,166539.53678211002,192433.14871128,0.949673202614379
2020-01-28,182559.33133337,171721.23111151002,168966.7073609,165527.12948938,163683.00678211002,191108.84871128,0.9431372549019608
2020-01-30,187806.23133337,176423.61111151002,173571.49736090002,171626.53948938,168245.96678211002,196670.90871128,0.9705882352941175
2020-02-05,195518.64991475,184240.02816429004,181397.23239987003,177040.95052476999,175705.9163009,204558.70073208,0.9607843137254901
2020-02-11,196460.24991475005,185345.18816429004,182512.07239987003,175379.80052477,176856.57630090002,205393.60073208,0.9647058823529411
2020-02-12,191958.31991475,182035.27816429004,179485.87239987002,172843.17052477,174553.6463009,199827.60073208,0.9385620915032679
2020-02-16,190590.24991475002,180489.35816429002,177864.04239987003,169573.97052477,172673.15630090004,198714.40073208,0.9333333333333332
2020-02-18,188572.59991475003,178514.47816429002,175913.48239987,167080.80052477,170811.29630090002,196627.15073208002,0.9235294117647059
2020-02-23,193973.87991475005,180966.35816429002,177678.55239987,167167.76052477,170730.88630090002,204697.85073208003,0.961437908496732
2020-02-24,189896.72991475003,176512.56816429005,173123.17239987,161955.04052477,165740.17630090003,201079.95073208,0.9444444444444443
2020-03-03,180616.95588709004,169245.59836934003,166202.73738882,152401.33348892,160958.26205417005,189726.39575008003,0.8477124183006536
2020-03-08,179151.71588709002,165378.07836934004,161840.74738882002,147349.60348892002,154966.97205417007,190457.79575008003,0.8509803921568627
2020-03-10,164082.39588709,152818.17836934002,149840.91738882003,137050.79348892003,144753.38205417004,173050.47575008002,0.7732026143790849
2020-03-17,136638.06588709002,125579.69836934004,122762.34738882002,109075.76348892001,117196.07935309003,145696.11575008003,0.6509803921568628
2020-03-19,128866.67588709001,120370.16836934004,118168.36738882001,105244.75348892002,114538.44935309002,135456.51575008003,0.6052287581699346
2020-04-02,149009.37206452002,139692.00124145002,137322.52355324,127974.49882203,134871.17766239002,155533.00403138006,0.6509803921568628
2020-04-05,148755.37206452002,138825.60124145003,136327.26355324002,124683.32882203002,133110.15766239,156001.45403138,0.6529411764705882
2020-04-06,147109.73206452,138683.43124145005,136483.52355324003,126631.35882203002,134542.68766239,152878.45403138,0.6398692810457516
2020-04-09,160019.33206452001,149343.14124145004,146627.96355324,132757.68882203,142488.96766239,168181.15403138002,0.7039215686274509
2020-04-22,156560.29206452,145979.42124145004,143293.61355324002,134691.00882203,139640.62766239003,164433.55403138,0.688235294117647
2020-04-23,157099.13206452003,148160.52124145004,145807.89355324002,139584.36882203002,143908.28766239,163184.35403138003,0.6830065359477123
2020-04-29,167599.77206452002,157371.44124145005,154686.59355324,147564.35882203002,151570.50766239004,175051.75403138006,0.7326797385620916
2020-05-07,173199.73604107002,161402.95375441003,158465.40040594002,146384.14923617002,152084.03029442002,183115.28543093,0.7241830065359477
2020-05-13,176163.30604107003,162888.15375441004,159627.19040594003,144059.65923617,150175.60029442003,188403.60543093,0.7450980392156863
2020-06-04,186571.38762967003,175950.19401247005,173177.38024784002,161613.57037459,168397.08548947005,195144.17465461005,0.7333333333333334
2020-06-07,191723.67762967,182233.43401247004,179607.13024784002,168000.94037459002,176737.33196306005,198796.49465461003,0.7470588235294117
2020-06-09,198066.87762967,186059.36401247003,182981.33024784003,167073.36037459003,176281.11196306004,208362.09465461003,0.7830065359477124
2020-06-17,194815.07762967,183143.13401247002,180142.17024784,167265.63037459002,174623.34196306005,204361.93465461003,0.7679738562091503
2020-06-18,194241.62762967002,182565.54401247005,179577.64024784003,166335.23037459,173932.52196306002,203840.17465461005,0.7660130718954249
2020-06-21,193466.34762967,181858.51401247003,178899.28024784,166941.11037459,173347.12196306005,202970.57465461,0.7627450980392156
2020-06-22,192575.58762967004,180807.01401247003,177825.14024784003,166675.43037459,172037.47196306003,202274.89465461005,0.7601307189542483
2020-06-23,191550.96762967002,180071.04401247003,177138.82024784002,167054.73037459003,171788.73196306004,200883.53465461003,0.7549019607843137
2020-06-29,192104.07762967,179615.59401247004,176518.26024784002,169352.64037459003,169830.56196306003,202622.73465461005,0.761437908496732
2020-07-06,205382.43091794004,193681.87690058004,190686.17910635003,191396.95982134002,185766.19479917,214692.33667541,0.7686274509803921
2020-07-08,207052.67091794,195140.72690058005,192071.66910635002,192128.35982134,187120.94479917004,216517.93667541002,0.7751633986928104
2020-07-13,207905.39091794004,196122.48690058006,193050.35910635005,193556.69982134,189012.91479917004,216883.05667541004,0.7764705882352941
2020-07-16,198654.30091794004,186894.87690058004,183901.97910635005,179720.92982134002,178664.12479917004,208120.17667541,0.7450980392156863
2020-07-19,195526.33091794004,184002.40690058007,181068.26910635002,178294.12982134,176237.98479917002,204651.53667541003,0.7326797385620916
2020-07-21,198846.82091794003,187324.04690058006,184355.25910635001,181015.06982134,179660.56479917,207937.61667541,0.7444444444444445
2020-09-03,223955.14668220002,214459.22798397005,211599.43995265002,211425.76078069,213688.55132775006,228925.67882526002,0.7843137254901961
2020-09-08,220415.4466822,209685.27798397004,206717.77995265002,200145.41078069003,205809.19497121003,227399.51882526002,0.7790849673202614
2020-10-04,229668.91117095,219414.92848413007,216534.19966550003,216672.23091071003,217867.67420988003,235374.91515178003,0.7725490196078432
2020-10-20,229474.71117095003,218235.96848413005,215213.01966550003,213987.16091071002,212528.97033333,237565.34515178003,0.7797385620915032
2020-10-22,226566.85117095002,214424.91848413006,211374.0596655,205735.62091071001,206345.51658183002,236171.43515178002,0.7751633986928104
2020-10-27,217154.82117095002,207089.28848413005,204315.37966550002,206128.63091071,203571.01658183004,223626.24515178005,0.7339869281045751
2020-11-16,237982.67717731,227054.58156432002,224073.83561384003,229375.18665597998,224313.42234011003,244579.49603412,0.7692810457516339
2020-11-17,240070.99717731003,229559.85156432004,226572.48561384005,234352.42665597997,228701.19234011002,245618.44603412002,0.7725490196078432
2020-11-18,243737.24717731,231618.07156432007,228461.64561384002,231015.18665597998,226854.79234011003,251852.14603412,0.792156862745098
2020-11-19,238631.40717731003,227461.14156432005,224431.38561384004,229334.80665598,224587.02234011004,245410.65603412004,0.7718954248366013
2020-11-22,236558.08717731002,225480.54156432004,222483.59561384004,228512.32665598,222504.14234011003,243332.75603412004,0.7653594771241831
2020-11-23,236420.72717731004,225656.16156432003,222678.54561384005,231336.03665598,223870.33234011004,242501.59603412,0.7627450980392156
2020-11-24,237582.18717731003,227073.40156432005,224096.57561384002,234335.18665598,226215.85234011002,243124.96603412,0.7647058823529411
2020-11-25,242135.77717731002,230417.37156432006,227301.13561384002,235101.65665598,227191.64234011,249358.66603412002,0.7843137254901961
2020-11-26,240714.88717731,229303.97156432006,226234.47561384004,236306.44665598,227171.48234011003,247280.76603412002,0.7777777777777778
2020-12-16,253202.37467227003,243805.97768672003,240984.29053677004,243564.26348068,245234.85022323005,257194.75840906,0.7751633986928104
2020-12-20,250917.89467227002,242662.03768672005,239904.78053677003,247158.65348068002,248303.63269522003,252424.05840906006,0.7607843137254902
2020-12-21,248387.60467227,238342.86768672004,235530.89053677,233767.99348068,237913.75269522006,253508.30840906003,0.7640522875816993
2020-12-27,244170.34467227006,234588.96768672002,231847.06053677003,234054.37348067996,234846.93269522005,248737.60840906005,0.7496732026143791
2020-12-30,247719.92467227002,239371.50768672006,236649.84053677,244554.25348068002,243304.3826952201,250038.70840906003,0.7535947712418299
2021-01-04,257980.30176092003,246652.55238229004,243019.79210092005,253742.82796244,249884.90950497,262043.48370217005,0.7607843137254902
2021-01-05,256827.76176092002,245704.86238229004,242239.42210092006,255203.22796244003,247695.08950497006,261368.12370217,0.7588235294117647
2021-01-06,258025.70176092,246542.14238229004,242757.15210092004,258072.47796244005,251000.03575347006,261593.24370217,0.7594771241830065
2021-01-10,261725.62176092004,249822.06238229005,245730.74210092006,262224.91796244006,256386.90575347006,264519.80370217003,0.7679738562091503
2021-01-11,267096.69176092,255220.37238229005,251312.15210092004,263548.08796244,259750.91575347006,270823.16370217,0.7862745098039214
