family,parameter,importance
trend,adx_len,0.48139441430984603
trend,atr_trail,0.14344384651716793
trend,adx_threshold,0.13655144246083892
trend,fast_ma,0.10960233808827763
trend,ma_type,0.044566442674576094
trend,slow_ma,0.043865676925406535
trend,atr_stop,0.04057583902388676
mean_reversion,rsi_entry,0.2927124216880218
mean_reversion,rsi_len,0.23226024666778092
mean_reversion,bb_len,0.21826785173554827
mean_reversion,bb_std,0.1009496109107585
mean_reversion,rsi_exit,0.09775171686200226
mean_reversion,atr_stop,0.029993730424657566
mean_reversion,regime_ma,0.028064421711230646
breakout,atr_trail,0.5740139482581198
breakout,exit_lookback,0.2482703629001186
breakout,entry_lookback,0.15579254542472357
breakout,regime_ma,0.014169779514084203
breakout,atr_stop,0.007753363902953909
