date,symbol,action,shares,price,value,fee,reason
2016-02-01,EAST,BUY,11423.0,2.511255,28686.065864999997,62.37213172999999,rebalance_buy
2016-02-01,COMI,BUY,2263.0,12.676335,28686.546105,62.37309221,rebalance_buy
2016-02-01,JUFO,BUY,3833.0,7.48374,28685.17542,62.37035084,rebalance_buy
2016-02-01,RAYA,BUY,318592.0,0.09004499999999999,28687.616639999997,62.375233279999996,rebalance_buy
2016-02-01,ARCC,BUY,3807.0,7.533765,28681.043354999998,62.36208671,rebalance_buy
2016-02-01,VLMR,BUY,38231.0,0.750375,28687.586625,62.37517325,rebalance_buy
2016-02-01,HELI,BUY,8099.0,3.5417699999999996,28684.795229999996,62.36959045999999,rebalance_buy
2016-02-01,TMGH,BUY,5589.0,5.132565,28685.905785,62.37181157,rebalance_buy
2016-03-02,ARCC,SELL,3807.0,6.63668,25265.84076,50.53168152,rebalance_exit
2016-03-02,COMI,SELL,2263.0,13.203395000000002,29879.282885000004,59.75856577000001,rebalance_exit
2016-03-02,HELI,SELL,8099.0,3.3883050000000003,27441.882195000002,54.88376439,rebalance_exit
2016-03-02,JUFO,SELL,3833.0,6.29685,24135.82605,48.2716521,rebalance_exit
2016-03-02,RAYA,SELL,318592.0,0.08995500000000001,28658.94336,57.317886720000004,rebalance_exit
2016-03-02,TMGH,SELL,5589.0,4.887555,27316.544895,54.63308979,rebalance_exit
2016-03-02,VLMR,SELL,38231.0,0.7196400000000001,27512.55684,55.025113680000004,rebalance_exit
2016-03-02,EAST,SELL,1641.0,2.9885050000000004,4904.136705000001,9.808273410000002,rebalance_trim
2016-03-02,EAST,BUY,68302.0,2.991495,204325.09149,413.65018298,cash_deploy_current_basket
2016-04-04,EAST,SELL,67969.0,3.2183900000000003,218750.74991,437.50149982000005,rebalance_trim
2016-04-04,EAST,BUY,32.0,3.22161,103.09152,5.20618304,rebalance_buy
2016-04-04,EAST,BUY,70693.0,3.22161,227745.27573,460.49055146,cash_deploy_current_basket
2016-05-03,EAST,SELL,80840.0,2.9685150000000005,239974.75260000004,479.9495052000001,rebalance_exit
2016-05-03,ORHD,BUY,23386.0,1.330665,31118.93169,67.23786338,rebalance_buy
2016-05-03,ORHD,BUY,163729.0,1.330665,217868.449785,440.73689957,cash_deploy_current_basket
2016-06-01,ORHD,SELL,187115.0,1.0594700000000001,198242.72905000002,396.4854581000001,rebalance_exit
2021-11-01,ETEL,BUY,7702.0,13.406699999999999,103258.4034,211.51680679999998,rebalance_buy
2021-11-01,ORWE,BUY,12618.0,8.18409,103266.84761999999,211.53369524,rebalance_buy
2021-11-01,MCQE,BUY,10630.0,9.714855,103268.90865,211.5378173,rebalance_buy
2021-11-01,GBCO,BUY,24811.0,4.16208,103265.36687999999,211.53073375999998,rebalance_buy
2021-11-01,PHDC,BUY,54325.0,1.9009499999999997,103269.10874999998,211.53821749999997,rebalance_buy
2021-11-01,EAST,BUY,11974.0,8.62431,103267.48793999999,211.53497588,rebalance_buy
2021-11-01,EGAL,BUY,4140.0,24.942465,103261.8051,211.5236102,rebalance_buy
2021-11-01,ADIB,BUY,10280.0,10.04502,103262.80559999999,211.5256112,rebalance_buy
