rebalance_date,warning,symbols
2016-02-01,selected_without_fundamentals,"EAST,COMI,JUFO,RAYA,ARCC,VLMR,HELI,TMGH"
2016-03-02,selected_without_fundamentals,EAST
2016-04-04,selected_without_fundamentals,EAST
2016-05-03,selected_without_fundamentals,ORHD
2021-11-01,selected_without_fundamentals,"ORWE,ETEL,MCQE,PHDC,GBCO,ARCC,ADIB,EGAL"
2021-12-01,selected_without_fundamentals,"AMOC,COMI,PHDC,ETEL,EGAL,GBCO,HRHO,ADIB"
2022-01-02,selected_without_fundamentals,"HRHO,COMI,ETEL,TMGH,ORWE,JUFO,MCQE,PHDC"
2022-02-01,selected_without_fundamentals,"ETEL,GBCO,PHDC,HRHO,COMI,TMGH,ORWE,HELI"
2022-03-01,selected_without_fundamentals,"ETEL,COMI,ORWE,JUFO,HELI,HRHO,TMGH,GBCO"
2022-04-03,selected_without_fundamentals,"ETEL,HRHO,TMGH,GBCO,CCAP,ABUK,ARCC,ORWE"
2022-05-08,selected_without_fundamentals,"HRHO,ETEL,ORWE,HELI,ABUK,TMGH,MCQE,JUFO"
2022-06-01,selected_without_fundamentals,"HRHO,ETEL,ABUK,HELI,JUFO,TMGH,CCAP,ORWE"
2022-07-03,selected_without_fundamentals,"ABUK,HRHO,JUFO,ETEL,TMGH,AMOC,COMI,CCAP"
2022-08-01,selected_without_fundamentals,"ABUK,HRHO,ETEL,JUFO,MCQE,TMGH,HELI,CCAP"
2022-09-01,selected_without_fundamentals,"ABUK,AMOC,JUFO,HRHO,HELI,RMDA,CCAP,EAST"
2022-10-02,selected_without_fundamentals,"ABUK,HRHO,AMOC,RMDA,CCAP,JUFO,VLMR,HELI"
2022-11-01,selected_without_fundamentals,"ABUK,AMOC,RMDA,CCAP,HELI,MCQE,HRHO,ARCC"
2022-12-01,selected_without_fundamentals,"ABUK,RMDA,HELI,CCAP,HRHO,MCQE,AMOC,EGCH"
2023-01-02,selected_without_fundamentals,"ABUK,HRHO,ETEL,EGCH,ARCC,EAST,AMOC,COMI"
2023-02-01,selected_without_fundamentals,"ABUK,CCAP,AMOC,MCQE,ETEL,HRHO,EFID,ORAS"
2023-03-01,selected_without_fundamentals,"ABUK,AMOC,EGCH,ADIB,EAST,CCAP,HELI,COMI"
2023-04-02,selected_without_fundamentals,"AMOC,CCAP,ABUK,COMI,EFID,EAST,HELI,ADIB"
2023-05-01,selected_without_fundamentals,"AMOC,ABUK,COMI,EFID,VLMRA,MCQE,ADIB,CCAP"
2023-06-01,selected_without_fundamentals,"AMOC,ORWE,ABUK,CCAP,COMI,ADIB,EGCH,JUFO"
2023-07-04,selected_without_fundamentals,"AMOC,ABUK,ADIB,ORWE,EFID,COMI,EGCH,JUFO"
2023-08-01,selected_without_fundamentals,"BFTH,CCAP,ORHD,COMI,ORWE,AMOC,EAST,EFID"
2023-09-03,selected_without_fundamentals,"BFTH,ORAS,ABUK,ORWE,AMOC,ORHD,EGCH,COMI"
2023-10-01,selected_without_fundamentals,"ORWE,BFTH,HELI,EFID,COMI,ABUK,AMOC,JUFO"
2023-11-01,selected_without_fundamentals,"ABUK,COMI,ORAS,EAST,BFTH,HELI,AMOC,EGCH"
2023-12-03,selected_without_fundamentals,"AMOC,BFTH,ABUK,ORWE,HELI,TMGH,ORAS,EGCH"
2024-01-02,selected_without_fundamentals,"ABUK,AMOC,BFTH,COMI,TMGH,JUFO,ORAS,PHDC"
2024-02-01,selected_without_fundamentals,"ABUK,BFTH,ORAS,EFID,COMI,TMGH,AMOC,JUFO"
2024-03-03,selected_without_fundamentals,"ABUK,TMGH,COMI,BFTH,ORAS,ORWE,EAST,PHDC"
2024-04-01,selected_without_fundamentals,"TMGH,PHDC,ORAS,CCAP,BFTH,ARCC,EFID,EAST"
2024-05-01,selected_without_fundamentals,"ORAS,BFTH,TMGH,COMI,GBCO,PHDC,JUFO,FWRY"
2024-06-02,selected_without_fundamentals,"ORAS,TMGH,CCAP,BFTH,COMI,GBCO,PHDC,ARCC"
2024-07-01,selected_without_fundamentals,"ORAS,TMGH,COMI,ABUK,PHDC,EFIH,EFID,EGAL"
2024-08-01,selected_without_fundamentals,"ORAS,TMGH,GBCO,PHDC,ORWE,COMI,EMFD,EFID"
2024-09-01,selected_without_fundamentals,"ORAS,TMGH,PHDC,EFIH,COMI,EMFD,GBCO,ORWE"
2024-10-01,selected_without_fundamentals,"PHDC,ORAS,GBCO,EFIH,EMFD,COMI,HRHO,TMGH"
2024-11-03,selected_without_fundamentals,"PHDC,EFIH,EMFD,FWRY,TMGH,GBCO,HRHO,EGAL"
2024-12-01,selected_without_fundamentals,"PHDC,ORWE,EMFD,JUFO,TMGH,GBCO,EFIH,ORAS"
2025-01-02,selected_without_fundamentals,"PHDC,EMFD,TMGH,JUFO,EGAL,ORAS,ORWE,FWRY"
2025-02-02,selected_without_fundamentals,"PHDC,EMFD,ORAS,ISPH,TMGH,JUFO,ORHD,FWRY"
2025-03-02,selected_without_fundamentals,"PHDC,ISPH,FWRY,JUFO,ORAS,ARCC,GBCO,EGAL"
2025-04-03,selected_without_fundamentals,"ARCC,JUFO,ORWE,ETEL,ORHD,EGAL,HRHO,EAST"
2025-05-04,selected_without_fundamentals,"EGAL,ORHD,PHDC,HRHO,COMI,ARCC,ETEL,ISPH"
2025-07-01,selected_without_fundamentals,"ISPH,HRHO,RMDA,FWRY,EGAL,ORHD,COMI,ETEL"
2025-08-03,selected_without_fundamentals,"FWRY,PHDC,ISPH,ARCC,HRHO,EGAL,COMI,RMDA"
