family,number,value,param_hierarchy,param_trend_indicator,param_atr_stop,param_atr_trail,param_st_len,param_st_mult,param_momentum_indicator,param_mom_rsi_len,param_mom_rsi_threshold,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,param_macd_fast,param_macd_slow,param_macd_signal,param_kama_len,param_kama_fast,param_kama_slow,param_aroon_len,param_aroon_threshold,param_volume_indicator,param_mfi_len,param_mfi_threshold,param_cmf_len,param_cmf_threshold,param_obv_ema_len,param_cci_len,param_cci_threshold
hierarchy_combo,0,3.297547344318524,trend_momentum,supertrend,4.5,2.6,23.0,1.5,rsi,9.0,48.0,3.297547344318524,0.5311868628355463,1.719091703241408,27.788512135075162,0.1934911641488859,6.672951011011447,31.0,0.528495719837216,-0.13348445514031942,328062.4438663201,,,,,,,,,,,,,,,,
hierarchy_combo,1,1.3009837175265409,trend_momentum,supertrend,2.5,2.1,25.0,2.2,macd,,,1.3009837175265409,0.16528467464589758,0.9552069744922387,2.6588648719666357,0.16138767008972066,1.9388926260694723,36.0,0.16456972698494643,-0.49741044799258893,262880.99017030775,14.0,19.0,5.0,,,,,,,,,,,,,
hierarchy_combo,2,2.457096351106949,trend_momentum,kama,1.5,2.2,,,rsi,19.0,48.0,2.457096351106949,0.5126837012148014,1.669568769038157,3.945292604351646,0.3003526864416821,4.186849101773257,36.0,0.5101643361078385,-0.1518158388696968,325177.1763552627,,,,11.0,5.0,30.0,,,,,,,,,,
hierarchy_combo,3,2.245608651904536,trend_only,kama,1.8,0.6,,,,,,2.245608651904536,0.5240913303319874,1.4609339575531297,2.761677329869479,0.23342310161607538,3.803622596848152,78.0,0.5214767148324033,-0.1405034601451321,326149.6274191305,,,,23.0,3.0,31.0,,,,,,,,,,
hierarchy_combo,4,3.7153699158707676,trend_only,kama,5.0,3.2,,,,,,3.7153699158707676,0.6434887629280428,2.07973425001077,13.28329893152509,0.14274587711012698,6.327927401636809,40.0,0.6402303277711592,-0.021749847206376183,347362.8155335177,,,,18.0,2.0,53.0,,,,,,,,,,
hierarchy_combo,5,1.5159225426376726,trend_volume,aroon,3.5,1.6,,,,,,1.5159225426376726,0.21021911949227706,0.9662987043679103,6.98698322821478,0.2569778963031477,1.9371698866872058,42.0,0.20928591420255954,-0.4526942607749758,271079.03521419014,,,,,,,13.0,62.0,mfi,28.0,54.0,,,,,
hierarchy_combo,6,1.2238176791891549,trend_volume,supertrend,2.7,0.5,9.0,1.6,,,,1.2238176791891549,0.13816034451348053,0.9457886467169297,2.8362452448000024,0.16548440521336383,1.7033088772979865,32.0,0.1375499313747761,-0.5244302436027592,262243.05826407514,,,,,,,,,cmf,,,38.0,-0.03,,,
hierarchy_combo,7,0.4119042757798456,trend_momentum,aroon,4.300000000000001,2.7,,,macd,,,0.4119042757798456,0.03241531126694794,0.31730725005802957,1.563483442393755,0.23198721771567177,0.46568398306880876,24.0,0.03227033928918355,-0.6297098356883518,240274.7219427202,17.0,38.0,8.0,,,,54.0,82.0,,,,,,,,
hierarchy_combo,8,1.8576475531727303,trend_momentum_volume,supertrend,2.7,1.2000000000000002,9.0,2.7,rsi,23.0,52.0,1.8576475531727303,0.20294143609962417,1.3949479557593174,4.238285123845157,0.16899027625170748,2.7753593264733376,29.0,0.20204096875802008,-0.4599392062195153,271037.8290944551,,,,,,,,,cmf,,,25.0,-0.010000000000000009,,,
hierarchy_combo,9,0.9823269626993347,trend_volume,aroon,1.9,1.0,,,,,,0.9823269626993347,0.09715986966426096,0.597274632694112,4.0903629951137335,0.15388957692760374,1.5456581580302453,41.0,0.09672075778720768,-0.5652594171903277,251090.4029445877,,,,,,,34.0,90.0,obv,,,,,18.0,,
